Training	Testing
Lasso+Stepglm[both]	0.72883787661406	0.684563758389262
Ridge	0.711621233859397	0.684563758389262
glmBoost+Ridge	0.715925394548063	0.684563758389262
Enet[alpha=0.1]	0.717360114777618	0.684563758389262
glmBoost+Enet[alpha=0.1]	0.717360114777618	0.684563758389262
Enet[alpha=0.2]	0.714490674318508	0.684563758389262
Enet[alpha=0.3]	0.717360114777618	0.687919463087248
glmBoost+Enet[alpha=0.3]	0.718794835007174	0.681208053691275
glmBoost+Enet[alpha=0.2]	0.720229555236729	0.677852348993289
Enet[alpha=0.4]	0.717360114777618	0.694630872483222
glmBoost+Enet[alpha=0.4]	0.717360114777618	0.681208053691275
Lasso+glmBoost	0.721664275466284	0.694630872483222
Enet[alpha=0.5]	0.715925394548063	0.691275167785235
glmBoost	0.718794835007174	0.691275167785235
glmBoost+Enet[alpha=0.5]	0.723098995695839	0.691275167785235
Enet[alpha=0.6]	0.717360114777618	0.691275167785235
glmBoost+Enet[alpha=0.6]	0.717360114777618	0.684563758389262
glmBoost+Enet[alpha=0.7]	0.723098995695839	0.687919463087248
glmBoost+Enet[alpha=0.8]	0.718794835007174	0.684563758389262
Enet[alpha=0.8]	0.718794835007174	0.687919463087248
Enet[alpha=0.9]	0.717360114777618	0.684563758389262
Lasso	0.717360114777618	0.684563758389262
Enet[alpha=0.7]	0.717360114777618	0.691275167785235
glmBoost+Enet[alpha=0.9]	0.721664275466284	0.694630872483222
glmBoost+Lasso	0.720229555236729	0.681208053691275
Lasso+plsRglm	0.717360114777618	0.687919463087248
glmBoost+plsRglm	0.717360114777618	0.687919463087248
glmBoost+Stepglm[forward]	0.723098995695839	0.697986577181208
Lasso+Stepglm[forward]	0.723098995695839	0.697986577181208
Stepglm[forward]	0.723098995695839	0.701342281879195
plsRglm	0.720229555236729	0.691275167785235
RF+Ridge	0.708751793400287	0.681208053691275
RF+Enet[alpha=0.1]	0.704447632711621	0.687919463087248
RF+plsRglm	0.720229555236729	0.697986577181208
RF+Stepglm[forward]	0.715925394548063	0.704697986577181
RF+Enet[alpha=0.2]	0.705882352941177	0.691275167785235
RF+Enet[alpha=0.3]	0.707317073170732	0.694630872483222
RF+Enet[alpha=0.6]	0.710186513629842	0.694630872483222
RF+Lasso	0.710186513629842	0.691275167785235
RF+Enet[alpha=0.7]	0.711621233859397	0.691275167785235
RF+Enet[alpha=0.5]	0.705882352941177	0.687919463087248
RF+glmBoost	0.704447632711621	0.697986577181208
RF+Enet[alpha=0.9]	0.710186513629842	0.687919463087248
RF+Enet[alpha=0.4]	0.708751793400287	0.691275167785235
RF+Enet[alpha=0.8]	0.710186513629842	0.687919463087248
RF+Stepglm[both]	0.721664275466284	0.701342281879195
RF+Stepglm[backward]	0.721664275466284	0.701342281879195
Stepglm[both]+Ridge	0.717360114777618	0.684563758389262
Stepglm[backward]+Ridge	0.711621233859397	0.684563758389262
Stepglm[both]+plsRglm	0.715925394548063	0.677852348993289
Stepglm[backward]+plsRglm	0.715925394548063	0.677852348993289
Stepglm[both]+Enet[alpha=0.9]	0.721664275466284	0.681208053691275
Stepglm[backward]+Enet[alpha=0.9]	0.723098995695839	0.681208053691275
Stepglm[both]+Enet[alpha=0.1]	0.723098995695839	0.677852348993289
Stepglm[backward]+Enet[alpha=0.1]	0.715925394548063	0.684563758389262
Stepglm[both]+Enet[alpha=0.8]	0.718794835007174	0.677852348993289
