Training	Testing
Lasso+Stepglm[both]	0.18604128527964	0.192495407908232
Ridge	0.187879903793006	0.18648803332663
glmBoost+Ridge	0.187060445921465	0.185789761323301
Enet[alpha=0.1]	0.18748531654226	0.186158428119766
glmBoost+Enet[alpha=0.1]	0.187175201726069	0.185730206087435
Enet[alpha=0.2]	0.187683715812346	0.185956323509193
Enet[alpha=0.3]	0.187602623605288	0.185826954373919
glmBoost+Enet[alpha=0.3]	0.186546972269241	0.18635196940387
glmBoost+Enet[alpha=0.2]	0.186837049143688	0.185911500788089
Enet[alpha=0.4]	0.187521795022613	0.185761122995133
glmBoost+Enet[alpha=0.4]	0.186588605169043	0.186348433598592
Lasso+glmBoost	0.18842818735569	0.18577546161469
Enet[alpha=0.5]	0.187329386316801	0.185765390944633
glmBoost	0.188265926402924	0.185489193520731
glmBoost+Enet[alpha=0.5]	0.186067717208524	0.188119907103205
Enet[alpha=0.6]	0.187407755542857	0.185756687797317
glmBoost+Enet[alpha=0.6]	0.186730377254809	0.186248905152549
glmBoost+Enet[alpha=0.7]	0.186133311897412	0.187961474658352
glmBoost+Enet[alpha=0.8]	0.186511047429235	0.186784258524946
Enet[alpha=0.8]	0.187041277055345	0.185993680271817
Enet[alpha=0.9]	0.186695874706151	0.186479677051434
Lasso	0.186946941901696	0.186164686820811
Enet[alpha=0.7]	0.187306193800448	0.185805686160322
glmBoost+Enet[alpha=0.9]	0.186025210025585	0.188651022513037
glmBoost+Lasso	0.186295566081366	0.187520275295776
Lasso+plsRglm	0.186534876936005	0.191562269145539
glmBoost+plsRglm	0.186534876936005	0.191562269145539
glmBoost+Stepglm[forward]	0.185769228790195	0.190931320718809
Lasso+Stepglm[forward]	0.185769228790195	0.190931320718809
Stepglm[forward]	0.185822225640925	0.191800582866302
plsRglm	0.186336656823954	0.188593370580708
RF+Ridge	0.1881211577091	0.188893929319463
RF+Enet[alpha=0.1]	0.188386623921299	0.188438056069738
RF+plsRglm	0.188492025579163	0.190165780546752
RF+Stepglm[forward]	0.186978376095517	0.193777197738706
