Training	Testing
Lasso+Stepglm[both]	0.72082717872969	0.669014084507042
Ridge	0.702222222222222	0.680272108843537
glmBoost+Ridge	0.707964601769911	0.675862068965517
Enet[alpha=0.1]	0.709010339734121	0.680272108843537
glmBoost+Enet[alpha=0.1]	0.709010339734121	0.678082191780822
Enet[alpha=0.2]	0.705185185185185	0.682432432432432
Enet[alpha=0.3]	0.708148148148148	0.684745762711864
glmBoost+Enet[alpha=0.3]	0.710914454277286	0.671280276816609
glmBoost+Enet[alpha=0.2]	0.711964549483013	0.668965517241379
Enet[alpha=0.4]	0.708148148148148	0.687285223367697
glmBoost+Enet[alpha=0.4]	0.709010339734121	0.671280276816609
Lasso+glmBoost	0.718023255813953	0.697674418604651
Enet[alpha=0.5]	0.707100591715976	0.682758620689655
glmBoost	0.714285714285714	0.693333333333333
glmBoost+Enet[alpha=0.5]	0.714918759231906	0.678321678321678
Enet[alpha=0.6]	0.709010339734121	0.682758620689655
glmBoost+Enet[alpha=0.6]	0.708148148148148	0.673611111111111
glmBoost+Enet[alpha=0.7]	0.714918759231906	0.67595818815331
glmBoost+Enet[alpha=0.8]	0.70919881305638	0.675862068965517
Enet[alpha=0.8]	0.710059171597633	0.678200692041522
Enet[alpha=0.9]	0.708148148148148	0.673611111111111
Lasso	0.709010339734121	0.673611111111111
Enet[alpha=0.7]	0.709010339734121	0.682758620689655
glmBoost+Enet[alpha=0.9]	0.71301775147929	0.680701754385965
glmBoost+Lasso	0.711964549483013	0.671280276816609
Lasso+plsRglm	0.708148148148148	0.67595818815331
glmBoost+plsRglm	0.708148148148148	0.67595818815331
glmBoost+Stepglm[forward]	0.714074074074074	0.685314685314685
Lasso+Stepglm[forward]	0.714074074074074	0.685314685314685
Stepglm[forward]	0.713224368499257	0.685512367491166
plsRglm	0.711111111111111	0.680555555555556
RF+Ridge	0.697466467958271	0.675767918088737
RF+Enet[alpha=0.1]	0.693452380952381	0.68259385665529
RF+plsRglm	0.709388971684054	0.691780821917808
RF+Stepglm[forward]	0.703592814371258	0.694444444444444
RF+Enet[alpha=0.2]	0.694485842026826	0.684931506849315
RF+Enet[alpha=0.3]	0.696428571428571	0.689419795221843
RF+Enet[alpha=0.6]	0.699404761904762	0.689419795221843
RF+Lasso	0.700296735905044	0.680555555555556
RF+Enet[alpha=0.7]	0.701337295690936	0.684931506849315
RF+Enet[alpha=0.5]	0.695393759286776	0.680412371134021
RF+glmBoost	0.700581395348837	0.695945945945946
RF+Enet[alpha=0.9]	0.700296735905044	0.680412371134021
RF+Enet[alpha=0.4]	0.699259259259259	0.687074829931973
RF+Enet[alpha=0.8]	0.699404761904762	0.680412371134021
RF+Stepglm[both]	0.712166172106825	0.685512367491166
RF+Stepglm[backward]	0.712166172106825	0.685512367491166
Stepglm[both]+Ridge	0.709010339734121	0.675862068965517
Stepglm[backward]+Ridge	0.703976435935199	0.675862068965517
Stepglm[both]+plsRglm	0.705357142857143	0.664335664335664
Stepglm[backward]+plsRglm	0.705357142857143	0.664335664335664
Stepglm[both]+Enet[alpha=0.9]	0.71301775147929	0.668989547038327
Stepglm[backward]+Enet[alpha=0.9]	0.714918759231906	0.668989547038327
Stepglm[both]+Enet[alpha=0.1]	0.716593245227606	0.666666666666667
Stepglm[backward]+Enet[alpha=0.1]	0.707964601769911	0.673611111111111
Stepglm[both]+Enet[alpha=0.8]	0.710914454277286	0.666666666666667
Stepglm[backward]+Enet[alpha=0.8]	0.708823529411765	0.666666666666667
Stepglm[both]+Enet[alpha=0.2]	0.714705882352941	0.666666666666667
Stepglm[backward]+Enet[alpha=0.2]	0.707964601769911	0.671280276816609
Stepglm[both]+Lasso	0.709867452135493	0.668989547038327
Stepglm[backward]+Lasso	0.709867452135493	0.666666666666667
Stepglm[both]+Enet[alpha=0.6]	0.710914454277286	0.666666666666667
Stepglm[backward]+Enet[alpha=0.6]	0.707782672540382	0.666666666666667
glmBoost+GBM	0.771048744460857	0.735099337748344
Stepglm[both]+Enet[alpha=0.7]	0.714705882352941	0.666666666666667
Stepglm[backward]+Enet[alpha=0.7]	0.710914454277286	0.666666666666667
Lasso+Stepglm[backward]	0.72082717872969	0.669014084507042
Stepglm[both]	0.72082717872969	0.669014084507042
Stepglm[backward]	0.72082717872969	0.669014084507042
glmBoost+Stepglm[both]	0.72082717872969	0.669014084507042
glmBoost+Stepglm[backward]	0.72082717872969	0.669014084507042
Stepglm[both]+Enet[alpha=0.4]	0.704845814977973	0.668989547038327
Stepglm[backward]+Enet[alpha=0.4]	0.708823529411765	0.666666666666667
