Training	Testing
Lasso+Stepglm[both]	0.728358208955224	0.641891891891892
Ridge	0.707462686567164	0.675675675675676
glmBoost+Ridge	0.716417910447761	0.662162162162162
Enet[alpha=0.1]	0.716417910447761	0.675675675675676
glmBoost+Enet[alpha=0.1]	0.716417910447761	0.668918918918919
Enet[alpha=0.2]	0.71044776119403	0.682432432432432
Enet[alpha=0.3]	0.713432835820896	0.682432432432432
glmBoost+Enet[alpha=0.3]	0.719402985074627	0.655405405405405
glmBoost+Enet[alpha=0.2]	0.719402985074627	0.655405405405405
Enet[alpha=0.4]	0.713432835820896	0.675675675675676
glmBoost+Enet[alpha=0.4]	0.716417910447761	0.655405405405405
Lasso+glmBoost	0.737313432835821	0.709459459459459
Enet[alpha=0.5]	0.713432835820896	0.668918918918919
glmBoost	0.73134328358209	0.702702702702703
glmBoost+Enet[alpha=0.5]	0.722388059701493	0.655405405405405
Enet[alpha=0.6]	0.716417910447761	0.668918918918919
glmBoost+Enet[alpha=0.6]	0.713432835820896	0.655405405405405
glmBoost+Enet[alpha=0.7]	0.722388059701493	0.655405405405405
glmBoost+Enet[alpha=0.8]	0.713432835820896	0.662162162162162
Enet[alpha=0.8]	0.716417910447761	0.662162162162162
Enet[alpha=0.9]	0.713432835820896	0.655405405405405
Lasso	0.716417910447761	0.655405405405405
Enet[alpha=0.7]	0.716417910447761	0.668918918918919
glmBoost+Enet[alpha=0.9]	0.719402985074627	0.655405405405405
glmBoost+Lasso	0.719402985074627	0.655405405405405
Lasso+plsRglm	0.713432835820896	0.655405405405405
glmBoost+plsRglm	0.713432835820896	0.655405405405405
glmBoost+Stepglm[forward]	0.719402985074627	0.662162162162162
Lasso+Stepglm[forward]	0.719402985074627	0.662162162162162
Stepglm[forward]	0.716417910447761	0.655405405405405
plsRglm	0.716417910447761	0.662162162162162
RF+Ridge	0.698507462686567	0.668918918918919
RF+Enet[alpha=0.1]	0.695522388059701	0.675675675675676
RF+plsRglm	0.71044776119403	0.682432432432432
RF+Stepglm[forward]	0.701492537313433	0.675675675675676
RF+Enet[alpha=0.2]	0.695522388059701	0.675675675675676
RF+Enet[alpha=0.3]	0.698507462686567	0.682432432432432
RF+Enet[alpha=0.6]	0.701492537313433	0.682432432432432
RF+Lasso	0.704477611940298	0.662162162162162
RF+Enet[alpha=0.7]	0.704477611940298	0.675675675675676
RF+Enet[alpha=0.5]	0.698507462686567	0.668918918918919
RF+glmBoost	0.719402985074627	0.695945945945946
RF+Enet[alpha=0.9]	0.704477611940298	0.668918918918919
RF+Enet[alpha=0.4]	0.704477611940298	0.682432432432432
RF+Enet[alpha=0.8]	0.701492537313433	0.668918918918919
RF+Stepglm[both]	0.716417910447761	0.655405405405405
RF+Stepglm[backward]	0.716417910447761	0.655405405405405
Stepglm[both]+Ridge	0.716417910447761	0.662162162162162
Stepglm[backward]+Ridge	0.713432835820896	0.662162162162162
Stepglm[both]+plsRglm	0.707462686567164	0.641891891891892
Stepglm[backward]+plsRglm	0.707462686567164	0.641891891891892
Stepglm[both]+Enet[alpha=0.9]	0.719402985074627	0.648648648648649
Stepglm[backward]+Enet[alpha=0.9]	0.722388059701493	0.648648648648649
Stepglm[both]+Enet[alpha=0.1]	0.728358208955224	0.648648648648649
Stepglm[backward]+Enet[alpha=0.1]	0.716417910447761	0.655405405405405
Stepglm[both]+Enet[alpha=0.8]	0.719402985074627	0.648648648648649
Stepglm[backward]+Enet[alpha=0.8]	0.719402985074627	0.648648648648649
Stepglm[both]+Enet[alpha=0.2]	0.725373134328358	0.648648648648649
Stepglm[backward]+Enet[alpha=0.2]	0.716417910447761	0.655405405405405
Stepglm[both]+Lasso	0.719402985074627	0.648648648648649
Stepglm[backward]+Lasso	0.719402985074627	0.648648648648649
Stepglm[both]+Enet[alpha=0.6]	0.719402985074627	0.648648648648649
Stepglm[backward]+Enet[alpha=0.6]	0.719402985074627	0.648648648648649
glmBoost+GBM	0.77910447761194	0.75
Stepglm[both]+Enet[alpha=0.7]	0.725373134328358	0.648648648648649
Stepglm[backward]+Enet[alpha=0.7]	0.719402985074627	0.648648648648649
Lasso+Stepglm[backward]	0.728358208955224	0.641891891891892
Stepglm[both]	0.728358208955224	0.641891891891892
Stepglm[backward]	0.728358208955224	0.641891891891892
glmBoost+Stepglm[both]	0.728358208955224	0.641891891891892
glmBoost+Stepglm[backward]	0.728358208955224	0.641891891891892
Stepglm[both]+Enet[alpha=0.4]	0.716417910447761	0.648648648648649
Stepglm[backward]+Enet[alpha=0.4]	0.719402985074627	0.648648648648649
Stepglm[both]+Enet[alpha=0.3]	0.716417910447761	0.648648648648649
Stepglm[backward]+Enet[alpha=0.3]	0.719402985074627	0.648648648648649
Stepglm[both]+glmBoost	0.728358208955224	0.689189189189189
Stepglm[backward]+glmBoost	0.728358208955224	0.682432432432432
Stepglm[both]+Enet[alpha=0.5]	0.719402985074627	0.648648648648649
Stepglm[backward]+Enet[alpha=0.5]	0.722388059701493	0.648648648648649
glmBoost+RF	0.976119402985075	0.736486486486487
RF	0.988059701492537	0.709459459459459
Lasso+GBM	0.773134328358209	0.743243243243243
RF+GBM	0.823880597014925	0.716216216216216
GBM	0.802985074626866	0.72972972972973
Lasso+RF	0.976119402985075	0.736486486486487
Stepglm[both]+GBM	0.785074626865672	0.722972972972973
Stepglm[backward]+GBM	0.782089552238806	0.716216216216216
Stepglm[both]+RF	0.973134328358209	0.72972972972973
LDA	0.719402985074627	0.722972972972973
glmBoost+LDA	0.713432835820896	0.722972972972973
RF+LDA	0.716417910447761	0.716216216216216
Stepglm[both]+LDA	0.71044776119403	0.722972972972973
Stepglm[backward]+LDA	0.71044776119403	0.722972972972973
Lasso+LDA	0.713432835820896	0.722972972972973
Stepglm[backward]+RF	0.967164179104478	0.736486486486487
XGBoost	0.549253731343284	0.540540540540541
Lasso+XGBoost	0.549253731343284	0.540540540540541
glmBoost+XGBoost	0.549253731343284	0.540540540540541
RF+XGBoost	0.791044776119403	0.810810810810811
Stepglm[both]+XGBoost	0.791044776119403	0.810810810810811
Stepglm[backward]+XGBoost	0.549253731343284	0.540540540540541
