"outcome_id","outcome_label","group","n_features","n_predict_features","features","displayed_features","auc","brier","accuracy","f1","recall"
"any_vascular","Any vascular complication","Overall",7,13,"TREM2_per100;age;systolic_blood_pressure;smoke;smoking_history;TP;height;CHOL;UA;HCT;RDW_SD;HbA1c_pct;NEUT_pct","TREM2_per100;HbA1c_pct;systolic_blood_pressure;age;TP;height;CHOL",0.923539326405115,0.0612297666046076,0.921754962455991,0.952169671820332,0.944217206147217
"macro_vascular","Macrovascular complication","Overall",13,20,"TREM2_per100;age;smoke;smoking_history;systolic_blood_pressure;pulse;LDL_CH;CHOL;height;HbA1c_pct;HDL_CH;ALB;TP;BMI;alcohol_consumption_history;RDW_SD;diastolic_blood_pressure;drink;BASO_abs;NEUT","TREM2_per100;age;HbA1c_pct;pulse;systolic_blood_pressure;LDL_CH;HDL_CH;ALB;CHOL;BMI;height;RDW_SD;NEUT",0.890749855218638,0.10330089602655,0.863910627483458,0.910450829684702,0.93719665655886
"micro_vascular","Microvascular complication","Overall",18,20,"TREM2_per100;HGB;UA;CREA;systolic_blood_pressure;HCT;alcohol_consumption_history;LYMPH_pct;TBIL;UREA;LYMPH_abs;TP;pulse;NEUT_pct;drink;ALT;ALB;age;HbA1c_pct;PLT","TREM2_per100;CREA;UREA;systolic_blood_pressure;HbA1c_pct;UA;ALB;pulse;TBIL;HGB;TP;PLT;ALT;age;LYMPH_pct;HCT;NEUT_pct;LYMPH_abs",0.806070919700064,0.180049296067574,0.72775163542757,0.725483670473339,0.738291686311488
"CHD","Coronary heart disease","Macrovascular",17,18,"TREM2_per100;age;CHOL;LDL_CH;pulse;smoking_history;diastolic_blood_pressure;smoke;wBC;NEUT;HDL_CH;PT_pct;NEUT_pct;RDW_SD;UA;TBIL;INR;MCHC","TREM2_per100;CHOL;LDL_CH;age;pulse;diastolic_blood_pressure;RDW_SD;HDL_CH;PT_pct;TBIL;MCHC;NEUT;NEUT_pct;wBC;UA;INR;smoking_history",0.795161680895446,0.183617438811398,0.711954363712685,0.702946702145639,0.699330115544834
"cerebrovascular_disease","Cerebrovascular disease","Macrovascular",10,11,"age;TREM2_per100;CHOL;diastolic_blood_pressure;LDL_CH;pulse;RBC;height;alcohol_consumption_history;smoking_history;RdW_CV","TREM2_per100;age;CHOL;diastolic_blood_pressure;height;LDL_CH;pulse;RdW_CV;RBC;smoking_history",0.753338475423532,0.165397854306974,0.753566983324429,0.343230934164204,0.250899214487982
"peripheral_vascular_disease","Peripheral vascular disease","Macrovascular",11,13,"TREM2_per100;age;smoke;smoking_history;HbA1c_pct;ALB;systolic_blood_pressure;TP;alcohol_consumption_history;height;CHOL;TT;RDW_SD","TREM2_per100;HbA1c_pct;age;ALB;systolic_blood_pressure;TP;CHOL;height;TT;RDW_SD;smoking_history",0.797250864540217,0.181485463492164,0.731960248396943,0.769686868090143,0.851938455416186
"cervical_vascular_diseases","Cervical vascular disease","Macrovascular",10,11,"TREM2_per100;age;HbA1c_pct;ALB;systolic_blood_pressure;smoking_history;smoke;TT;MPV;PLT;TP","TREM2_per100;systolic_blood_pressure;HbA1c_pct;ALB;age;PLT;MPV;TT;smoking_history;TP",0.735000416901208,0.201511155472577,0.678975580773777,0.551652686123016,0.506315617556153
"lower_extremity_vascular_diseases","Lower-extremity vascular disease","Macrovascular",15,17,"TREM2_per100;age;LYMPH_pct;HGB;TBIL;HCT;LYMPH_abs;diastolic_blood_pressure;TP;smoking_history;smoke;NEUT_pct;HbA1c_pct;TT;HDL_CH;NEUT;ALB","TREM2_per100;HbA1c_pct;TBIL;ALB;age;TT;HGB;HDL_CH;TP;NEUT;HCT;diastolic_blood_pressure;LYMPH_abs;NEUT_pct;LYMPH_pct",0.672821349911282,0.162355240135546,0.78268426440152,0.185749222353507,0.132054361898775
"diabetic_retinopathy","Diabetic retinopathy","Microvascular",13,14,"TREM2_per100;HGB;HCT;CREA;systolic_blood_pressure;ALT;CHOL;LDL_CH;smoking_history;UA;LYMPH_abs;TP;HDL_CH;ALB","TREM2_per100;CREA;HGB;CHOL;HCT;LDL_CH;ALB;systolic_blood_pressure;LYMPH_abs;HDL_CH;TP;UA;ALT",0.721838928333324,0.160490896432152,0.772208376894809,0.258482914684938,0.178886526244648
"diabetic_nephropathy","Diabetic nephropathy","Microvascular",13,18,"TREM2_per100;HGB;UA;CREA;HCT;LYMPH_pct;UREA;NEUT_pct;LYMPH_abs;TBIL;alcohol_consumption_history;TP;drink;NEUT;systolic_blood_pressure;age;wBC;MCHC","CREA;TREM2_per100;UREA;UA;systolic_blood_pressure;HGB;TP;age;HCT;MCHC;NEUT_pct;TBIL;LYMPH_pct",0.862622277969084,0.135152087375904,0.816539953225966,0.667366553138934,0.623679687837779
"peripheral_nerve_disease","Peripheral nerve disease","Microvascular",11,12,"TREM2_per100;HGB;HCT;alcohol_consumption_history;ALB;HbA1c_pct;TP;age;height;LYMPH_abs;drink;PLT","TREM2_per100;ALB;HbA1c_pct;height;HGB;TP;PLT;alcohol_consumption_history;LYMPH_abs;age;HCT",0.736952270828997,0.169633231741259,0.740903292740864,0.159014962485896,0.0944625821987589
