"variable","label","unit","input_type","category","default","min","max","step","help"
"age","Age","years","numeric","Demographics",62,25,95,1,""
"ALB","Albumin","g/L","numeric","Laboratory biomarkers",40.6,2.4,61.8,0.01,""
"alcohol_consumption_history","Alcohol consumption history","recorded value","numeric","Lifestyle",0,0,55,0.01,""
"ALT","Alanine aminotransferase","U/L","numeric","Laboratory biomarkers",19.8,1.13,738.8,0.01,""
"BASO_abs","Basophil count","10^9/L","numeric","Laboratory biomarkers",0.03,0,3,0.01,""
"BMI","Body mass index","kg/m2","numeric","Anthropometrics",24,15.2,47.3,0.01,""
"CHOL","Total cholesterol","mmol/L","numeric","Laboratory biomarkers",4.08,0.27,12.49,0.01,""
"CREA","Creatinine","umol/L","numeric","Laboratory biomarkers",83,0.04,1700,0.01,""
"diastolic_blood_pressure","Diastolic blood pressure","mmHg","numeric","Vital signs",80,42,127,0.01,""
"drink","Current drinking indicator","0/1","numeric","Lifestyle",0,0,1,1,""
"HbA1c_pct","HbA1c","percent","numeric","Laboratory biomarkers",7.4,5,88.1,0.01,""
"HCT","Hematocrit","percent","numeric","Laboratory biomarkers",40.7,17.6,433,0.01,""
"HDL_CH","HDL cholesterol","mmol/L","numeric","Laboratory biomarkers",0,0,100,0.01,""
"height","Height","cm","numeric","Anthropometrics",165,16,181.5,0.01,""
"HGB","Hemoglobin","g/L","numeric","Laboratory biomarkers",130,55,1255,0.01,""
"INR","International normalized ratio","ratio","numeric","Laboratory biomarkers",0.95,0.81,11.18,0.01,""
"LDL_CH","LDL cholesterol","mmol/L","numeric","Laboratory biomarkers",0,0,100,0.01,""
"LYMPH_abs","Lymphocyte count","10^9/L","numeric","Laboratory biomarkers",1.56,0.19,126,0.01,""
"LYMPH_pct","Lymphocyte percentage","percent","numeric","Laboratory biomarkers",24.5,1.35,382,0.01,""
"MCHC","Mean corpuscular hemoglobin concentration","g/L","numeric","Laboratory biomarkers",319,14.7,360,0.01,""
"MPV","Mean platelet volume","fL","numeric","Laboratory biomarkers",10.5,0.25,52.2,0.01,""
"NEUT","Neutrophil count","10^9/L","numeric","Laboratory biomarkers",4.25,0.84,16.83,0.01,""
"NEUT_pct","Neutrophil percentage","percent","numeric","Laboratory biomarkers",65.9,3.53,93.4,0.01,""
"PLT","Platelet count","10^9/L","numeric","Laboratory biomarkers",208,9,2211,0.01,""
"PT_pct","Prothrombin time activity","percent","numeric","Laboratory biomarkers",103.6,0.34,1004,0.01,""
"pulse","Pulse rate","beats/min","numeric","Vital signs",83,43,855,0.01,""
"RBC","Red blood cell count","10^12/L","numeric","Laboratory biomarkers",4.33,1.8,454,0.01,""
"RdW_CV","RDW-CV","percent","numeric","Laboratory biomarkers",0,0,100,0.01,""
"RDW_SD","RDW-SD","fL","numeric","Laboratory biomarkers",0,0,100,0.01,""
"smoke","Current smoking indicator","0/1","numeric","Lifestyle",0,0,1,1,""
"smoking_history","Smoking history","recorded value","numeric","Lifestyle",0,0,60,0.01,""
"systolic_blood_pressure","Systolic blood pressure","mmHg","numeric","Vital signs",131,75,1311,0.01,""
"TBIL","Total bilirubin","umol/L","numeric","Laboratory biomarkers",10.6,0.59,172,0.01,""
"TP","Total protein","g/L","numeric","Laboratory biomarkers",67.4,1.1,89.2,0.01,""
"TREM2_per100","TREM2 per 100 units","per 100","numeric","Protein biomarker",30.123,0.35,62.22,0.01,""
"TT","Thrombin time","s","numeric","Laboratory biomarkers",18.3,0.76,919.6,0.01,""
"UA","Uric acid","umol/L","numeric","Laboratory biomarkers",319,47.23,798,0.01,""
"UREA","Urea","mmol/L","numeric","Laboratory biomarkers",6.7,0.27,118,0.01,""
"wBC","White blood cell count","10^9/L","numeric","Laboratory biomarkers",6.46,2.33,19.14,0.01,""
