Training	Testing
Lasso+Stepglm[both]	0.848589183742022	0.856880733944954
Ridge	0.849428955324152	0.872018348623853
glmBoost+Ridge	0.849447616914866	0.864220183486239
Enet[alpha=0.1]	0.850240734520211	0.87006880733945
glmBoost+Enet[alpha=0.1]	0.849867502705931	0.861467889908257
Enet[alpha=0.2]	0.85011943418057	0.870642201834862
Enet[alpha=0.3]	0.849270331803083	0.871043577981651
glmBoost+Enet[alpha=0.3]	0.84965289441272	0.862844036697248
glmBoost+Enet[alpha=0.2]	0.849792856343075	0.861811926605505
Enet[alpha=0.4]	0.850408688836636	0.865997706422018
glmBoost+Enet[alpha=0.4]	0.849671556003434	0.858887614678899
Lasso+glmBoost	0.846023215018848	0.869266055045872
Enet[alpha=0.5]	0.850399358041279	0.865940366972477
glmBoost	0.845873922293136	0.869380733944954
glmBoost+Enet[alpha=0.5]	0.849643563617363	0.857912844036697
Enet[alpha=0.6]	0.85042735042735	0.865711009174312
glmBoost+Enet[alpha=0.6]	0.849727540775576	0.858199541284404
glmBoost+Enet[alpha=0.7]	0.849531594073079	0.857396788990826
glmBoost+Enet[alpha=0.8]	0.849578248049864	0.857855504587156
Enet[alpha=0.8]	0.850529989176277	0.864965596330275
Enet[alpha=0.9]	0.850464673608778	0.86427752293578
Lasso	0.849858171910574	0.864105504587156
Enet[alpha=0.7]	0.850455342813421	0.865137614678899
glmBoost+Enet[alpha=0.9]	0.849522263277722	0.857740825688073
glmBoost+Lasso	0.849512932482365	0.856422018348624
Lasso+plsRglm	0.848122643974172	0.8625
glmBoost+plsRglm	0.848589183742022	0.858600917431193
glmBoost+Stepglm[forward]	0.849391632142724	0.855733944954128
Lasso+Stepglm[forward]	0.850054118613071	0.860149082568807
Stepglm[forward]	0.850455342813421	0.862155963302752
plsRglm	0.844241033105662	0.86381880733945
RF+Ridge	0.848775799649162	0.868405963302752
RF+Enet[alpha=0.1]	0.849382301347367	0.868061926605505
RF+plsRglm	0.848859776807375	0.861926605504587
RF+Stepglm[forward]	0.849923487478073	0.857454128440367
RF+Enet[alpha=0.2]	0.849540924868436	0.867316513761468
RF+Enet[alpha=0.3]	0.850128764975927	0.863417431192661
RF+Enet[alpha=0.6]	0.849830179524503	0.864048165137615
RF+Lasso	0.849680886798791	0.863016055045872
RF+Enet[alpha=0.7]	0.849596909640578	0.863876146788991
RF+Enet[alpha=0.5]	0.849960810659501	0.861754587155963
RF+glmBoost	0.845649983204568	0.869036697247706
RF+Enet[alpha=0.9]	0.849802187138432	0.862672018348624
RF+Enet[alpha=0.4]	0.849970141454858	0.864105504587156
RF+Enet[alpha=0.8]	0.849634232822006	0.863245412844037
RF+Stepglm[both]	0.848589183742022	0.856880733944954
RF+Stepglm[backward]	0.848589183742022	0.856880733944954
Stepglm[both]+Ridge	0.849764863957004	0.864850917431193
Stepglm[backward]+Ridge	0.849764863957004	0.864850917431193
Stepglm[both]+plsRglm	0.845883253088493	0.857396788990826
Stepglm[backward]+plsRglm	0.845883253088493	0.857396788990826
Stepglm[both]+Enet[alpha=0.9]	0.848831784421304	0.85756880733945
Stepglm[backward]+Enet[alpha=0.9]	0.848654499309521	0.857454128440367
Stepglm[both]+Enet[alpha=0.1]	0.849149031463442	0.860206422018349
Stepglm[backward]+Enet[alpha=0.1]	0.849074385100586	0.85894495412844
Stepglm[both]+Enet[alpha=0.8]	0.848691822490949	0.858428899082569
Stepglm[backward]+Enet[alpha=0.8]	0.848747807263091	0.857740825688073
Stepglm[both]+Enet[alpha=0.2]	0.848887769193446	0.858256880733945
Stepglm[backward]+Enet[alpha=0.2]	0.849130369872728	0.859346330275229
Stepglm[both]+Lasso	0.848645168514164	0.857511467889908
Stepglm[backward]+Lasso	0.848831784421304	0.857511467889908
Stepglm[both]+Enet[alpha=0.6]	0.848822453625947	0.857454128440367
Stepglm[backward]+Enet[alpha=0.6]	0.848869107602732	0.857855504587156
glmBoost+GBM	0.923954017840481	0.87947247706422
Stepglm[both]+Enet[alpha=0.7]	0.84890643078416	0.85756880733945
Stepglm[backward]+Enet[alpha=0.7]	0.848841115216661	0.857396788990826
Lasso+Stepglm[backward]	0.848589183742022	0.856880733944954
Stepglm[both]	0.848589183742022	0.856880733944954
Stepglm[backward]	0.848589183742022	0.856880733944954
glmBoost+Stepglm[both]	0.848589183742022	0.856880733944954
glmBoost+Stepglm[backward]	0.848589183742022	0.856880733944954
Stepglm[both]+Enet[alpha=0.4]	0.848971746351659	0.860206422018349
