Training	Testing
Lasso+Stepglm[both]	0.796269727403156	0.812080536912752
Ridge	0.780487804878049	0.838926174496644
glmBoost+Ridge	0.78909612625538	0.835570469798658
Enet[alpha=0.1]	0.791965566714491	0.838926174496644
glmBoost+Enet[alpha=0.1]	0.796269727403156	0.825503355704698
Enet[alpha=0.2]	0.78622668579627	0.838926174496644
Enet[alpha=0.3]	0.78622668579627	0.832214765100671
glmBoost+Enet[alpha=0.3]	0.791965566714491	0.828859060402685
glmBoost+Enet[alpha=0.2]	0.796269727403156	0.828859060402685
Enet[alpha=0.4]	0.799139167862267	0.828859060402685
glmBoost+Enet[alpha=0.4]	0.800573888091822	0.825503355704698
Lasso+glmBoost	0.791965566714491	0.822147651006711
Enet[alpha=0.5]	0.799139167862267	0.828859060402685
glmBoost	0.78909612625538	0.822147651006711
glmBoost+Enet[alpha=0.5]	0.800573888091822	0.822147651006711
Enet[alpha=0.6]	0.796269727403156	0.828859060402685
glmBoost+Enet[alpha=0.6]	0.799139167862267	0.825503355704698
glmBoost+Enet[alpha=0.7]	0.800573888091822	0.822147651006711
glmBoost+Enet[alpha=0.8]	0.800573888091822	0.825503355704698
Enet[alpha=0.8]	0.800573888091822	0.828859060402685
Enet[alpha=0.9]	0.800573888091822	0.828859060402685
Lasso	0.797704447632712	0.825503355704698
Enet[alpha=0.7]	0.797704447632712	0.828859060402685
glmBoost+Enet[alpha=0.9]	0.800573888091822	0.825503355704698
glmBoost+Lasso	0.799139167862267	0.815436241610738
Lasso+plsRglm	0.796269727403156	0.832214765100671
glmBoost+plsRglm	0.797704447632712	0.828859060402685
glmBoost+Stepglm[forward]	0.796269727403156	0.818791946308725
Lasso+Stepglm[forward]	0.797704447632712	0.822147651006711
Stepglm[forward]	0.794835007173601	0.828859060402685
plsRglm	0.787661406025825	0.832214765100671
RF+Ridge	0.784791965566714	0.835570469798658
RF+Enet[alpha=0.1]	0.78622668579627	0.835570469798658
RF+plsRglm	0.791965566714491	0.828859060402685
RF+Stepglm[forward]	0.794835007173601	0.815436241610738
RF+Enet[alpha=0.2]	0.78909612625538	0.832214765100671
RF+Enet[alpha=0.3]	0.796269727403156	0.828859060402685
RF+Enet[alpha=0.6]	0.796269727403156	0.825503355704698
RF+Lasso	0.799139167862267	0.825503355704698
RF+Enet[alpha=0.7]	0.797704447632712	0.828859060402685
RF+Enet[alpha=0.5]	0.794835007173601	0.825503355704698
RF+glmBoost	0.790530846484935	0.818791946308725
RF+Enet[alpha=0.9]	0.799139167862267	0.825503355704698
RF+Enet[alpha=0.4]	0.797704447632712	0.828859060402685
RF+Enet[alpha=0.8]	0.797704447632712	0.825503355704698
RF+Stepglm[both]	0.796269727403156	0.812080536912752
RF+Stepglm[backward]	0.796269727403156	0.812080536912752
Stepglm[both]+Ridge	0.790530846484935	0.835570469798658
Stepglm[backward]+Ridge	0.790530846484935	0.835570469798658
Stepglm[both]+plsRglm	0.793400286944046	0.812080536912752
Stepglm[backward]+plsRglm	0.793400286944046	0.812080536912752
Stepglm[both]+Enet[alpha=0.9]	0.800573888091822	0.818791946308725
Stepglm[backward]+Enet[alpha=0.9]	0.796269727403156	0.812080536912752
Stepglm[both]+Enet[alpha=0.1]	0.799139167862267	0.818791946308725
Stepglm[backward]+Enet[alpha=0.1]	0.799139167862267	0.818791946308725
Stepglm[both]+Enet[alpha=0.8]	0.800573888091822	0.818791946308725
Stepglm[backward]+Enet[alpha=0.8]	0.800573888091822	0.818791946308725
Stepglm[both]+Enet[alpha=0.2]	0.799139167862267	0.818791946308725
Stepglm[backward]+Enet[alpha=0.2]	0.799139167862267	0.818791946308725
Stepglm[both]+Lasso	0.796269727403156	0.812080536912752
Stepglm[backward]+Lasso	0.800573888091822	0.818791946308725
Stepglm[both]+Enet[alpha=0.6]	0.797704447632712	0.818791946308725
Stepglm[backward]+Enet[alpha=0.6]	0.800573888091822	0.818791946308725
glmBoost+GBM	0.8493543758967	0.828859060402685
Stepglm[both]+Enet[alpha=0.7]	0.799139167862267	0.818791946308725
Stepglm[backward]+Enet[alpha=0.7]	0.797704447632712	0.818791946308725
Lasso+Stepglm[backward]	0.796269727403156	0.812080536912752
Stepglm[both]	0.796269727403156	0.812080536912752
Stepglm[backward]	0.796269727403156	0.812080536912752
glmBoost+Stepglm[both]	0.796269727403156	0.812080536912752
glmBoost+Stepglm[backward]	0.796269727403156	0.812080536912752
Stepglm[both]+Enet[alpha=0.4]	0.802008608321377	0.818791946308725
Stepglm[backward]+Enet[alpha=0.4]	0.799139167862267	0.818791946308725
Stepglm[both]+Enet[alpha=0.3]	0.799139167862267	0.818791946308725
Stepglm[backward]+Enet[alpha=0.3]	0.799139167862267	0.818791946308725
Stepglm[both]+glmBoost	0.787661406025825	0.825503355704698
Stepglm[backward]+glmBoost	0.787661406025825	0.825503355704698
Stepglm[both]+Enet[alpha=0.5]	0.797704447632712	0.818791946308725
Stepglm[backward]+Enet[alpha=0.5]	0.799139167862267	0.818791946308725
glmBoost+RF	0.941176470588235	0.835570469798658
RF	0.961262553802009	0.838926174496644
Lasso+GBM	0.8493543758967	0.845637583892617
RF+GBM	0.866571018651363	0.825503355704698
GBM	0.860832137733142	0.825503355704698
Lasso+RF	0.952654232424677	0.825503355704698
Stepglm[both]+GBM	0.8493543758967	0.842281879194631
Stepglm[backward]+GBM	0.8493543758967	0.835570469798658
Stepglm[both]+RF	0.93687230989957	0.835570469798658
LDA	0.780487804878049	0.832214765100671
glmBoost+LDA	0.78909612625538	0.825503355704698
RF+LDA	0.780487804878049	0.828859060402685
Stepglm[both]+LDA	0.784791965566714	0.832214765100671
Stepglm[backward]+LDA	0.784791965566714	0.832214765100671
Lasso+LDA	0.784791965566714	0.832214765100671
Stepglm[backward]+RF	0.935437589670014	0.842281879194631
XGBoost	0.817790530846485	0.835570469798658
Lasso+XGBoost	0.839311334289814	0.818791946308725
glmBoost+XGBoost	0.843615494978479	0.808724832214765
RF+XGBoost	0.817790530846485	0.835570469798658
Stepglm[both]+XGBoost	0.817790530846485	0.835570469798658
Stepglm[backward]+XGBoost	0.817790530846485	0.835570469798658
