Training	Testing
Lasso+Stepglm[both]	0.145282830693871	0.137034650296889
Ridge	0.146912765220277	0.12780554238875
glmBoost+Ridge	0.146922791361065	0.131011220234288
Enet[alpha=0.1]	0.146127489269316	0.129105392580874
glmBoost+Enet[alpha=0.1]	0.145845550488905	0.132371628389193
Enet[alpha=0.2]	0.146787590281463	0.128644472714651
Enet[alpha=0.3]	0.148038657491232	0.128725600329461
glmBoost+Enet[alpha=0.3]	0.146288647482889	0.131640047766988
glmBoost+Enet[alpha=0.2]	0.145977121216771	0.132129783341043
Enet[alpha=0.4]	0.145373015369658	0.131066150215154
glmBoost+Enet[alpha=0.4]	0.145386591832873	0.133963197189675
Lasso+glmBoost	0.149445869968684	0.132608910585367
Enet[alpha=0.5]	0.145434521196193	0.130996127318684
glmBoost	0.149525963745831	0.132857249418305
glmBoost+Enet[alpha=0.5]	0.145284839655922	0.134490460058122
Enet[alpha=0.6]	0.145767772089629	0.130524149273282
glmBoost+Enet[alpha=0.6]	0.145336044033651	0.134286538081588
glmBoost+Enet[alpha=0.7]	0.145241503293925	0.134803293606619
glmBoost+Enet[alpha=0.8]	0.145298378652976	0.134551548603093
Enet[alpha=0.8]	0.145536713531377	0.131207411839316
Enet[alpha=0.9]	0.145462558097419	0.131484238591352
Lasso	0.145861358442742	0.131072825169429
Enet[alpha=0.7]	0.145634350279691	0.130896496983579
glmBoost+Enet[alpha=0.9]	0.1453047659217	0.134561533328309
glmBoost+Lasso	0.145104823485284	0.135746234091623
Lasso+plsRglm	0.1466094667517	0.130990456180211
glmBoost+plsRglm	0.146235331280403	0.133345878147361
glmBoost+Stepglm[forward]	0.145029520074033	0.136383463168183
Lasso+Stepglm[forward]	0.144814249690031	0.134087877355796
Stepglm[forward]	0.14475146898213	0.13330353978221
plsRglm	0.148006225283735	0.130715402052417
RF+Ridge	0.147675598457518	0.129621699857352
RF+Enet[alpha=0.1]	0.147285052521801	0.129759395479761
RF+plsRglm	0.146934706085928	0.132361903349239
RF+Stepglm[forward]	0.144976775522917	0.136235072387091
RF+Enet[alpha=0.2]	0.146741210660433	0.130184516599281
RF+Enet[alpha=0.3]	0.145750048164191	0.131903488996822
RF+Enet[alpha=0.6]	0.145914249113033	0.131602101530625
RF+Lasso	0.145974856670218	0.131806278386786
RF+Enet[alpha=0.7]	0.146157975948446	0.131276663682243
RF+Enet[alpha=0.5]	0.145442132526712	0.132935048130139
RF+glmBoost	0.149707353075127	0.133029079098548
RF+Enet[alpha=0.9]	0.145707307667897	0.13231252929873
RF+Enet[alpha=0.4]	0.14586012698716	0.131615317257697
RF+Enet[alpha=0.8]	0.146025794036007	0.131594574091401
RF+Stepglm[both]	0.145282830693871	0.137034650296889
RF+Stepglm[backward]	0.145282830693871	0.137034650296889
Stepglm[both]+Ridge	0.147167458733141	0.130916816438131
Stepglm[backward]+Ridge	0.147167458733141	0.130916816438131
Stepglm[both]+plsRglm	0.146791381666245	0.136888812963209
Stepglm[backward]+plsRglm	0.146791381666245	0.136888812963209
Stepglm[both]+Enet[alpha=0.9]	0.145502067120273	0.135240403006365
Stepglm[backward]+Enet[alpha=0.9]	0.145347958248546	0.136358897324947
Stepglm[both]+Enet[alpha=0.1]	0.145732962610146	0.133760399741964
Stepglm[backward]+Enet[alpha=0.1]	0.145564839036958	0.134572089287673
Stepglm[both]+Enet[alpha=0.8]	0.145628452355222	0.134529023918003
Stepglm[backward]+Enet[alpha=0.8]	0.145553866971923	0.134911528920541
Stepglm[both]+Enet[alpha=0.2]	0.145445364864286	0.135380295863454
Stepglm[backward]+Enet[alpha=0.2]	0.145607474872977	0.134386248595489
Stepglm[both]+Lasso	0.145343518917601	0.136412502383134
Stepglm[backward]+Lasso	0.14548544830754	0.135370054202973
Stepglm[both]+Enet[alpha=0.6]	0.145405257707342	0.13581492315877
Stepglm[backward]+Enet[alpha=0.6]	0.145555950823925	0.134827412959579
glmBoost+GBM	0.104705814786676	0.12170922804563
Stepglm[both]+Enet[alpha=0.7]	0.145495132089841	0.135219537694933
Stepglm[backward]+Enet[alpha=0.7]	0.145417403253998	0.135748147419628
Lasso+Stepglm[backward]	0.145282830693871	0.137034650296889
Stepglm[both]	0.145282830693871	0.137034650296889
Stepglm[backward]	0.145282830693871	0.137034650296889
glmBoost+Stepglm[both]	0.145282830693871	0.137034650296889
glmBoost+Stepglm[backward]	0.145282830693871	0.137034650296889
Stepglm[both]+Enet[alpha=0.4]	0.14594041144847	0.133132122659099
Stepglm[backward]+Enet[alpha=0.4]	0.145685296745263	0.134098709698729
Stepglm[both]+Enet[alpha=0.3]	0.14554771507984	0.13475483173517
Stepglm[backward]+Enet[alpha=0.3]	0.145618191878862	0.134375005302542
Stepglm[both]+glmBoost	0.149729475682821	0.13239299427924
Stepglm[backward]+glmBoost	0.149729475682821	0.13239299427924
Stepglm[both]+Enet[alpha=0.5]	0.145426316323455	0.135624584355143
Stepglm[backward]+Enet[alpha=0.5]	0.145509452456679	0.135061292650798
glmBoost+RF	0.0552591122871404	0.125345106091135
RF	0.0510666780691095	0.130131081178295
Lasso+GBM	0.103481973868383	0.122734817158266
RF+GBM	0.0913173512828519	0.126573255314706
GBM	0.0948004569645268	0.125700823837938
Lasso+RF	0.0530821118652504	0.130182276529556
Stepglm[both]+GBM	0.10943315836697	0.120651707928551
Stepglm[backward]+GBM	0.108806931021837	0.120446633808172
Stepglm[both]+RF	0.0562427600174311	0.123945717297342
LDA	0.148847669067614	0.123482855019596
glmBoost+LDA	0.148956387608806	0.128862807974423
RF+LDA	0.148877820750748	0.126559615122476
Stepglm[both]+LDA	0.149147583520967	0.12819881701261
Stepglm[backward]+LDA	0.149147583520967	0.12819881701261
Lasso+LDA	0.148924130910426	0.125739220688408
Stepglm[backward]+RF	0.0561703154633787	0.123977502968353
XGBoost	0.136245061111327	0.13372193227391
Lasso+XGBoost	0.112953391319323	0.140193288139824
glmBoost+XGBoost	0.120695312091222	0.13448527419695
RF+XGBoost	0.136245061111327	0.13372193227391
Stepglm[both]+XGBoost	0.136245061111327	0.13372193227391
Stepglm[backward]+XGBoost	0.136245061111327	0.13372193227391
