Training	Testing
Lasso+Stepglm[both]	0.648514851485149	0.658536585365854
Ridge	0.598425196850394	0.69620253164557
glmBoost+Ridge	0.616187989556136	0.687898089171974
Enet[alpha=0.1]	0.627249357326478	0.69620253164557
glmBoost+Enet[alpha=0.1]	0.637755102040816	0.675
Enet[alpha=0.2]	0.610966057441253	0.692307692307692
Enet[alpha=0.3]	0.602666666666667	0.679487179487179
glmBoost+Enet[alpha=0.3]	0.625322997416021	0.679245283018868
glmBoost+Enet[alpha=0.2]	0.637755102040816	0.679245283018868
Enet[alpha=0.4]	0.644670050761421	0.679245283018868
glmBoost+Enet[alpha=0.4]	0.649874055415617	0.675
Lasso+glmBoost	0.625322997416021	0.658064516129032
Enet[alpha=0.5]	0.644670050761421	0.679245283018868
glmBoost	0.622107969151671	0.658064516129032
glmBoost+Enet[alpha=0.5]	0.651629072681704	0.670807453416149
Enet[alpha=0.6]	0.635897435897436	0.679245283018868
glmBoost+Enet[alpha=0.6]	0.65	0.675
glmBoost+Enet[alpha=0.7]	0.651629072681704	0.670807453416149
glmBoost+Enet[alpha=0.8]	0.651629072681704	0.675
Enet[alpha=0.8]	0.646310432569975	0.679245283018868
Enet[alpha=0.9]	0.648101265822785	0.679245283018868
Lasso	0.639386189258312	0.675
Enet[alpha=0.7]	0.639386189258312	0.679245283018868
glmBoost+Enet[alpha=0.9]	0.651629072681704	0.675
glmBoost+Lasso	0.65	0.662576687116564
Lasso+plsRglm	0.635897435897436	0.683544303797468
glmBoost+plsRglm	0.639386189258312	0.67515923566879
glmBoost+Stepglm[forward]	0.646766169154229	0.666666666666667
Lasso+Stepglm[forward]	0.648379052369077	0.674846625766871
Stepglm[forward]	0.645161290322581	0.687116564417178
plsRglm	0.616580310880829	0.683544303797468
RF+Ridge	0.607329842931937	0.687898089171974
RF+Enet[alpha=0.1]	0.608923884514436	0.687898089171974
RF+plsRglm	0.632911392405063	0.683229813664596
RF+Stepglm[forward]	0.643391521197008	0.666666666666667
RF+Enet[alpha=0.2]	0.616187989556136	0.683544303797468
RF+Enet[alpha=0.3]	0.639593908629442	0.679245283018868
RF+Enet[alpha=0.6]	0.635897435897436	0.675
RF+Lasso	0.642857142857143	0.675
RF+Enet[alpha=0.7]	0.639386189258312	0.679245283018868
RF+Enet[alpha=0.5]	0.639798488664987	0.675
RF+glmBoost	0.621761658031088	0.649350649350649
RF+Enet[alpha=0.9]	0.642857142857143	0.675
RF+Enet[alpha=0.4]	0.641221374045801	0.679245283018868
RF+Enet[alpha=0.8]	0.639386189258312	0.675
RF+Stepglm[both]	0.648514851485149	0.658536585365854
RF+Stepglm[backward]	0.648514851485149	0.658536585365854
Stepglm[both]+Ridge	0.61578947368421	0.687898089171974
Stepglm[backward]+Ridge	0.61578947368421	0.687898089171974
Stepglm[both]+plsRglm	0.636363636363636	0.658536585365854
Stepglm[backward]+plsRglm	0.636363636363636	0.658536585365854
Stepglm[both]+Enet[alpha=0.9]	0.651629072681704	0.666666666666667
Stepglm[backward]+Enet[alpha=0.9]	0.646766169154229	0.658536585365854
Stepglm[both]+Enet[alpha=0.1]	0.648241206030151	0.666666666666667
Stepglm[backward]+Enet[alpha=0.1]	0.648241206030151	0.666666666666667
Stepglm[both]+Enet[alpha=0.8]	0.649874055415617	0.666666666666667
Stepglm[backward]+Enet[alpha=0.8]	0.651629072681704	0.666666666666667
Stepglm[both]+Enet[alpha=0.2]	0.65	0.666666666666667
Stepglm[backward]+Enet[alpha=0.2]	0.648241206030151	0.666666666666667
Stepglm[both]+Lasso	0.646766169154229	0.658536585365854
Stepglm[backward]+Lasso	0.651629072681704	0.666666666666667
Stepglm[both]+Enet[alpha=0.6]	0.648379052369077	0.666666666666667
Stepglm[backward]+Enet[alpha=0.6]	0.651629072681704	0.666666666666667
glmBoost+GBM	0.742014742014742	0.683229813664596
Stepglm[both]+Enet[alpha=0.7]	0.65	0.666666666666667
Stepglm[backward]+Enet[alpha=0.7]	0.648379052369077	0.666666666666667
Lasso+Stepglm[backward]	0.648514851485149	0.658536585365854
Stepglm[both]	0.648514851485149	0.658536585365854
Stepglm[backward]	0.648514851485149	0.658536585365854
glmBoost+Stepglm[both]	0.648514851485149	0.658536585365854
glmBoost+Stepglm[backward]	0.648514851485149	0.658536585365854
Stepglm[both]+Enet[alpha=0.4]	0.651515151515151	0.666666666666667
Stepglm[backward]+Enet[alpha=0.4]	0.648241206030151	0.666666666666667
Stepglm[both]+Enet[alpha=0.3]	0.648241206030151	0.666666666666667
Stepglm[backward]+Enet[alpha=0.3]	0.648241206030151	0.666666666666667
Stepglm[both]+glmBoost	0.620512820512821	0.666666666666667
Stepglm[backward]+glmBoost	0.620512820512821	0.666666666666667
Stepglm[both]+Enet[alpha=0.5]	0.648379052369077	0.666666666666667
Stepglm[backward]+Enet[alpha=0.5]	0.65	0.666666666666667
glmBoost+RF	0.906178489702517	0.695652173913043
RF	0.939051918735892	0.707317073170732
Lasso+GBM	0.742014742014742	0.716049382716049
RF+GBM	0.778042959427208	0.69047619047619
GBM	0.766265060240964	0.69047619047619
Lasso+RF	0.925170068027211	0.69047619047619
Stepglm[both]+GBM	0.739454094292804	0.700636942675159
Stepglm[backward]+GBM	0.739454094292804	0.683870967741935
Stepglm[both]+RF	0.898148148148148	0.691823899371069
LDA	0.600522193211488	0.671052631578947
glmBoost+LDA	0.618181818181818	0.666666666666667
RF+LDA	0.600522193211488	0.666666666666667
Stepglm[both]+LDA	0.61340206185567	0.671052631578947
Stepglm[backward]+LDA	0.61340206185567	0.671052631578947
Lasso+LDA	0.609375	0.675324675324675
Stepglm[backward]+RF	0.895591647331787	0.700636942675159
XGBoost	0.655826558265583	0.675496688741722
Lasso+XGBoost	0.732057416267943	0.678571428571428
glmBoost+XGBoost	0.742316784869976	0.658682634730539
RF+XGBoost	0.655826558265583	0.675496688741722
Stepglm[both]+XGBoost	0.655826558265583	0.675496688741722
Stepglm[backward]+XGBoost	0.655826558265583	0.675496688741722
