Training	Testing
Lasso+Stepglm[both]	0.572052401746725	0.675
Ridge	0.497816593886463	0.6875
glmBoost+Ridge	0.51528384279476	0.675
Enet[alpha=0.1]	0.532751091703057	0.6875
glmBoost+Enet[alpha=0.1]	0.54585152838428	0.675
Enet[alpha=0.2]	0.510917030567686	0.675
Enet[alpha=0.3]	0.493449781659389	0.6625
glmBoost+Enet[alpha=0.3]	0.528384279475983	0.675
glmBoost+Enet[alpha=0.2]	0.54585152838428	0.675
Enet[alpha=0.4]	0.554585152838428	0.675
glmBoost+Enet[alpha=0.4]	0.563318777292576	0.675
Lasso+glmBoost	0.528384279475983	0.6375
Enet[alpha=0.5]	0.554585152838428	0.675
glmBoost	0.528384279475983	0.6375
glmBoost+Enet[alpha=0.5]	0.567685589519651	0.675
Enet[alpha=0.6]	0.541484716157205	0.675
glmBoost+Enet[alpha=0.6]	0.567685589519651	0.675
glmBoost+Enet[alpha=0.7]	0.567685589519651	0.675
glmBoost+Enet[alpha=0.8]	0.567685589519651	0.675
Enet[alpha=0.8]	0.554585152838428	0.675
Enet[alpha=0.9]	0.558951965065502	0.675
Lasso	0.54585152838428	0.675
Enet[alpha=0.7]	0.54585152838428	0.675
glmBoost+Enet[alpha=0.9]	0.567685589519651	0.675
glmBoost+Lasso	0.567685589519651	0.675
Lasso+plsRglm	0.541484716157205	0.675
glmBoost+plsRglm	0.54585152838428	0.6625
glmBoost+Stepglm[forward]	0.567685589519651	0.675
Lasso+Stepglm[forward]	0.567685589519651	0.6875
Stepglm[forward]	0.567685589519651	0.7
plsRglm	0.519650655021834	0.675
RF+Ridge	0.506550218340611	0.675
RF+Enet[alpha=0.1]	0.506550218340611	0.675
RF+plsRglm	0.54585152838428	0.6875
RF+Stepglm[forward]	0.563318777292576	0.6875
RF+Enet[alpha=0.2]	0.51528384279476	0.675
RF+Enet[alpha=0.3]	0.550218340611354	0.675
RF+Enet[alpha=0.6]	0.541484716157205	0.675
RF+Lasso	0.550218340611354	0.675
RF+Enet[alpha=0.7]	0.54585152838428	0.675
RF+Enet[alpha=0.5]	0.554585152838428	0.675
RF+glmBoost	0.524017467248908	0.625
RF+Enet[alpha=0.9]	0.550218340611354	0.675
RF+Enet[alpha=0.4]	0.550218340611354	0.675
RF+Enet[alpha=0.8]	0.54585152838428	0.675
RF+Stepglm[both]	0.572052401746725	0.675
RF+Stepglm[backward]	0.572052401746725	0.675
Stepglm[both]+Ridge	0.510917030567686	0.675
Stepglm[backward]+Ridge	0.510917030567686	0.675
Stepglm[both]+plsRglm	0.550218340611354	0.675
Stepglm[backward]+plsRglm	0.550218340611354	0.675
Stepglm[both]+Enet[alpha=0.9]	0.567685589519651	0.675
Stepglm[backward]+Enet[alpha=0.9]	0.567685589519651	0.675
Stepglm[both]+Enet[alpha=0.1]	0.563318777292576	0.675
Stepglm[backward]+Enet[alpha=0.1]	0.563318777292576	0.675
Stepglm[both]+Enet[alpha=0.8]	0.563318777292576	0.675
Stepglm[backward]+Enet[alpha=0.8]	0.567685589519651	0.675
Stepglm[both]+Enet[alpha=0.2]	0.567685589519651	0.675
Stepglm[backward]+Enet[alpha=0.2]	0.563318777292576	0.675
Stepglm[both]+Lasso	0.567685589519651	0.675
Stepglm[backward]+Lasso	0.567685589519651	0.675
Stepglm[both]+Enet[alpha=0.6]	0.567685589519651	0.675
Stepglm[backward]+Enet[alpha=0.6]	0.567685589519651	0.675
glmBoost+GBM	0.65938864628821	0.6875
Stepglm[both]+Enet[alpha=0.7]	0.567685589519651	0.675
Stepglm[backward]+Enet[alpha=0.7]	0.567685589519651	0.675
Lasso+Stepglm[backward]	0.572052401746725	0.675
Stepglm[both]	0.572052401746725	0.675
Stepglm[backward]	0.572052401746725	0.675
glmBoost+Stepglm[both]	0.572052401746725	0.675
glmBoost+Stepglm[backward]	0.572052401746725	0.675
Stepglm[both]+Enet[alpha=0.4]	0.563318777292576	0.675
Stepglm[backward]+Enet[alpha=0.4]	0.563318777292576	0.675
Stepglm[both]+Enet[alpha=0.3]	0.563318777292576	0.675
Stepglm[backward]+Enet[alpha=0.3]	0.563318777292576	0.675
Stepglm[both]+glmBoost	0.528384279475983	0.65
Stepglm[backward]+glmBoost	0.528384279475983	0.65
Stepglm[both]+Enet[alpha=0.5]	0.567685589519651	0.675
Stepglm[backward]+Enet[alpha=0.5]	0.567685589519651	0.675
glmBoost+RF	0.864628820960699	0.7
RF	0.908296943231441	0.725
Lasso+GBM	0.65938864628821	0.725
RF+GBM	0.7117903930131	0.725
GBM	0.694323144104803	0.725
Lasso+RF	0.890829694323144	0.725
Stepglm[both]+GBM	0.650655021834061	0.6875
Stepglm[backward]+GBM	0.650655021834061	0.6625
Stepglm[both]+RF	0.847161572052402	0.6875
LDA	0.502183406113537	0.6375
glmBoost+LDA	0.519650655021834	0.65
RF+LDA	0.502183406113537	0.6375
Stepglm[both]+LDA	0.519650655021834	0.6375
Stepglm[backward]+LDA	0.519650655021834	0.6375
Lasso+LDA	0.510917030567686	0.65
Stepglm[backward]+RF	0.842794759825327	0.6875
XGBoost	0.528384279475983	0.6375
Lasso+XGBoost	0.668122270742358	0.7125
glmBoost+XGBoost	0.685589519650655	0.6875
RF+XGBoost	0.528384279475983	0.6375
Stepglm[both]+XGBoost	0.528384279475983	0.6375
Stepglm[backward]+XGBoost	0.528384279475983	0.6375
