Training	Testing
Lasso+Stepglm[both]	0.79086336274429	0.780540540540541
Ridge	0.789461532118413	0.791486486486486
glmBoost+Ridge	0.789741898243589	0.792882882882883
Enet[alpha=0.1]	0.789040982930651	0.792027027027027
glmBoost+Enet[alpha=0.1]	0.789065721118166	0.793108108108108
Enet[alpha=0.2]	0.788678156180424	0.792837837837838
Enet[alpha=0.3]	0.788389543992743	0.793738738738739
glmBoost+Enet[alpha=0.3]	0.789733652181083	0.791891891891892
glmBoost+Enet[alpha=0.2]	0.78929661086831	0.793468468468469
Enet[alpha=0.4]	0.788439020367774	0.793558558558559
glmBoost+Enet[alpha=0.4]	0.789766636431104	0.792297297297297
Lasso+glmBoost	0.786237321678898	0.793063063063063
Enet[alpha=0.5]	0.788777108930486	0.793378378378378
glmBoost	0.786550672054094	0.794009009009009
glmBoost+Enet[alpha=0.5]	0.790888100931805	0.788333333333333
Enet[alpha=0.6]	0.788381297930238	0.792972972972973
glmBoost+Enet[alpha=0.6]	0.789395563618372	0.792387387387387
glmBoost+Enet[alpha=0.7]	0.790558258431599	0.788783783783784
glmBoost+Enet[alpha=0.8]	0.789898573431187	0.790630630630631
Enet[alpha=0.8]	0.789049228993156	0.792927927927928
Enet[alpha=0.9]	0.789321349055826	0.791171171171171
Lasso	0.789073967180671	0.792792792792793
Enet[alpha=0.7]	0.788570957367857	0.793378378378378
glmBoost+Enet[alpha=0.9]	0.790805640306753	0.787657657657658
glmBoost+Lasso	0.790129463181331	0.789594594594595
Lasso+plsRglm	0.790228415931393	0.781936936936937
glmBoost+plsRglm	0.790228415931393	0.781936936936937
glmBoost+Stepglm[forward]	0.791597262307248	0.785225225225225
Lasso+Stepglm[forward]	0.791597262307248	0.785225225225225
Stepglm[forward]	0.791572524119733	0.782297297297297
plsRglm	0.790154201368846	0.786936936936937
RF+Ridge	0.787762843242352	0.787207207207207
RF+Enet[alpha=0.1]	0.787210357054506	0.787522522522523
RF+plsRglm	0.786707347241692	0.783018018018018
RF+Stepglm[forward]	0.7892801187433	0.778063063063063
RF+Enet[alpha=0.2]	0.787746351117341	0.786801801801802
RF+Enet[alpha=0.3]	0.787433000742146	0.787432432432432
RF+Enet[alpha=0.6]	0.785915725241197	0.788423423423423
RF+Lasso	0.786344520491465	0.787792792792793
RF+Enet[alpha=0.7]	0.786418735054012	0.788333333333333
RF+Enet[alpha=0.5]	0.786872268491795	0.787612612612613
RF+glmBoost	0.784258266677661	0.789324324324324
RF+Enet[alpha=0.9]	0.786707347241692	0.787882882882883
RF+Enet[alpha=0.4]	0.786262059866414	0.788018018018018
RF+Enet[alpha=0.8]	0.786855776366785	0.787252252252252
RF+Stepglm[both]	0.788818339243011	0.776666666666667
RF+Stepglm[backward]	0.788818339243011	0.776666666666667
Stepglm[both]+Ridge	0.789766636431104	0.788828828828829
Stepglm[backward]+Ridge	0.789395563618372	0.790540540540541
Stepglm[both]+plsRglm	0.788942030180589	0.778468468468469
Stepglm[backward]+plsRglm	0.788942030180589	0.778468468468469
Stepglm[both]+Enet[alpha=0.9]	0.790475797806547	0.783828828828829
Stepglm[backward]+Enet[alpha=0.9]	0.79059124268162	0.783513513513514
Stepglm[both]+Enet[alpha=0.1]	0.79009647893131	0.786306306306306
Stepglm[backward]+Enet[alpha=0.1]	0.789692421868558	0.788828828828829
Stepglm[both]+Enet[alpha=0.8]	0.789981034056238	0.78545045045045
Stepglm[backward]+Enet[alpha=0.8]	0.789205904180754	0.788288288288288
Stepglm[both]+Enet[alpha=0.2]	0.790121217118826	0.786936936936937
Stepglm[backward]+Enet[alpha=0.2]	0.789181165993238	0.789414414414414
Stepglm[both]+Lasso	0.790286138368929	0.785
Stepglm[backward]+Lasso	0.789642945493527	0.785585585585586
Stepglm[both]+Enet[alpha=0.6]	0.789931557681207	0.786576576576577
Stepglm[backward]+Enet[alpha=0.6]	0.789288364805805	0.788513513513514
glmBoost+GBM	0.889634699431022	0.803378378378378
Stepglm[both]+Enet[alpha=0.7]	0.789708913993568	0.786351351351351
Stepglm[backward]+Enet[alpha=0.7]	0.790310876556444	0.784954954954955
Lasso+Stepglm[backward]	0.79086336274429	0.780540540540541
Stepglm[both]	0.79086336274429	0.780540540540541
Stepglm[backward]	0.79086336274429	0.780540540540541
glmBoost+Stepglm[both]	0.79086336274429	0.780540540540541
glmBoost+Stepglm[backward]	0.79086336274429	0.780540540540541
Stepglm[both]+Enet[alpha=0.4]	0.788628679805393	0.790405405405405
Stepglm[backward]+Enet[alpha=0.4]	0.789642945493527	0.787387387387387
Stepglm[both]+Enet[alpha=0.3]	0.789148181743218	0.78981981981982
Stepglm[backward]+Enet[alpha=0.3]	0.790071740743795	0.786261261261261
Stepglm[both]+glmBoost	0.785759050053599	0.792477477477477
Stepglm[backward]+glmBoost	0.786039416178775	0.792162162162162
Stepglm[both]+Enet[alpha=0.5]	0.788859569555537	0.789414414414414
Stepglm[backward]+Enet[alpha=0.5]	0.78929661086831	0.788648648648649
glmBoost+RF	0.997509689123444	0.792522522522523
RF	0.998919765811825	0.8
Lasso+GBM	0.892933124433083	0.802207207207207
