Training	Testing
Ridge	0.956615959887822	0.892041901188243
Enet[alpha=0.1]	0.959802838446503	0.888055034396498
Enet[alpha=0.2]	0.960057788731197	0.887116948092558
Enet[alpha=0.3]	0.959377921305345	0.887820512820513
Enet[alpha=0.4]	0.958740545593609	0.888055034396498
Enet[alpha=0.5]	0.95820231721481	0.888680425265791
Enet[alpha=0.6]	0.95852808702303	0.887351469668543
Enet[alpha=0.8]	0.958542250927736	0.886647904940588
Enet[alpha=0.9]	0.957890711311294	0.886647904940588
Lasso	0.958103169881873	0.885944340212633
Enet[alpha=0.7]	0.958811365117135	0.887038774233896
Lasso+plsRglm	0.958669726070083	0.886413383364603
Lasso+Stepglm[forward]	0.959505396447693	0.885631644777986
Stepglm[forward]	0.96046854196765	0.885084427767355
plsRglm	0.957791563978358	0.887507817385866
RF+Ridge	0.953244950567973	0.884928080050031
RF+Enet[alpha=0.1]	0.956955893600748	0.87922138836773
RF+plsRglm	0.956885074077222	0.87922138836773
RF+Stepglm[forward]	0.957409138551316	0.87922138836773
RF+Enet[alpha=0.2]	0.956984221410158	0.879143214509068
RF+Enet[alpha=0.3]	0.95706920483839	0.878830519074422
RF+Enet[alpha=0.6]	0.957012549219569	0.878361475922452
RF+Lasso	0.956885074077222	0.87875234521576
RF+Enet[alpha=0.7]	0.956998385314864	0.878517823639775
RF+Enet[alpha=0.5]	0.957026713124274	0.878674171357098
RF+Enet[alpha=0.9]	0.957012549219569	0.878517823639775
RF+Enet[alpha=0.4]	0.957026713124274	0.879065040650406
RF+Enet[alpha=0.8]	0.956885074077222	0.87922138836773
Stepglm[both]+Ridge	0.957423302456021	0.886335209505941
Stepglm[backward]+Ridge	0.957423302456021	0.886335209505941
Stepglm[both]+plsRglm	0.958882184640662	0.888445903689806
Stepglm[backward]+plsRglm	0.958882184640662	0.888445903689806
Stepglm[both]+Enet[alpha=0.9]	0.959122971020651	0.88672607879925
Stepglm[backward]+Enet[alpha=0.9]	0.959037987592419	0.886022514071295
Stepglm[both]+Enet[alpha=0.1]	0.958655562165378	0.886335209505941
Stepglm[backward]+Enet[alpha=0.1]	0.958924676354778	0.886178861788618
Stepglm[both]+Enet[alpha=0.8]	0.959151298830061	0.88672607879925
Stepglm[backward]+Enet[alpha=0.8]	0.957805727883063	0.88578799249531
Stepglm[both]+Enet[alpha=0.2]	0.958924676354778	0.885866166353971
Stepglm[backward]+Enet[alpha=0.2]	0.958825529021841	0.885866166353971
Stepglm[both]+Lasso	0.959165462734767	0.886647904940588
Stepglm[backward]+Lasso	0.959052151497125	0.885944340212633
Stepglm[both]+Enet[alpha=0.6]	0.959137134925356	0.886882426516573
Stepglm[backward]+Enet[alpha=0.6]	0.959009659783009	0.886100687929956
Stepglm[both]+Enet[alpha=0.7]	0.959023823687714	0.885866166353971
Stepglm[backward]+Enet[alpha=0.7]	0.95906631540183	0.886022514071295
Stepglm[both]	0.959122971020651	0.887116948092558
Stepglm[backward]	0.959122971020651	0.887116948092558
Stepglm[both]+Enet[alpha=0.4]	0.95906631540183	0.88625703564728
Stepglm[backward]+Enet[alpha=0.4]	0.958853856831251	0.885709818636648
Stepglm[both]+Enet[alpha=0.3]	0.959052151497125	0.886335209505941
Stepglm[backward]+Enet[alpha=0.3]	0.959023823687714	0.886100687929956
Stepglm[both]+Enet[alpha=0.5]	0.959137134925356	0.88672607879925
Stepglm[backward]+Enet[alpha=0.5]	0.958853856831251	0.885866166353971
RF	0.998158692388318	0.912836147592245
Lasso+GBM	0.99090677317923	0.907676672920575
RF+GBM	0.987932353191128	0.899390243902439
GBM	0.990198577943968	0.902048155096936
Lasso+RF	0.99770544743775	0.922217010631645
LDA	0.957225007790148	0.885162601626016
RF+LDA	0.953145803235036	0.879455909943715
Stepglm[both]+LDA	0.956091895413728	0.883208255159475
Stepglm[backward]+LDA	0.956091895413728	0.883208255159475
Lasso+LDA	0.954618849324382	0.887742338961851
XGBoost	0.949774793915186	0.885045340838024
Lasso+XGBoost	0.949774793915186	0.885045340838024
RF+XGBoost	0.974667856434662	0.891729205753596
Stepglm[both]+XGBoost	0.949774793915186	0.885045340838024
Stepglm[backward]+XGBoost	0.949774793915186	0.885045340838024
