Training	Testing
Ridge	0.918220946915351	0.902684563758389
Enet[alpha=0.1]	0.932568149210904	0.906040268456376
Enet[alpha=0.2]	0.935437589670014	0.902684563758389
Enet[alpha=0.3]	0.932568149210904	0.906040268456376
Enet[alpha=0.4]	0.935437589670014	0.916107382550336
Enet[alpha=0.5]	0.931133428981349	0.916107382550336
Enet[alpha=0.6]	0.93687230989957	0.919463087248322
Enet[alpha=0.8]	0.93687230989957	0.916107382550336
Enet[alpha=0.9]	0.935437589670014	0.916107382550336
Lasso	0.934002869440459	0.912751677852349
Enet[alpha=0.7]	0.93687230989957	0.912751677852349
Lasso+plsRglm	0.935437589670014	0.916107382550336
Lasso+Stepglm[forward]	0.93974175035868	0.906040268456376
Stepglm[forward]	0.945480631276901	0.902684563758389
plsRglm	0.926829268292683	0.916107382550336
RF+Ridge	0.912482065997131	0.899328859060403
RF+Enet[alpha=0.1]	0.929698708751793	0.88255033557047
RF+plsRglm	0.926829268292683	0.902684563758389
RF+Stepglm[forward]	0.929698708751793	0.885906040268456
RF+Enet[alpha=0.2]	0.929698708751793	0.88255033557047
RF+Enet[alpha=0.3]	0.929698708751793	0.88255033557047
RF+Enet[alpha=0.6]	0.931133428981349	0.889261744966443
RF+Lasso	0.934002869440459	0.902684563758389
RF+Enet[alpha=0.7]	0.932568149210904	0.899328859060403
RF+Enet[alpha=0.5]	0.931133428981349	0.885906040268456
RF+Enet[alpha=0.9]	0.932568149210904	0.895973154362416
RF+Enet[alpha=0.4]	0.929698708751793	0.88255033557047
RF+Enet[alpha=0.8]	0.934002869440459	0.899328859060403
Stepglm[both]+Ridge	0.926829268292683	0.906040268456376
Stepglm[backward]+Ridge	0.926829268292683	0.906040268456376
Stepglm[both]+plsRglm	0.935437589670014	0.906040268456376
Stepglm[backward]+plsRglm	0.935437589670014	0.906040268456376
Stepglm[both]+Enet[alpha=0.9]	0.938307030129125	0.906040268456376
Stepglm[backward]+Enet[alpha=0.9]	0.93974175035868	0.909395973154362
Stepglm[both]+Enet[alpha=0.1]	0.93687230989957	0.906040268456376
Stepglm[backward]+Enet[alpha=0.1]	0.938307030129125	0.906040268456376
Stepglm[both]+Enet[alpha=0.8]	0.938307030129125	0.906040268456376
Stepglm[backward]+Enet[alpha=0.8]	0.935437589670014	0.916107382550336
Stepglm[both]+Enet[alpha=0.2]	0.93974175035868	0.906040268456376
Stepglm[backward]+Enet[alpha=0.2]	0.938307030129125	0.906040268456376
Stepglm[both]+Lasso	0.938307030129125	0.906040268456376
Stepglm[backward]+Lasso	0.93974175035868	0.909395973154362
Stepglm[both]+Enet[alpha=0.6]	0.938307030129125	0.906040268456376
Stepglm[backward]+Enet[alpha=0.6]	0.93974175035868	0.906040268456376
Stepglm[both]+Enet[alpha=0.7]	0.93974175035868	0.909395973154362
Stepglm[backward]+Enet[alpha=0.7]	0.93974175035868	0.909395973154362
Stepglm[both]	0.938307030129125	0.906040268456376
Stepglm[backward]	0.938307030129125	0.906040268456376
Stepglm[both]+Enet[alpha=0.4]	0.938307030129125	0.906040268456376
Stepglm[backward]+Enet[alpha=0.4]	0.93974175035868	0.909395973154362
Stepglm[both]+Enet[alpha=0.3]	0.938307030129125	0.906040268456376
Stepglm[backward]+Enet[alpha=0.3]	0.93974175035868	0.906040268456376
Stepglm[both]+Enet[alpha=0.5]	0.938307030129125	0.906040268456376
Stepglm[backward]+Enet[alpha=0.5]	0.93974175035868	0.909395973154362
RF	0.985652797704448	0.909395973154362
Lasso+GBM	0.964131994261119	0.919463087248322
RF+GBM	0.955523672883788	0.916107382550336
GBM	0.958393113342898	0.922818791946309
Lasso+RF	0.981348637015782	0.906040268456376
LDA	0.925394548063128	0.899328859060403
RF+LDA	0.923959827833572	0.899328859060403
Stepglm[both]+LDA	0.926829268292683	0.906040268456376
Stepglm[backward]+LDA	0.926829268292683	0.906040268456376
Lasso+LDA	0.925394548063128	0.902684563758389
XGBoost	0.93974175035868	0.926174496644295
Lasso+XGBoost	0.93974175035868	0.926174496644295
RF+XGBoost	0.944045911047346	0.916107382550336
Stepglm[both]+XGBoost	0.93974175035868	0.926174496644295
Stepglm[backward]+XGBoost	0.93974175035868	0.926174496644295
