Training	Testing
Ridge	0.0637529771100058	0.0721239174472417
Enet[alpha=0.1]	0.0543744950688266	0.0697995050417044
Enet[alpha=0.2]	0.0533040656056126	0.0699158458577651
Enet[alpha=0.3]	0.0544708270778685	0.0688445106487658
Enet[alpha=0.4]	0.054753456209218	0.0681702448557543
Enet[alpha=0.5]	0.0567168136474626	0.0678245274312794
Enet[alpha=0.6]	0.0544530901076948	0.0675019852318316
Enet[alpha=0.8]	0.0536170503989525	0.0672925354627639
Enet[alpha=0.9]	0.0543613802141677	0.0673163045040627
Lasso	0.05299083327565	0.0672732293302288
Enet[alpha=0.7]	0.0536961129378643	0.0675045653504133
Lasso+plsRglm	0.0526019514995632	0.0660957484609754
Lasso+Stepglm[forward]	0.0512005870326422	0.0704491885638872
Stepglm[forward]	0.0502368790459485	0.0737672961605073
plsRglm	0.0543008844829046	0.0691866038377565
RF+Ridge	0.0667428163384293	0.0766641026437989
RF+Enet[alpha=0.1]	0.0548564675524158	0.0753298131712496
RF+plsRglm	0.0534589142561586	0.0736716493843231
RF+Stepglm[forward]	0.0529426809796166	0.0765819939899865
RF+Enet[alpha=0.2]	0.0547950576171346	0.0751581738348247
RF+Enet[alpha=0.3]	0.0545936592501552	0.0750679285451405
RF+Enet[alpha=0.6]	0.0540819545964302	0.0747469061883491
RF+Lasso	0.0539883886045359	0.0727451224948416
RF+Enet[alpha=0.7]	0.0541655249048693	0.0742448412984527
RF+Enet[alpha=0.5]	0.0542306367539779	0.0748763719027159
RF+Enet[alpha=0.9]	0.0535699207603491	0.0744246631593057
RF+Enet[alpha=0.4]	0.0541948972692662	0.0751738945083166
RF+Enet[alpha=0.8]	0.0542788514688145	0.0735782341459503
Stepglm[both]+Ridge	0.0648081432916782	0.0728258110289967
Stepglm[backward]+Ridge	0.0648081432916782	0.0728258110289967
Stepglm[both]+plsRglm	0.052481674596435	0.0700600594174354
Stepglm[backward]+plsRglm	0.052481674596435	0.0700600594174354
Stepglm[both]+Enet[alpha=0.9]	0.0505530937054912	0.0685239353095914
Stepglm[backward]+Enet[alpha=0.9]	0.0507643459685803	0.0682602508818412
Stepglm[both]+Enet[alpha=0.1]	0.053604269678878	0.0682808349558566
Stepglm[backward]+Enet[alpha=0.1]	0.0516591904898151	0.06841085029572
Stepglm[both]+Enet[alpha=0.8]	0.0506145619998899	0.0684790097563832
Stepglm[backward]+Enet[alpha=0.8]	0.0532410244473514	0.0670115579526127
Stepglm[both]+Enet[alpha=0.2]	0.0516469533414571	0.0683471737833427
Stepglm[backward]+Enet[alpha=0.2]	0.0524428854299956	0.0682262602266243
Stepglm[both]+Lasso	0.0505653097326365	0.0684599003910013
Stepglm[backward]+Lasso	0.050713830233168	0.0682357565941089
Stepglm[both]+Enet[alpha=0.6]	0.0505826187969146	0.0685634438448117
Stepglm[backward]+Enet[alpha=0.6]	0.0508784326720118	0.0683636948628961
Stepglm[both]+Enet[alpha=0.7]	0.0509325422719277	0.0682699971429771
Stepglm[backward]+Enet[alpha=0.7]	0.0508878858653026	0.0682996776274155
Stepglm[both]	0.0504602563805021	0.0686441795844399
Stepglm[backward]	0.0504602563805021	0.0686441795844399
Stepglm[both]+Enet[alpha=0.4]	0.0510318891335571	0.068392682485053
Stepglm[backward]+Enet[alpha=0.4]	0.0519143927864029	0.0681240774483892
Stepglm[both]+Enet[alpha=0.3]	0.0511441912472295	0.068404577888898
Stepglm[backward]+Enet[alpha=0.3]	0.0512108866875506	0.0683861049980938
Stepglm[both]+Enet[alpha=0.5]	0.0506824580231127	0.0685171419934242
Stepglm[backward]+Enet[alpha=0.5]	0.0514517314186039	0.0681746729593588
RF	0.0212009474137516	0.0725059963441245
Lasso+GBM	0.0298404832547402	0.0689713464597129
RF+GBM	0.0323921956966138	0.0693378906205656
GBM	0.0310484282214802	0.0674553192397343
Lasso+RF	0.0216809459219989	0.0715593595557517
LDA	0.0577226390710454	0.0768735248328979
RF+LDA	0.0612971449106617	0.078376465294907
Stepglm[both]+LDA	0.0585578622772931	0.075423668550503
Stepglm[backward]+LDA	0.0585578622772931	0.075423668550503
Lasso+LDA	0.0589275574477207	0.0744252550868439
XGBoost	0.05248489040258	0.0690710604229587
Lasso+XGBoost	0.05248489040258	0.0690710604229587
RF+XGBoost	0.0419943238999717	0.0730358817596002
Stepglm[both]+XGBoost	0.05248489040258	0.0690710604229587
Stepglm[backward]+XGBoost	0.05248489040258	0.0690710604229587
