Training	Testing
Ridge	0.950734658599827	0.94188376753507
Enet[alpha=0.1]	0.958663148636763	0.943089430894309
Enet[alpha=0.2]	0.960352422907489	0.940936863543788
Enet[alpha=0.3]	0.958663148636763	0.943089430894309
Enet[alpha=0.4]	0.960352422907489	0.948875255623722
Enet[alpha=0.5]	0.957820738137082	0.948875255623722
Enet[alpha=0.6]	0.96113074204947	0.950819672131147
Enet[alpha=0.8]	0.96113074204947	0.948665297741273
Enet[alpha=0.9]	0.960212201591512	0.948875255623722
Lasso	0.959363957597173	0.94672131147541
Enet[alpha=0.7]	0.96113074204947	0.946502057613169
Lasso+plsRglm	0.960352422907489	0.948875255623722
Lasso+Stepglm[forward]	0.962897526501767	0.942622950819672
Stepglm[forward]	0.966549295774648	0.940695296523517
plsRglm	0.955223880597015	0.948875255623722
RF+Ridge	0.947639484978541	0.939516129032258
RF+Enet[alpha=0.1]	0.9567519858782	0.928131416837782
RF+plsRglm	0.954907161803713	0.939958592132505
RF+Stepglm[forward]	0.9567519858782	0.930041152263375
RF+Enet[alpha=0.2]	0.9567519858782	0.928131416837782
RF+Enet[alpha=0.3]	0.9567519858782	0.928131416837782
RF+Enet[alpha=0.6]	0.957597173144876	0.93223819301848
RF+Lasso	0.959219858156028	0.939958592132505
RF+Enet[alpha=0.7]	0.958443854995579	0.93801652892562
RF+Enet[alpha=0.5]	0.957597173144876	0.930327868852459
RF+Enet[alpha=0.9]	0.958443854995579	0.936082474226804
RF+Enet[alpha=0.4]	0.9567519858782	0.928131416837782
RF+Enet[alpha=0.8]	0.95929203539823	0.93801652892562
Stepglm[both]+Ridge	0.955844155844156	0.943548387096774
Stepglm[backward]+Ridge	0.955844155844156	0.943548387096774
Stepglm[both]+plsRglm	0.960352422907489	0.942857142857143
Stepglm[backward]+plsRglm	0.960352422907489	0.942857142857143
Stepglm[both]+Enet[alpha=0.9]	0.962114537444934	0.942857142857143
Stepglm[backward]+Enet[alpha=0.9]	0.962962962962963	0.94478527607362
Stepglm[both]+Enet[alpha=0.1]	0.961199294532628	0.942857142857143
Stepglm[backward]+Enet[alpha=0.1]	0.962114537444934	0.942857142857143
Stepglm[both]+Enet[alpha=0.8]	0.962114537444934	0.942857142857143
Stepglm[backward]+Enet[alpha=0.8]	0.960212201591512	0.948665297741273
Stepglm[both]+Enet[alpha=0.2]	0.962962962962963	0.942857142857143
Stepglm[backward]+Enet[alpha=0.2]	0.962047661076787	0.942857142857143
Stepglm[both]+Lasso	0.962114537444934	0.942857142857143
Stepglm[backward]+Lasso	0.962962962962963	0.94478527607362
Stepglm[both]+Enet[alpha=0.6]	0.962114537444934	0.942857142857143
Stepglm[backward]+Enet[alpha=0.6]	0.962962962962963	0.942857142857143
Stepglm[both]+Enet[alpha=0.7]	0.962962962962963	0.94478527607362
Stepglm[backward]+Enet[alpha=0.7]	0.962962962962963	0.94478527607362
Stepglm[both]	0.962114537444934	0.942857142857143
Stepglm[backward]	0.962114537444934	0.942857142857143
Stepglm[both]+Enet[alpha=0.4]	0.962114537444934	0.942857142857143
Stepglm[backward]+Enet[alpha=0.4]	0.962962962962963	0.94478527607362
Stepglm[both]+Enet[alpha=0.3]	0.962114537444934	0.942857142857143
Stepglm[backward]+Enet[alpha=0.3]	0.962962962962963	0.942857142857143
Stepglm[both]+Enet[alpha=0.5]	0.962114537444934	0.942857142857143
Stepglm[backward]+Enet[alpha=0.5]	0.962962962962963	0.94478527607362
RF	0.991319444444445	0.946107784431138
Lasso+GBM	0.978127734033246	0.951020408163265
RF+GBM	0.97278314310799	0.948875255623722
GBM	0.974628171478565	0.952965235173824
Lasso+RF	0.988725065047702	0.944223107569721
LDA	0.953571428571429	0.93801652892562
RF+LDA	0.952466367713005	0.9375
Stepglm[both]+LDA	0.954012623985573	0.941908713692946
Stepglm[backward]+LDA	0.954012623985573	0.941908713692946
Lasso+LDA	0.953488372093023	0.939958592132505
XGBoost	0.963286713286713	0.955465587044534
Lasso+XGBoost	0.963286713286713	0.955465587044534
RF+XGBoost	0.965638766519824	0.948875255623722
Stepglm[both]+XGBoost	0.963286713286713	0.955465587044534
Stepglm[backward]+XGBoost	0.963286713286713	0.955465587044534
