Training	Testing
Ridge	0.958188153310105	0.955284552845528
Enet[alpha=0.1]	0.949477351916376	0.943089430894309
Enet[alpha=0.2]	0.949477351916376	0.939024390243902
Enet[alpha=0.3]	0.949477351916376	0.943089430894309
Enet[alpha=0.4]	0.949477351916376	0.943089430894309
Enet[alpha=0.5]	0.949477351916376	0.943089430894309
Enet[alpha=0.6]	0.947735191637631	0.943089430894309
Enet[alpha=0.8]	0.947735191637631	0.939024390243902
Enet[alpha=0.9]	0.945993031358885	0.943089430894309
Lasso	0.945993031358885	0.939024390243902
Enet[alpha=0.7]	0.947735191637631	0.934959349593496
Lasso+plsRglm	0.949477351916376	0.943089430894309
Lasso+Stepglm[forward]	0.949477351916376	0.934959349593496
Stepglm[forward]	0.956445993031359	0.934959349593496
plsRglm	0.947735191637631	0.943089430894309
RF+Ridge	0.961672473867596	0.947154471544715
RF+Enet[alpha=0.1]	0.944250871080139	0.91869918699187
RF+plsRglm	0.940766550522648	0.922764227642276
RF+Stepglm[forward]	0.944250871080139	0.91869918699187
RF+Enet[alpha=0.2]	0.944250871080139	0.91869918699187
RF+Enet[alpha=0.3]	0.944250871080139	0.91869918699187
RF+Enet[alpha=0.6]	0.944250871080139	0.922764227642276
RF+Lasso	0.942508710801394	0.922764227642276
RF+Enet[alpha=0.7]	0.944250871080139	0.922764227642276
RF+Enet[alpha=0.5]	0.944250871080139	0.922764227642276
RF+Enet[alpha=0.9]	0.944250871080139	0.922764227642276
RF+Enet[alpha=0.4]	0.944250871080139	0.91869918699187
RF+Enet[alpha=0.8]	0.944250871080139	0.922764227642276
Stepglm[both]+Ridge	0.961672473867596	0.951219512195122
Stepglm[backward]+Ridge	0.961672473867596	0.951219512195122
Stepglm[both]+plsRglm	0.949477351916376	0.939024390243902
Stepglm[backward]+plsRglm	0.949477351916376	0.939024390243902
Stepglm[both]+Enet[alpha=0.9]	0.951219512195122	0.939024390243902
Stepglm[backward]+Enet[alpha=0.9]	0.951219512195122	0.939024390243902
Stepglm[both]+Enet[alpha=0.1]	0.949477351916376	0.939024390243902
Stepglm[backward]+Enet[alpha=0.1]	0.951219512195122	0.939024390243902
Stepglm[both]+Enet[alpha=0.8]	0.951219512195122	0.939024390243902
Stepglm[backward]+Enet[alpha=0.8]	0.945993031358885	0.939024390243902
Stepglm[both]+Enet[alpha=0.2]	0.951219512195122	0.939024390243902
Stepglm[backward]+Enet[alpha=0.2]	0.949477351916376	0.939024390243902
Stepglm[both]+Lasso	0.951219512195122	0.939024390243902
Stepglm[backward]+Lasso	0.951219512195122	0.939024390243902
Stepglm[both]+Enet[alpha=0.6]	0.951219512195122	0.939024390243902
Stepglm[backward]+Enet[alpha=0.6]	0.951219512195122	0.939024390243902
Stepglm[both]+Enet[alpha=0.7]	0.951219512195122	0.939024390243902
Stepglm[backward]+Enet[alpha=0.7]	0.951219512195122	0.939024390243902
Stepglm[both]	0.951219512195122	0.939024390243902
Stepglm[backward]	0.951219512195122	0.939024390243902
Stepglm[both]+Enet[alpha=0.4]	0.951219512195122	0.939024390243902
Stepglm[backward]+Enet[alpha=0.4]	0.951219512195122	0.939024390243902
Stepglm[both]+Enet[alpha=0.3]	0.951219512195122	0.939024390243902
Stepglm[backward]+Enet[alpha=0.3]	0.951219512195122	0.939024390243902
Stepglm[both]+Enet[alpha=0.5]	0.951219512195122	0.939024390243902
Stepglm[backward]+Enet[alpha=0.5]	0.951219512195122	0.939024390243902
RF	0.994773519163763	0.963414634146341
Lasso+GBM	0.973867595818815	0.947154471544715
RF+GBM	0.965156794425087	0.943089430894309
GBM	0.970383275261324	0.947154471544715
Lasso+RF	0.993031358885017	0.963414634146341
LDA	0.930313588850174	0.922764227642276
RF+LDA	0.925087108013937	0.914634146341463
Stepglm[both]+LDA	0.921602787456446	0.922764227642276
Stepglm[backward]+LDA	0.921602787456446	0.922764227642276
Lasso+LDA	0.928571428571429	0.922764227642276
XGBoost	0.95993031358885	0.959349593495935
Lasso+XGBoost	0.95993031358885	0.959349593495935
RF+XGBoost	0.954703832752613	0.943089430894309
Stepglm[both]+XGBoost	0.95993031358885	0.959349593495935
Stepglm[backward]+XGBoost	0.95993031358885	0.959349593495935
