Training	Testing
Lasso+Stepglm[both]	0.739461540053391	0.75066110360228
Ridge	0.740092709475819	0.76023976023976
glmBoost+Ridge	0.739068352544337	0.754833401892225
Enet[alpha=0.1]	0.739916809800716	0.758711876358935
glmBoost+Enet[alpha=0.1]	0.739264946298864	0.753834400893224
Enet[alpha=0.2]	0.739430498934255	0.757477816301346
Enet[alpha=0.3]	0.739420151894543	0.755832402891226
glmBoost+Enet[alpha=0.3]	0.739099393663473	0.752952929423518
glmBoost+Enet[alpha=0.2]	0.73887175878981	0.753423047540695
Enet[alpha=0.4]	0.73924425221944	0.755127225715461
glmBoost+Enet[alpha=0.4]	0.739068352544337	0.753070458952812
Lasso+glmBoost	0.737764625540633	0.752952929423518
Enet[alpha=0.5]	0.739254599259152	0.754657107598284
glmBoost	0.737837054818616	0.75289416465887
glmBoost+Enet[alpha=0.5]	0.739182169981168	0.753246753246753
Enet[alpha=0.6]	0.739182169981168	0.756184991479109
glmBoost+Enet[alpha=0.6]	0.739213211100304	0.753070458952812
glmBoost+Enet[alpha=0.7]	0.739264946298864	0.753187988482106
glmBoost+Enet[alpha=0.8]	0.738954535107506	0.752952929423518
Enet[alpha=0.8]	0.73817850712911	0.753658106599283
Enet[alpha=0.9]	0.738675165035283	0.753834400893224
Lasso	0.738664817995571	0.753481812305342
Enet[alpha=0.7]	0.73887175878981	0.753481812305342
glmBoost+Enet[alpha=0.9]	0.73924425221944	0.753129223717459
glmBoost+Lasso	0.738488918320468	0.753481812305342
Lasso+plsRglm	0.739482234132815	0.761591349826644
glmBoost+plsRglm	0.738488918320468	0.751425045542693
glmBoost+Stepglm[forward]	0.740009933158123	0.753364282776048
Lasso+Stepglm[forward]	0.741189495685284	0.764000705177176
Stepglm[forward]	0.741582683194338	0.763824410883234
plsRglm	0.735208906731784	0.770582358817653
RF+Ridge	0.73919251702088	0.753423047540695
RF+Enet[alpha=0.1]	0.738747594313267	0.75289416465887
RF+plsRglm	0.736481592616352	0.762120232708468
RF+Stepglm[forward]	0.7406824907394	0.759417053534701
RF+Enet[alpha=0.2]	0.739016617345777	0.752130222718458
RF+Enet[alpha=0.3]	0.73919251702088	0.751307516013398
