Training	Testing
Lasso+Stepglm[both]	0.743185078909613	0.748322147651007
Ridge	0.750358680057389	0.74496644295302
glmBoost+Ridge	0.751793400286944	0.75503355704698
Enet[alpha=0.1]	0.751793400286944	0.751677852348993
glmBoost+Enet[alpha=0.1]	0.751793400286944	0.758389261744966
Enet[alpha=0.2]	0.754662840746054	0.75503355704698
Enet[alpha=0.3]	0.754662840746054	0.758389261744966
glmBoost+Enet[alpha=0.3]	0.751793400286944	0.75503355704698
glmBoost+Enet[alpha=0.2]	0.75609756097561	0.751677852348993
Enet[alpha=0.4]	0.75609756097561	0.75503355704698
glmBoost+Enet[alpha=0.4]	0.754662840746054	0.75503355704698
Lasso+glmBoost	0.75609756097561	0.74496644295302
Enet[alpha=0.5]	0.754662840746054	0.75503355704698
glmBoost	0.75609756097561	0.74496644295302
glmBoost+Enet[alpha=0.5]	0.751793400286944	0.751677852348993
Enet[alpha=0.6]	0.754662840746054	0.751677852348993
glmBoost+Enet[alpha=0.6]	0.751793400286944	0.751677852348993
glmBoost+Enet[alpha=0.7]	0.751793400286944	0.748322147651007
glmBoost+Enet[alpha=0.8]	0.753228120516499	0.751677852348993
Enet[alpha=0.8]	0.757532281205165	0.75503355704698
Enet[alpha=0.9]	0.754662840746054	0.75503355704698
Lasso	0.754662840746054	0.75503355704698
Enet[alpha=0.7]	0.75609756097561	0.75503355704698
glmBoost+Enet[alpha=0.9]	0.751793400286944	0.748322147651007
glmBoost+Lasso	0.75609756097561	0.751677852348993
Lasso+plsRglm	0.746054519368723	0.74496644295302
glmBoost+plsRglm	0.748923959827834	0.75503355704698
glmBoost+Stepglm[forward]	0.747489239598278	0.741610738255034
Lasso+Stepglm[forward]	0.751793400286944	0.748322147651007
Stepglm[forward]	0.750358680057389	0.74496644295302
plsRglm	0.751793400286944	0.741610738255034
RF+Ridge	0.750358680057389	0.74496644295302
RF+Enet[alpha=0.1]	0.750358680057389	0.751677852348993
RF+plsRglm	0.753228120516499	0.741610738255034
RF+Stepglm[forward]	0.754662840746054	0.73489932885906
RF+Enet[alpha=0.2]	0.753228120516499	0.75503355704698
RF+Enet[alpha=0.3]	0.754662840746054	0.751677852348993
RF+Enet[alpha=0.6]	0.754662840746054	0.75503355704698
RF+Lasso	0.75609756097561	0.75503355704698
RF+Enet[alpha=0.7]	0.75609756097561	0.75503355704698
RF+Enet[alpha=0.5]	0.750358680057389	0.748322147651007
RF+glmBoost	0.751793400286944	0.74496644295302
RF+Enet[alpha=0.9]	0.75609756097561	0.75503355704698
RF+Enet[alpha=0.4]	0.753228120516499	0.751677852348993
RF+Enet[alpha=0.8]	0.751793400286944	0.748322147651007
Stepglm[both]+Ridge	0.747489239598278	0.748322147651007
Stepglm[backward]+Ridge	0.753228120516499	0.741610738255034
Stepglm[both]+plsRglm	0.747489239598278	0.751677852348993
