Training	Testing
Lasso+Stepglm[both]	0.169960709484204	0.168445063860229
Ridge	0.169537053713154	0.165529254776029
glmBoost+Ridge	0.169364147415357	0.1660586432032
Enet[alpha=0.1]	0.16927115757459	0.165541589874416
glmBoost+Enet[alpha=0.1]	0.169251092096551	0.166276092471946
Enet[alpha=0.2]	0.169213211857768	0.165713529818882
Enet[alpha=0.3]	0.169217995451531	0.165893919397774
glmBoost+Enet[alpha=0.3]	0.16911696580168	0.166477980353166
glmBoost+Enet[alpha=0.2]	0.169384041687032	0.166443499647843
Enet[alpha=0.4]	0.169218199263881	0.166016442607406
glmBoost+Enet[alpha=0.4]	0.169227599194933	0.166554765485563
Lasso+glmBoost	0.169583982882594	0.167085160399012
Enet[alpha=0.5]	0.169249837508972	0.166195568542117
glmBoost	0.169603186765428	0.167120617323387
glmBoost+Enet[alpha=0.5]	0.169150788581898	0.166570646393856
Enet[alpha=0.6]	0.169087565903882	0.165908992133456
glmBoost+Enet[alpha=0.6]	0.169081624840851	0.166582692238678
glmBoost+Enet[alpha=0.7]	0.169058645376591	0.16659971303633
glmBoost+Enet[alpha=0.8]	0.169188908431259	0.166655359698409
Enet[alpha=0.8]	0.16935601403539	0.166612274650487
Enet[alpha=0.9]	0.16925185448641	0.166440798755052
Lasso	0.169243629497483	0.166452850645568
Enet[alpha=0.7]	0.169279331112093	0.166408887700406
glmBoost+Enet[alpha=0.9]	0.169088479800839	0.166629608428904
glmBoost+Lasso	0.169278415415961	0.166727757044984
Lasso+plsRglm	0.169134117040394	0.164740758269954
glmBoost+plsRglm	0.169265632907848	0.166834876241153
glmBoost+Stepglm[forward]	0.169071486465357	0.166730907955881
Lasso+Stepglm[forward]	0.168892027702793	0.16454090770756
Stepglm[forward]	0.168900690814455	0.164793083463723
plsRglm	0.17046578393308	0.163420601982314
RF+Ridge	0.169890461910261	0.166567554841736
RF+Enet[alpha=0.1]	0.16993041875615	0.166710385898255
RF+plsRglm	0.170193604564127	0.165252171801139
RF+Stepglm[forward]	0.169255376035055	0.166078926041101
RF+Enet[alpha=0.2]	0.169556907774002	0.166659236950617
RF+Enet[alpha=0.3]	0.169488984174873	0.166743128455664
RF+Enet[alpha=0.6]	0.169846206735701	0.167488259758655
RF+Lasso	0.169752294591612	0.167520784512152
RF+Enet[alpha=0.7]	0.169705828650365	0.167390836835888
RF+Enet[alpha=0.5]	0.170198413014616	0.167619812396765
RF+glmBoost	0.169861687333886	0.167707252113443
RF+Enet[alpha=0.9]	0.169672796773094	0.167434691606513
RF+Enet[alpha=0.4]	0.169486904977946	0.166842229619746
RF+Enet[alpha=0.8]	0.169462343605733	0.16699875223312
Stepglm[both]+Ridge	0.169941796279884	0.168185487063065
Stepglm[backward]+Ridge	0.170066529426165	0.168071359817239
Stepglm[both]+plsRglm	0.169948248111446	0.168125020743897
Stepglm[backward]+plsRglm	0.169948248111446	0.168125020743897
Stepglm[both]+Enet[alpha=0.9]	0.169920642704448	0.168378874140251
Stepglm[backward]+Enet[alpha=0.9]	0.169921639132652	0.168384865413956
Stepglm[both]+Enet[alpha=0.1]	0.169959786977685	0.16816707129561
Stepglm[backward]+Enet[alpha=0.1]	0.169940711299316	0.168202006065033
Stepglm[both]+Enet[alpha=0.8]	0.169921254008273	0.168333957616608
Stepglm[backward]+Enet[alpha=0.8]	0.169923622201201	0.168392512528656
Stepglm[both]+Enet[alpha=0.2]	0.169919505098227	0.168295136996968
Stepglm[backward]+Enet[alpha=0.2]	0.169968192377036	0.168169992102649
Stepglm[both]+Lasso	0.170075344730644	0.168160153376799
Stepglm[backward]+Lasso	0.170213065741681	0.168142210262498
Stepglm[both]+Enet[alpha=0.6]	0.169927794211379	0.16829307387562
Stepglm[backward]+Enet[alpha=0.6]	0.170030824027084	0.16815683374502
glmBoost+GBM	0.142754419342001	0.163655875300448
Stepglm[both]+Enet[alpha=0.7]	0.169926484354538	0.168303963088341
Stepglm[backward]+Enet[alpha=0.7]	0.169926484354538	0.168303963088341
Lasso+Stepglm[backward]	0.169960709484204	0.168445063860229
Stepglm[both]	0.169960709484204	0.168445063860229
Stepglm[backward]	0.169960709484204	0.168445063860229
glmBoost+Stepglm[both]	0.169960709484204	0.168445063860229
glmBoost+Stepglm[backward]	0.169960709484204	0.168445063860229
Stepglm[both]+Enet[alpha=0.4]	0.169947905163658	0.168226045096525
Stepglm[backward]+Enet[alpha=0.4]	0.169947905163658	0.168226045096525
Stepglm[both]+Enet[alpha=0.3]	0.169930697707476	0.168256224483636
Stepglm[backward]+Enet[alpha=0.3]	0.169930697707476	0.168256224483636
Stepglm[both]+glmBoost	0.172262241580305	0.169541454859412
Stepglm[backward]+glmBoost	0.170299954873374	0.168315464146257
Stepglm[both]+Enet[alpha=0.5]	0.169920923753069	0.168377344699604
Stepglm[backward]+Enet[alpha=0.5]	0.169926160186396	0.168291714367504
glmBoost+RF	0.0667465880392294	0.162646534328986
RF	0.0654362980318812	0.163048961353901
Lasso+GBM	0.144669978691776	0.163268168443007
RF+GBM	0.146175268908651	0.164948896198532
GBM	0.141881793405373	0.16400597511289
Lasso+RF	0.0656588216690549	0.162018837952411
Stepglm[both]+GBM	0.152628327362638	0.16668556728379
Stepglm[backward]+GBM	0.149971361668089	0.166873449574312
Stepglm[both]+RF	0.0747984520012772	0.167127094178799
LDA	0.169146207014442	0.16668881945735
glmBoost+LDA	0.169179047774036	0.166692101664701
RF+LDA	0.169441418180765	0.167940215634686
Stepglm[both]+LDA	0.170083008284151	0.168665705942823
Stepglm[backward]+LDA	0.170083008284151	0.168665705942823
Lasso+LDA	0.169135543688375	0.166322764907641
Stepglm[backward]+RF	0.0748202908788113	0.166382265068735
XGBoost	0.175561024447688	0.18357908124732
Lasso+XGBoost	0.175561024447688	0.18357908124732
glmBoost+XGBoost	0.175561024447688	0.18357908124732
RF+XGBoost	0.146655369793867	0.16545286071394
Stepglm[both]+XGBoost	0.176303613270392	0.181950856438121
Stepglm[backward]+XGBoost	0.168428578823986	0.171645966768077
