Training	Testing
Lasso+Stepglm[both]	0.339483394833948	0.336283185840708
Ridge	0.31496062992126	0.224489795918367
glmBoost+Ridge	0.332046332046332	0.277227722772277
Enet[alpha=0.1]	0.326848249027237	0.26
glmBoost+Enet[alpha=0.1]	0.337164750957854	0.294117647058823
Enet[alpha=0.2]	0.33976833976834	0.277227722772277
Enet[alpha=0.3]	0.33976833976834	0.294117647058823
glmBoost+Enet[alpha=0.3]	0.342205323193916	0.304761904761905
glmBoost+Enet[alpha=0.2]	0.3359375	0.26
Enet[alpha=0.4]	0.346153846153846	0.29126213592233
glmBoost+Enet[alpha=0.4]	0.344827586206897	0.29126213592233
Lasso+glmBoost	0.351145038167939	0.283018867924528
Enet[alpha=0.5]	0.33976833976834	0.29126213592233
glmBoost	0.351145038167939	0.283018867924528
glmBoost+Enet[alpha=0.5]	0.342205323193916	0.288461538461538
Enet[alpha=0.6]	0.344827586206897	0.288461538461538
glmBoost+Enet[alpha=0.6]	0.342205323193916	0.30188679245283
glmBoost+Enet[alpha=0.7]	0.347169811320755	0.299065420560748
glmBoost+Enet[alpha=0.8]	0.343511450381679	0.288461538461538
Enet[alpha=0.8]	0.342412451361868	0.29126213592233
Enet[alpha=0.9]	0.33976833976834	0.29126213592233
Lasso	0.33976833976834	0.29126213592233
Enet[alpha=0.7]	0.341085271317829	0.29126213592233
glmBoost+Enet[alpha=0.9]	0.342205323193916	0.299065420560748
glmBoost+Lasso	0.341085271317829	0.288461538461538
Lasso+plsRglm	0.365591397849462	0.333333333333333
glmBoost+plsRglm	0.349442379182156	0.342342342342342
glmBoost+Stepglm[forward]	0.348148148148148	0.306306306306306
Lasso+Stepglm[forward]	0.375451263537906	0.347826086956522
Stepglm[forward]	0.369565217391304	0.333333333333333
plsRglm	0.370909090909091	0.31858407079646
RF+Ridge	0.309523809523809	0.224489795918367
RF+Enet[alpha=0.1]	0.304	0.244897959183673
RF+plsRglm	0.376811594202899	0.341880341880342
RF+Stepglm[forward]	0.378181818181818	0.300884955752212
RF+Enet[alpha=0.2]	0.333333333333333	0.277227722772277
RF+Enet[alpha=0.3]	0.33976833976834	0.288461538461538
RF+Enet[alpha=0.6]	0.324110671936759	0.29126213592233
RF+Lasso	0.330708661417323	0.29126213592233
RF+Enet[alpha=0.7]	0.330708661417323	0.29126213592233
RF+Enet[alpha=0.5]	0.298387096774194	0.242424242424242
RF+glmBoost	0.337164750957854	0.283018867924528
RF+Enet[alpha=0.9]	0.3359375	0.29126213592233
RF+Enet[alpha=0.4]	0.338461538461538	0.288461538461538
RF+Enet[alpha=0.8]	0.337164750957854	0.285714285714286
Stepglm[both]+Ridge	0.333333333333333	0.299065420560748
Stepglm[backward]+Ridge	0.333333333333333	0.252427184466019
Stepglm[both]+plsRglm	0.352941176470588	0.339285714285714
Stepglm[backward]+plsRglm	0.352941176470588	0.339285714285714
Stepglm[both]+Enet[alpha=0.9]	0.340740740740741	0.339285714285714
Stepglm[backward]+Enet[alpha=0.9]	0.340740740740741	0.339285714285714
Stepglm[both]+Enet[alpha=0.1]	0.333333333333333	0.283018867924528
Stepglm[backward]+Enet[alpha=0.1]	0.338345864661654	0.296296296296296
Stepglm[both]+Enet[alpha=0.8]	0.342007434944238	0.293577981651376
Stepglm[backward]+Enet[alpha=0.8]	0.340740740740741	0.336283185840708
Stepglm[both]+Enet[alpha=0.2]	0.342007434944238	0.309090909090909
Stepglm[backward]+Enet[alpha=0.2]	0.333333333333333	0.299065420560748
Stepglm[both]+Lasso	0.334600760456274	0.266666666666667
Stepglm[backward]+Lasso	0.338582677165354	0.235294117647059
Stepglm[both]+Enet[alpha=0.6]	0.342007434944238	0.293577981651376
Stepglm[backward]+Enet[alpha=0.6]	0.334600760456274	0.283018867924528
glmBoost+GBM	0.492753623188406	0.333333333333333
Stepglm[both]+Enet[alpha=0.7]	0.342007434944238	0.293577981651376
Stepglm[backward]+Enet[alpha=0.7]	0.342007434944238	0.293577981651376
Lasso+Stepglm[backward]	0.339483394833948	0.336283185840708
Stepglm[both]	0.339483394833948	0.336283185840708
Stepglm[backward]	0.339483394833948	0.336283185840708
glmBoost+Stepglm[both]	0.339483394833948	0.336283185840708
glmBoost+Stepglm[backward]	0.339483394833948	0.336283185840708
Stepglm[both]+Enet[alpha=0.4]	0.338345864661654	0.296296296296296
Stepglm[backward]+Enet[alpha=0.4]	0.338345864661654	0.296296296296296
Stepglm[both]+Enet[alpha=0.3]	0.337078651685393	0.296296296296296
Stepglm[backward]+Enet[alpha=0.3]	0.337078651685393	0.296296296296296
Stepglm[both]+glmBoost	0.286885245901639	0.1875
Stepglm[backward]+glmBoost	0.33587786259542	0.266666666666667
Stepglm[both]+Enet[alpha=0.5]	0.340740740740741	0.339285714285714
Stepglm[backward]+Enet[alpha=0.5]	0.342007434944238	0.293577981651376
glmBoost+RF	0.88953488372093	0.353982300884956
RF	0.902298850574713	0.327272727272727
Lasso+GBM	0.468864468864469	0.327272727272727
RF+GBM	0.460377358490566	0.307692307692308
GBM	0.472324723247232	0.30188679245283
Lasso+RF	0.883720930232558	0.330275229357798
Stepglm[both]+GBM	0.419847328244275	0.275229357798165
Stepglm[backward]+GBM	0.449438202247191	0.272727272727273
Stepglm[both]+RF	0.867256637168142	0.396694214876033
LDA	0.346863468634686	0.321428571428571
glmBoost+LDA	0.343283582089552	0.324324324324324
RF+LDA	0.343283582089552	0.27027027027027
Stepglm[both]+LDA	0.340740740740741	0.311926605504587
Stepglm[backward]+LDA	0.340740740740741	0.311926605504587
Lasso+LDA	0.348148148148148	0.330275229357798
Stepglm[backward]+RF	0.863905325443787	0.40650406504065
XGBoost	0.519047619047619	0.417177914110429
Lasso+XGBoost	0.519047619047619	0.417177914110429
glmBoost+XGBoost	0.519047619047619	0.417177914110429
RF+XGBoost	0.529032258064516	0.36036036036036
Stepglm[both]+XGBoost	0.519047619047619	0.417177914110429
Stepglm[backward]+XGBoost	0.182648401826484	0.117647058823529
