Training	Testing
Lasso+Stepglm[both]	0.240837696335079	0.246753246753247
Ridge	0.209424083769634	0.142857142857143
glmBoost+Ridge	0.225130890052356	0.181818181818182
Enet[alpha=0.1]	0.219895287958115	0.168831168831169
glmBoost+Enet[alpha=0.1]	0.230366492146597	0.194805194805195
Enet[alpha=0.2]	0.230366492146597	0.181818181818182
Enet[alpha=0.3]	0.230366492146597	0.194805194805195
glmBoost+Enet[alpha=0.3]	0.235602094240838	0.207792207792208
glmBoost+Enet[alpha=0.2]	0.225130890052356	0.168831168831169
Enet[alpha=0.4]	0.235602094240838	0.194805194805195
glmBoost+Enet[alpha=0.4]	0.235602094240838	0.194805194805195
Lasso+glmBoost	0.240837696335079	0.194805194805195
Enet[alpha=0.5]	0.230366492146597	0.194805194805195
glmBoost	0.240837696335079	0.194805194805195
glmBoost+Enet[alpha=0.5]	0.235602094240838	0.194805194805195
Enet[alpha=0.6]	0.235602094240838	0.194805194805195
glmBoost+Enet[alpha=0.6]	0.235602094240838	0.207792207792208
glmBoost+Enet[alpha=0.7]	0.240837696335079	0.207792207792208
glmBoost+Enet[alpha=0.8]	0.235602094240838	0.194805194805195
Enet[alpha=0.8]	0.230366492146597	0.194805194805195
Enet[alpha=0.9]	0.230366492146597	0.194805194805195
Lasso	0.230366492146597	0.194805194805195
Enet[alpha=0.7]	0.230366492146597	0.194805194805195
glmBoost+Enet[alpha=0.9]	0.235602094240838	0.207792207792208
glmBoost+Lasso	0.230366492146597	0.194805194805195
Lasso+plsRglm	0.267015706806283	0.246753246753247
glmBoost+plsRglm	0.246073298429319	0.246753246753247
glmBoost+Stepglm[forward]	0.246073298429319	0.220779220779221
Lasso+Stepglm[forward]	0.272251308900524	0.25974025974026
Stepglm[forward]	0.267015706806283	0.246753246753247
plsRglm	0.267015706806283	0.233766233766234
RF+Ridge	0.204188481675393	0.142857142857143
RF+Enet[alpha=0.1]	0.198952879581152	0.155844155844156
RF+plsRglm	0.272251308900524	0.25974025974026
RF+Stepglm[forward]	0.272251308900524	0.220779220779221
RF+Enet[alpha=0.2]	0.225130890052356	0.181818181818182
RF+Enet[alpha=0.3]	0.230366492146597	0.194805194805195
RF+Enet[alpha=0.6]	0.214659685863874	0.194805194805195
RF+Lasso	0.219895287958115	0.194805194805195
RF+Enet[alpha=0.7]	0.219895287958115	0.194805194805195
RF+Enet[alpha=0.5]	0.193717277486911	0.155844155844156
RF+glmBoost	0.230366492146597	0.194805194805195
RF+Enet[alpha=0.9]	0.225130890052356	0.194805194805195
RF+Enet[alpha=0.4]	0.230366492146597	0.194805194805195
RF+Enet[alpha=0.8]	0.230366492146597	0.194805194805195
Stepglm[both]+Ridge	0.230366492146597	0.207792207792208
Stepglm[backward]+Ridge	0.225130890052356	0.168831168831169
Stepglm[both]+plsRglm	0.25130890052356	0.246753246753247
Stepglm[backward]+plsRglm	0.25130890052356	0.246753246753247
Stepglm[both]+Enet[alpha=0.9]	0.240837696335079	0.246753246753247
Stepglm[backward]+Enet[alpha=0.9]	0.240837696335079	0.246753246753247
Stepglm[both]+Enet[alpha=0.1]	0.230366492146597	0.194805194805195
Stepglm[backward]+Enet[alpha=0.1]	0.235602094240838	0.207792207792208
Stepglm[both]+Enet[alpha=0.8]	0.240837696335079	0.207792207792208
Stepglm[backward]+Enet[alpha=0.8]	0.240837696335079	0.246753246753247
Stepglm[both]+Enet[alpha=0.2]	0.240837696335079	0.220779220779221
Stepglm[backward]+Enet[alpha=0.2]	0.230366492146597	0.207792207792208
Stepglm[both]+Lasso	0.230366492146597	0.181818181818182
Stepglm[backward]+Lasso	0.225130890052356	0.155844155844156
Stepglm[both]+Enet[alpha=0.6]	0.240837696335079	0.207792207792208
Stepglm[backward]+Enet[alpha=0.6]	0.230366492146597	0.194805194805195
glmBoost+GBM	0.356020942408377	0.233766233766234
Stepglm[both]+Enet[alpha=0.7]	0.240837696335079	0.207792207792208
Stepglm[backward]+Enet[alpha=0.7]	0.240837696335079	0.207792207792208
Lasso+Stepglm[backward]	0.240837696335079	0.246753246753247
Stepglm[both]	0.240837696335079	0.246753246753247
Stepglm[backward]	0.240837696335079	0.246753246753247
glmBoost+Stepglm[both]	0.240837696335079	0.246753246753247
glmBoost+Stepglm[backward]	0.240837696335079	0.246753246753247
Stepglm[both]+Enet[alpha=0.4]	0.235602094240838	0.207792207792208
Stepglm[backward]+Enet[alpha=0.4]	0.235602094240838	0.207792207792208
Stepglm[both]+Enet[alpha=0.3]	0.235602094240838	0.207792207792208
Stepglm[backward]+Enet[alpha=0.3]	0.235602094240838	0.207792207792208
Stepglm[both]+glmBoost	0.183246073298429	0.116883116883117
Stepglm[backward]+glmBoost	0.230366492146597	0.181818181818182
Stepglm[both]+Enet[alpha=0.5]	0.240837696335079	0.246753246753247
Stepglm[backward]+Enet[alpha=0.5]	0.240837696335079	0.207792207792208
glmBoost+RF	0.801047120418848	0.25974025974026
RF	0.821989528795812	0.233766233766234
Lasso+GBM	0.335078534031414	0.233766233766234
RF+GBM	0.319371727748691	0.207792207792208
GBM	0.335078534031414	0.207792207792208
Lasso+RF	0.795811518324607	0.233766233766234
Stepglm[both]+GBM	0.287958115183246	0.194805194805195
Stepglm[backward]+GBM	0.31413612565445	0.194805194805195
Stepglm[both]+RF	0.769633507853403	0.311688311688312
LDA	0.246073298429319	0.233766233766234
glmBoost+LDA	0.240837696335079	0.233766233766234
RF+LDA	0.240837696335079	0.194805194805195
Stepglm[both]+LDA	0.240837696335079	0.220779220779221
Stepglm[backward]+LDA	0.240837696335079	0.220779220779221
Lasso+LDA	0.246073298429319	0.233766233766234
Stepglm[backward]+RF	0.764397905759162	0.324675324675325
XGBoost	0.570680628272251	0.441558441558442
Lasso+XGBoost	0.570680628272251	0.441558441558442
glmBoost+XGBoost	0.570680628272251	0.441558441558442
RF+XGBoost	0.429319371727749	0.25974025974026
Stepglm[both]+XGBoost	0.570680628272251	0.441558441558442
Stepglm[backward]+XGBoost	0.104712041884817	0.0649350649350649
