Training	Testing
Lasso+Stepglm[both]	0.746543499002515	0.70306558377541
Ridge	0.742692341052997	0.706257922163279
glmBoost+Ridge	0.743091334894614	0.706774329843669
Enet[alpha=0.1]	0.74690779772747	0.719590629547909
glmBoost+Enet[alpha=0.1]	0.747766501864862	0.719825360311723
Enet[alpha=0.2]	0.747194032439934	0.712877329702831
Enet[alpha=0.3]	0.746942492844132	0.71977841415896
glmBoost+Enet[alpha=0.3]	0.747827218319022	0.711046429745082
glmBoost+Enet[alpha=0.2]	0.747662416514876	0.720388714144876
Enet[alpha=0.4]	0.742891837973805	0.70729073752406
glmBoost+Enet[alpha=0.4]	0.747844565877353	0.714097929674663
Lasso+glmBoost	0.738476884378524	0.699638514623727
Enet[alpha=0.5]	0.742735709948825	0.705976245246702
glmBoost	0.738476884378524	0.699638514623727
glmBoost+Enet[alpha=0.5]	0.747766501864862	0.711938406647575
Enet[alpha=0.6]	0.742614277040507	0.705976245246702
glmBoost+Enet[alpha=0.6]	0.747861913435684	0.710013614384301
glmBoost+Enet[alpha=0.7]	0.747766501864862	0.711891460494812
glmBoost+Enet[alpha=0.8]	0.747766501864862	0.711140322050608
Enet[alpha=0.8]	0.742718362390493	0.707854091357213
Enet[alpha=0.9]	0.745554688177639	0.722595183324726
Lasso	0.745719489981785	0.723581052532745
Enet[alpha=0.7]	0.747228727556596	0.70982582977325
glmBoost+Enet[alpha=0.9]	0.747853239656518	0.708793014412469
glmBoost+Lasso	0.747818544539856	0.707854091357213
Lasso+plsRglm	0.737488073553647	0.682690953476363
glmBoost+plsRglm	0.747523636048226	0.711328106661659
glmBoost+Stepglm[forward]	0.747844565877353	0.702173606872917
Lasso+Stepglm[forward]	0.747089947089947	0.701187737664898
Stepglm[forward]	0.747089947089947	0.701187737664898
plsRglm	0.737488073553647	0.682690953476363
RF+Ridge	0.743152051348773	0.708933852870757
RF+Enet[alpha=0.1]	0.747089947089947	0.72113985258908
RF+plsRglm	0.739040680024287	0.684709638045162
RF+Stepglm[forward]	0.747176684881603	0.69766677620769
RF+Enet[alpha=0.2]	0.747107294648278	0.722360452560913
RF+Enet[alpha=0.3]	0.747194032439934	0.710764752828506
RF+Enet[alpha=0.6]	0.7472027062191	0.704239237594479
RF+Lasso	0.747176684881603	0.704004506830665
RF+Enet[alpha=0.7]	0.747306791569087	0.708605229801418
RF+Enet[alpha=0.5]	0.747237401335762	0.704520914511056
RF+glmBoost	0.738416167924365	0.702408337636731
RF+Enet[alpha=0.9]	0.747133315985775	0.704286183747242
RF+Enet[alpha=0.4]	0.747272096452424	0.707807145204451
RF+Enet[alpha=0.8]	0.747298117789921	0.708558283648655
RF+Stepglm[both]	0.74645676121086	0.700859114595559
RF+Stepglm[backward]	0.74645676121086	0.700859114595559
Stepglm[both]+Ridge	0.742605603261341	0.707947983662739
Stepglm[backward]+Ridge	0.742605603261341	0.707947983662739
Stepglm[both]+plsRglm	0.740393789574118	0.686211914933571
Stepglm[backward]+plsRglm	0.740393789574118	0.686211914933571
Stepglm[both]+Enet[alpha=0.9]	0.74669095324833	0.708511337495892
Stepglm[backward]+Enet[alpha=0.9]	0.746777691039986	0.708323552884841
Stepglm[both]+Enet[alpha=0.1]	0.746838407494145	0.720529552603164
Stepglm[backward]+Enet[alpha=0.1]	0.746838407494145	0.720529552603164
Stepglm[both]+Enet[alpha=0.8]	0.746716974585827	0.708793014412469
Stepglm[backward]+Enet[alpha=0.8]	0.746682279469165	0.708605229801418
Stepglm[both]+Enet[alpha=0.2]	0.746916471506635	0.714661283507817
Stepglm[backward]+Enet[alpha=0.2]	0.746916471506635	0.714661283507817
Stepglm[both]+Lasso	0.74682973371498	0.708323552884841
Stepglm[backward]+Lasso	0.746742995923324	0.708746068259706
Stepglm[both]+Enet[alpha=0.6]	0.746664931910834	0.708886906717994
Stepglm[backward]+Enet[alpha=0.6]	0.746855755052476	0.716539129618328
glmBoost+GBM	0.887691907364038	0.706492652927093
Stepglm[both]+Enet[alpha=0.7]	0.746656258131668	0.711375052814422
Stepglm[backward]+Enet[alpha=0.7]	0.746769017260821	0.712783437397305
