Training	Testing
Lasso+Stepglm[both]	0.678622668579627	0.674496644295302
Ridge	0.681492109038737	0.647651006711409
glmBoost+Ridge	0.685796269727403	0.651006711409396
Enet[alpha=0.1]	0.680057388809182	0.674496644295302
glmBoost+Enet[alpha=0.1]	0.681492109038737	0.677852348993289
Enet[alpha=0.2]	0.684361549497848	0.671140939597315
Enet[alpha=0.3]	0.680057388809182	0.677852348993289
glmBoost+Enet[alpha=0.3]	0.677187948350072	0.667785234899329
glmBoost+Enet[alpha=0.2]	0.681492109038737	0.677852348993289
Enet[alpha=0.4]	0.682926829268293	0.647651006711409
glmBoost+Enet[alpha=0.4]	0.681492109038737	0.661073825503356
Lasso+glmBoost	0.674318507890961	0.630872483221476
Enet[alpha=0.5]	0.681492109038737	0.651006711409396
glmBoost	0.674318507890961	0.630872483221476
glmBoost+Enet[alpha=0.5]	0.677187948350072	0.664429530201342
Enet[alpha=0.6]	0.681492109038737	0.651006711409396
glmBoost+Enet[alpha=0.6]	0.677187948350072	0.671140939597315
glmBoost+Enet[alpha=0.7]	0.677187948350072	0.661073825503356
glmBoost+Enet[alpha=0.8]	0.677187948350072	0.667785234899329
Enet[alpha=0.8]	0.681492109038737	0.651006711409396
Enet[alpha=0.9]	0.685796269727403	0.667785234899329
Lasso	0.687230989956958	0.677852348993289
Enet[alpha=0.7]	0.684361549497848	0.667785234899329
glmBoost+Enet[alpha=0.9]	0.678622668579627	0.671140939597315
glmBoost+Lasso	0.678622668579627	0.671140939597315
Lasso+plsRglm	0.677187948350072	0.63758389261745
glmBoost+plsRglm	0.684361549497848	0.667785234899329
glmBoost+Stepglm[forward]	0.678622668579627	0.667785234899329
Lasso+Stepglm[forward]	0.678622668579627	0.671140939597315
Stepglm[forward]	0.678622668579627	0.671140939597315
plsRglm	0.677187948350072	0.63758389261745
RF+Ridge	0.682926829268293	0.647651006711409
RF+Enet[alpha=0.1]	0.680057388809182	0.677852348993289
RF+plsRglm	0.675753228120517	0.634228187919463
RF+Stepglm[forward]	0.682926829268293	0.667785234899329
RF+Enet[alpha=0.2]	0.682926829268293	0.674496644295302
RF+Enet[alpha=0.3]	0.682926829268293	0.671140939597315
RF+Enet[alpha=0.6]	0.684361549497848	0.671140939597315
RF+Lasso	0.684361549497848	0.671140939597315
RF+Enet[alpha=0.7]	0.682926829268293	0.671140939597315
RF+Enet[alpha=0.5]	0.684361549497848	0.671140939597315
RF+glmBoost	0.670014347202296	0.634228187919463
RF+Enet[alpha=0.9]	0.684361549497848	0.671140939597315
RF+Enet[alpha=0.4]	0.684361549497848	0.664429530201342
RF+Enet[alpha=0.8]	0.684361549497848	0.667785234899329
RF+Stepglm[both]	0.672883787661406	0.671140939597315
RF+Stepglm[backward]	0.672883787661406	0.671140939597315
Stepglm[both]+Ridge	0.678622668579627	0.640939597315436
Stepglm[backward]+Ridge	0.678622668579627	0.640939597315436
Stepglm[both]+plsRglm	0.672883787661406	0.61744966442953
Stepglm[backward]+plsRglm	0.672883787661406	0.61744966442953
Stepglm[both]+Enet[alpha=0.9]	0.678622668579627	0.671140939597315
Stepglm[backward]+Enet[alpha=0.9]	0.678622668579627	0.674496644295302
Stepglm[both]+Enet[alpha=0.1]	0.680057388809182	0.684563758389262
Stepglm[backward]+Enet[alpha=0.1]	0.680057388809182	0.684563758389262
Stepglm[both]+Enet[alpha=0.8]	0.678622668579627	0.671140939597315
Stepglm[backward]+Enet[alpha=0.8]	0.678622668579627	0.674496644295302
Stepglm[both]+Enet[alpha=0.2]	0.680057388809182	0.667785234899329
Stepglm[backward]+Enet[alpha=0.2]	0.680057388809182	0.667785234899329
Stepglm[both]+Lasso	0.678622668579627	0.674496644295302
Stepglm[backward]+Lasso	0.678622668579627	0.667785234899329
Stepglm[both]+Enet[alpha=0.6]	0.678622668579627	0.664429530201342
Stepglm[backward]+Enet[alpha=0.6]	0.677187948350072	0.671140939597315
glmBoost+GBM	0.807747489239598	0.63758389261745
Stepglm[both]+Enet[alpha=0.7]	0.678622668579627	0.664429530201342
Stepglm[backward]+Enet[alpha=0.7]	0.680057388809182	0.664429530201342
Lasso+Stepglm[backward]	0.678622668579627	0.674496644295302
Stepglm[both]	0.678622668579627	0.674496644295302
Stepglm[backward]	0.678622668579627	0.674496644295302
glmBoost+Stepglm[both]	0.678622668579627	0.674496644295302
glmBoost+Stepglm[backward]	0.678622668579627	0.674496644295302
Stepglm[both]+Enet[alpha=0.4]	0.678622668579627	0.671140939597315
Stepglm[backward]+Enet[alpha=0.4]	0.680057388809182	0.671140939597315
Stepglm[both]+Enet[alpha=0.3]	0.678622668579627	0.664429530201342
Stepglm[backward]+Enet[alpha=0.3]	0.678622668579627	0.664429530201342
Stepglm[both]+glmBoost	0.671449067431851	0.62751677852349
Stepglm[backward]+glmBoost	0.671449067431851	0.62751677852349
Stepglm[both]+Enet[alpha=0.5]	0.678622668579627	0.664429530201342
Stepglm[backward]+Enet[alpha=0.5]	0.680057388809182	0.664429530201342
glmBoost+RF	0.964131994261119	0.661073825503356
RF	0.972740315638451	0.647651006711409
Lasso+GBM	0.81922525107604	0.654362416107383
RF+GBM	0.820659971305595	0.651006711409396
GBM	0.817790530846485	0.644295302013423
Lasso+RF	0.971305595408895	0.657718120805369
Stepglm[both]+GBM	0.776183644189383	0.667785234899329
Stepglm[backward]+GBM	0.78909612625538	0.661073825503356
Stepglm[both]+RF	0.962697274031564	0.671140939597315
LDA	0.671449067431851	0.614093959731544
glmBoost+LDA	0.671449067431851	0.610738255033557
RF+LDA	0.667144906743185	0.61744966442953
Stepglm[both]+LDA	0.671449067431851	0.614093959731544
Stepglm[backward]+LDA	0.671449067431851	0.614093959731544
Lasso+LDA	0.671449067431851	0.614093959731544
Stepglm[backward]+RF	0.96700143472023	0.667785234899329
XGBoost	0.708751793400287	0.62751677852349
Lasso+XGBoost	0.692969870875179	0.63758389261745
glmBoost+XGBoost	0.651362984218077	0.634228187919463
RF+XGBoost	0.651362984218077	0.634228187919463
Stepglm[both]+XGBoost	0.692969870875179	0.63758389261745
Stepglm[backward]+XGBoost	0.651362984218077	0.634228187919463
