Training	Testing
Lasso+Stepglm[both]	0.19630175354733	0.219109183391069
Ridge	0.197602849316916	0.212260382106946
glmBoost+Ridge	0.197666794558734	0.211990769097061
Enet[alpha=0.1]	0.196240462470468	0.210547601666605
glmBoost+Enet[alpha=0.1]	0.196234801056226	0.209860871097078
Enet[alpha=0.2]	0.196124412833945	0.213919523589008
Enet[alpha=0.3]	0.196228659928061	0.210641281096864
glmBoost+Enet[alpha=0.3]	0.196119249169706	0.214855638218481
glmBoost+Enet[alpha=0.2]	0.196249024319372	0.209594618540457
Enet[alpha=0.4]	0.197746552699109	0.211783069536139
glmBoost+Enet[alpha=0.4]	0.196134621614599	0.213161108277403
Lasso+glmBoost	0.199172540341005	0.211915757606015
Enet[alpha=0.5]	0.197845191835005	0.211830367621974
glmBoost	0.199172540341005	0.211915757606015
glmBoost+Enet[alpha=0.5]	0.196121097556428	0.214461834411959
Enet[alpha=0.6]	0.197874359792909	0.211842606346604
glmBoost+Enet[alpha=0.6]	0.196116604234633	0.21553873463642
glmBoost+Enet[alpha=0.7]	0.196121433314602	0.214317807602309
glmBoost+Enet[alpha=0.8]	0.196118329313584	0.214766307027103
Enet[alpha=0.8]	0.197689447481162	0.211647095408908
Enet[alpha=0.9]	0.196814240323492	0.208790667886464
Lasso	0.196685285680931	0.208173396313578
Enet[alpha=0.7]	0.196102766062779	0.215223608266992
glmBoost+Enet[alpha=0.9]	0.196115619368898	0.216188669337384
glmBoost+Lasso	0.196115736124975	0.216523774743083
Lasso+plsRglm	0.200663505320309	0.222572128817103
glmBoost+plsRglm	0.196198597711702	0.215225145502944
glmBoost+Stepglm[forward]	0.196138478380421	0.219521868908996
Lasso+Stepglm[forward]	0.196120315121504	0.220369215477874
Stepglm[forward]	0.196120315121504	0.220369215477874
plsRglm	0.200663505320309	0.222572128817103
RF+Ridge	0.19797836246527	0.211302947425263
RF+Enet[alpha=0.1]	0.196439735991272	0.210032451305119
RF+plsRglm	0.200512184887131	0.22248660850661
RF+Stepglm[forward]	0.196303302881318	0.221541977155264
RF+Enet[alpha=0.2]	0.196536446861939	0.208675000076188
RF+Enet[alpha=0.3]	0.196300976693512	0.214704282975075
RF+Enet[alpha=0.6]	0.196282720583302	0.217996498593792
RF+Lasso	0.196281281739342	0.218281034428303
RF+Enet[alpha=0.7]	0.196289292161494	0.215720935423958
RF+Enet[alpha=0.5]	0.196282848025486	0.21788236054509
RF+glmBoost	0.199475854955513	0.21135426174019
RF+Enet[alpha=0.9]	0.196281831086077	0.218160129795536
RF+Enet[alpha=0.4]	0.196286411553162	0.216373682434239
RF+Enet[alpha=0.8]	0.19628771560792	0.21584953465676
RF+Stepglm[both]	0.196527306324408	0.219885744092192
RF+Stepglm[backward]	0.196527306324408	0.219885744092192
Stepglm[both]+Ridge	0.197823517861671	0.211831423798882
Stepglm[backward]+Ridge	0.197823517861671	0.211831423798882
Stepglm[both]+plsRglm	0.19936849951514	0.222605547051187
Stepglm[backward]+plsRglm	0.19936849951514	0.222605547051187
Stepglm[both]+Enet[alpha=0.9]	0.196278122088074	0.215844335615996
Stepglm[backward]+Enet[alpha=0.9]	0.196278654113505	0.216094262609942
Stepglm[both]+Enet[alpha=0.1]	0.196392391220615	0.20972460418085
Stepglm[backward]+Enet[alpha=0.1]	0.196392391220615	0.20972460418085
Stepglm[both]+Enet[alpha=0.8]	0.196278224021475	0.215683654018559
Stepglm[backward]+Enet[alpha=0.8]	0.196278581566965	0.215938904989932
Stepglm[both]+Enet[alpha=0.2]	0.196298578679444	0.212739043478706
Stepglm[backward]+Enet[alpha=0.2]	0.196298578679444	0.212739043478706
Stepglm[both]+Lasso	0.196278428004449	0.216163125386702
Stepglm[backward]+Lasso	0.196277272990906	0.215329097206968
Stepglm[both]+Enet[alpha=0.6]	0.196278705836911	0.21522175130645
Stepglm[backward]+Enet[alpha=0.6]	0.196318425158106	0.21165189844124
glmBoost+GBM	0.143769272748902	0.218732408223363
Stepglm[both]+Enet[alpha=0.7]	0.196281130546529	0.214373184180341
Stepglm[backward]+Enet[alpha=0.7]	0.19628600168618	0.213673995686043
Lasso+Stepglm[backward]	0.19630175354733	0.219109183391069
