Training	Testing
Lasso+Stepglm[both]	0.542857142857143	0.561085972850679
Ridge	0.533613445378151	0.507042253521127
glmBoost+Ridge	0.538947368421053	0.509433962264151
Enet[alpha=0.1]	0.543967280163599	0.561085972850679
glmBoost+Enet[alpha=0.1]	0.545081967213115	0.559633027522936
Enet[alpha=0.2]	0.552845528455285	0.55045871559633
Enet[alpha=0.3]	0.543967280163599	0.567567567567568
glmBoost+Enet[alpha=0.3]	0.539877300613497	0.53953488372093
glmBoost+Enet[alpha=0.2]	0.546938775510204	0.559633027522936
Enet[alpha=0.4]	0.540540540540541	0.511627906976744
glmBoost+Enet[alpha=0.4]	0.548780487804878	0.534562211981567
Lasso+glmBoost	0.543259557344064	0.490740740740741
Enet[alpha=0.5]	0.539419087136929	0.518518518518519
glmBoost	0.543259557344064	0.490740740740741
glmBoost+Enet[alpha=0.5]	0.539877300613497	0.537037037037037
Enet[alpha=0.6]	0.539419087136929	0.518518518518519
glmBoost+Enet[alpha=0.6]	0.539877300613497	0.546296296296296
glmBoost+Enet[alpha=0.7]	0.539877300613497	0.534562211981567
glmBoost+Enet[alpha=0.8]	0.539877300613497	0.53953488372093
Enet[alpha=0.8]	0.539419087136929	0.518518518518519
Enet[alpha=0.9]	0.548453608247423	0.552036199095023
Lasso	0.551440329218107	0.559633027522936
Enet[alpha=0.7]	0.554655870445344	0.547945205479452
glmBoost+Enet[alpha=0.9]	0.540983606557377	0.546296296296296
glmBoost+Lasso	0.540983606557377	0.546296296296296
Lasso+plsRglm	0.52431289640592	0.495327102803738
glmBoost+plsRglm	0.552845528455285	0.53953488372093
glmBoost+Stepglm[forward]	0.540983606557377	0.552036199095023
Lasso+Stepglm[forward]	0.546558704453441	0.558558558558559
Stepglm[forward]	0.546558704453441	0.558558558558559
plsRglm	0.52431289640592	0.495327102803738
RF+Ridge	0.538622129436326	0.502369668246446
RF+Enet[alpha=0.1]	0.543967280163599	0.567567567567568
RF+plsRglm	0.536885245901639	0.497695852534562
RF+Stepglm[forward]	0.551724137931034	0.552036199095023
RF+Enet[alpha=0.2]	0.54989816700611	0.557077625570776
RF+Enet[alpha=0.3]	0.54989816700611	0.55045871559633
RF+Enet[alpha=0.6]	0.554655870445344	0.55045871559633
RF+Lasso	0.554655870445344	0.55045871559633
RF+Enet[alpha=0.7]	0.54989816700611	0.546296296296296
RF+Enet[alpha=0.5]	0.554655870445344	0.55045871559633
RF+glmBoost	0.536290322580645	0.493023255813954
RF+Enet[alpha=0.9]	0.554655870445344	0.55045871559633
RF+Enet[alpha=0.4]	0.554655870445344	0.541284403669725
RF+Enet[alpha=0.8]	0.552845528455285	0.53953488372093
RF+Stepglm[both]	0.532786885245902	0.558558558558559
RF+Stepglm[backward]	0.532786885245902	0.558558558558559
Stepglm[both]+Ridge	0.527426160337553	0.497652582159624
Stepglm[backward]+Ridge	0.527426160337553	0.497652582159624
Stepglm[both]+plsRglm	0.528925619834711	0.477064220183486
Stepglm[backward]+plsRglm	0.528925619834711	0.477064220183486
Stepglm[both]+Enet[alpha=0.9]	0.542857142857143	0.554545454545454
Stepglm[backward]+Enet[alpha=0.9]	0.542857142857143	0.557077625570776
Stepglm[both]+Enet[alpha=0.1]	0.545824847250509	0.572727272727273
Stepglm[backward]+Enet[alpha=0.1]	0.545824847250509	0.572727272727273
Stepglm[both]+Enet[alpha=0.8]	0.542857142857143	0.554545454545454
Stepglm[backward]+Enet[alpha=0.8]	0.542857142857143	0.557077625570776
Stepglm[both]+Enet[alpha=0.2]	0.543967280163599	0.547945205479452
Stepglm[backward]+Enet[alpha=0.2]	0.543967280163599	0.547945205479452
Stepglm[both]+Lasso	0.542857142857143	0.557077625570776
Stepglm[backward]+Lasso	0.542857142857143	0.547945205479452
Stepglm[both]+Enet[alpha=0.6]	0.542857142857143	0.541284403669725
Stepglm[backward]+Enet[alpha=0.6]	0.541751527494908	0.55045871559633
glmBoost+GBM	0.735177865612648	0.393258426966292
Stepglm[both]+Enet[alpha=0.7]	0.540983606557377	0.541284403669725
Stepglm[backward]+Enet[alpha=0.7]	0.543967280163599	0.541284403669725
Lasso+Stepglm[backward]	0.542857142857143	0.561085972850679
Stepglm[both]	0.542857142857143	0.561085972850679
