Training	Testing
Lasso+Stepglm[both]	0.492592592592593	0.521008403361345
Ridge	0.47037037037037	0.453781512605042
glmBoost+Ridge	0.474074074074074	0.453781512605042
Enet[alpha=0.1]	0.492592592592593	0.521008403361345
glmBoost+Enet[alpha=0.1]	0.492592592592593	0.512605042016807
Enet[alpha=0.2]	0.503703703703704	0.504201680672269
Enet[alpha=0.3]	0.492592592592593	0.529411764705882
glmBoost+Enet[alpha=0.3]	0.488888888888889	0.487394957983193
glmBoost+Enet[alpha=0.2]	0.496296296296296	0.512605042016807
Enet[alpha=0.4]	0.481481481481481	0.46218487394958
glmBoost+Enet[alpha=0.4]	0.5	0.487394957983193
Lasso+glmBoost	0.5	0.445378151260504
Enet[alpha=0.5]	0.481481481481481	0.470588235294118
glmBoost	0.5	0.445378151260504
glmBoost+Enet[alpha=0.5]	0.488888888888889	0.487394957983193
Enet[alpha=0.6]	0.481481481481481	0.470588235294118
glmBoost+Enet[alpha=0.6]	0.488888888888889	0.495798319327731
glmBoost+Enet[alpha=0.7]	0.488888888888889	0.487394957983193
glmBoost+Enet[alpha=0.8]	0.488888888888889	0.487394957983193
Enet[alpha=0.8]	0.481481481481481	0.470588235294118
Enet[alpha=0.9]	0.492592592592593	0.512605042016807
Lasso	0.496296296296296	0.512605042016807
Enet[alpha=0.7]	0.507407407407407	0.504201680672269
glmBoost+Enet[alpha=0.9]	0.488888888888889	0.495798319327731
glmBoost+Lasso	0.488888888888889	0.495798319327731
Lasso+plsRglm	0.459259259259259	0.445378151260504
glmBoost+plsRglm	0.503703703703704	0.487394957983193
glmBoost+Stepglm[forward]	0.488888888888889	0.512605042016807
Lasso+Stepglm[forward]	0.5	0.521008403361345
Stepglm[forward]	0.5	0.521008403361345
plsRglm	0.459259259259259	0.445378151260504
RF+Ridge	0.477777777777778	0.445378151260504
RF+Enet[alpha=0.1]	0.492592592592593	0.529411764705882
RF+plsRglm	0.485185185185185	0.453781512605042
RF+Stepglm[forward]	0.503703703703704	0.512605042016807
RF+Enet[alpha=0.2]	0.5	0.512605042016807
RF+Enet[alpha=0.3]	0.5	0.504201680672269
RF+Enet[alpha=0.6]	0.507407407407407	0.504201680672269
RF+Lasso	0.507407407407407	0.504201680672269
RF+Enet[alpha=0.7]	0.5	0.495798319327731
RF+Enet[alpha=0.5]	0.507407407407407	0.504201680672269
RF+glmBoost	0.492592592592593	0.445378151260504
RF+Enet[alpha=0.9]	0.507407407407407	0.504201680672269
RF+Enet[alpha=0.4]	0.507407407407407	0.495798319327731
RF+Enet[alpha=0.8]	0.503703703703704	0.487394957983193
RF+Stepglm[both]	0.481481481481481	0.521008403361345
RF+Stepglm[backward]	0.481481481481481	0.521008403361345
Stepglm[both]+Ridge	0.462962962962963	0.445378151260504
Stepglm[backward]+Ridge	0.462962962962963	0.445378151260504
Stepglm[both]+plsRglm	0.474074074074074	0.436974789915966
Stepglm[backward]+plsRglm	0.474074074074074	0.436974789915966
Stepglm[both]+Enet[alpha=0.9]	0.492592592592593	0.512605042016807
Stepglm[backward]+Enet[alpha=0.9]	0.492592592592593	0.512605042016807
Stepglm[both]+Enet[alpha=0.1]	0.496296296296296	0.529411764705882
Stepglm[backward]+Enet[alpha=0.1]	0.496296296296296	0.529411764705882
Stepglm[both]+Enet[alpha=0.8]	0.492592592592593	0.512605042016807
Stepglm[backward]+Enet[alpha=0.8]	0.492592592592593	0.512605042016807
Stepglm[both]+Enet[alpha=0.2]	0.492592592592593	0.504201680672269
Stepglm[backward]+Enet[alpha=0.2]	0.492592592592593	0.504201680672269
Stepglm[both]+Lasso	0.492592592592593	0.512605042016807
Stepglm[backward]+Lasso	0.492592592592593	0.504201680672269
Stepglm[both]+Enet[alpha=0.6]	0.492592592592593	0.495798319327731
Stepglm[backward]+Enet[alpha=0.6]	0.492592592592593	0.504201680672269
glmBoost+GBM	0.688888888888889	0.294117647058824
Stepglm[both]+Enet[alpha=0.7]	0.488888888888889	0.495798319327731
Stepglm[backward]+Enet[alpha=0.7]	0.492592592592593	0.495798319327731
Lasso+Stepglm[backward]	0.492592592592593	0.521008403361345
Stepglm[both]	0.492592592592593	0.521008403361345
Stepglm[backward]	0.492592592592593	0.521008403361345
glmBoost+Stepglm[both]	0.492592592592593	0.521008403361345
glmBoost+Stepglm[backward]	0.492592592592593	0.521008403361345
Stepglm[both]+Enet[alpha=0.4]	0.492592592592593	0.512605042016807
