Training	Testing
Lasso+Stepglm[both]	0.768200371057514	0.642800608828006
Ridge	0.772183055040198	0.669893455098934
glmBoost+Ridge	0.77139146567718	0.67324200913242
Enet[alpha=0.1]	0.771700680272109	0.675007610350076
glmBoost+Enet[alpha=0.1]	0.771366728509586	0.671293759512938
Enet[alpha=0.2]	0.771688311688312	0.674459665144597
Enet[alpha=0.3]	0.771614100185529	0.672815829528158
glmBoost+Enet[alpha=0.3]	0.771688311688312	0.669954337899543
glmBoost+Enet[alpha=0.2]	0.771267779839208	0.670806697108067
Enet[alpha=0.4]	0.772455163883735	0.671659056316591
glmBoost+Enet[alpha=0.4]	0.772776747062461	0.664901065449011
Lasso+glmBoost	0.766493506493506	0.669406392694064
Enet[alpha=0.5]	0.771688311688312	0.672328767123288
glmBoost	0.765813234384663	0.669041095890411
glmBoost+Enet[alpha=0.5]	0.77030303030303	0.669528158295282
Enet[alpha=0.6]	0.771700680272109	0.671232876712329
glmBoost+Enet[alpha=0.6]	0.771552257266543	0.668858447488584
glmBoost+Enet[alpha=0.7]	0.770822510822511	0.667884322678843
glmBoost+Enet[alpha=0.8]	0.772009894867038	0.66703196347032
Enet[alpha=0.8]	0.773865182436611	0.663926940639269
Enet[alpha=0.9]	0.767928262213976	0.668614916286149
Lasso	0.771453308596166	0.669284627092846
Enet[alpha=0.7]	0.771527520098949	0.671050228310502
glmBoost+Enet[alpha=0.9]	0.771675943104514	0.667579908675799
glmBoost+Lasso	0.772356215213358	0.664109589041096
Lasso+plsRglm	0.770340136054422	0.668797564687976
glmBoost+plsRglm	0.76860853432282	0.66751902587519
glmBoost+Stepglm[forward]	0.77299938157081	0.663196347031963
Lasso+Stepglm[forward]	0.773692022263451	0.664109589041096
Stepglm[forward]	0.773939393939394	0.649436834094368
plsRglm	0.765590599876314	0.641704718417047
RF+Ridge	0.766839826839827	0.66130898021309
RF+Enet[alpha=0.1]	0.767297464440322	0.663318112633181
RF+plsRglm	0.765590599876314	0.641704718417047
RF+Stepglm[forward]	0.769251700680272	0.639939117199391
RF+Enet[alpha=0.2]	0.766196660482375	0.66496194824962
RF+Enet[alpha=0.3]	0.76599876314162	0.664596651445966
RF+Enet[alpha=0.6]	0.765875077303649	0.662770167427702
RF+Lasso	0.763636363636364	0.660882800608828
RF+Enet[alpha=0.7]	0.768658008658009	0.652846270928463
RF+Enet[alpha=0.5]	0.765553494124923	0.662222222222222
RF+glmBoost	0.76252319109462	0.661126331811263
RF+Enet[alpha=0.9]	0.769560915275201	0.646331811263318
RF+Enet[alpha=0.4]	0.765924551638837	0.663744292237443
RF+Enet[alpha=0.8]	0.768843537414966	0.651324200913242
RF+Stepglm[both]	0.765763760049474	0.640243531202435
RF+Stepglm[backward]	0.765763760049474	0.640243531202435
Stepglm[both]+Ridge	0.767186147186147	0.648340943683409
Stepglm[backward]+Ridge	0.767186147186147	0.648340943683409
Stepglm[both]+Enet[alpha=0.9]	0.767544836116265	0.64468797564688
Stepglm[backward]+Enet[alpha=0.9]	0.767952999381571	0.643165905631659
Stepglm[both]+Enet[alpha=0.1]	0.76708719851577	0.647488584474886
Stepglm[backward]+Enet[alpha=0.1]	0.76708719851577	0.647488584474886
Stepglm[both]+Enet[alpha=0.8]	0.766926406926407	0.646149162861492
Stepglm[backward]+Enet[alpha=0.8]	0.767507730364873	0.644992389649924
Stepglm[both]+Enet[alpha=0.2]	0.768225108225108	0.643531202435312
Stepglm[backward]+Enet[alpha=0.2]	0.767544836116265	0.645601217656012
Stepglm[both]+Lasso	0.767581941867656	0.644444444444444
Stepglm[backward]+Lasso	0.768027210884354	0.643165905631659
Stepglm[both]+Enet[alpha=0.6]	0.767878787878788	0.6441400304414
Stepglm[backward]+Enet[alpha=0.6]	0.767990105132962	0.643226788432268
glmBoost+GBM	0.857649969078541	0.666666666666667
Stepglm[both]+Enet[alpha=0.7]	0.767507730364873	0.645235920852359
Stepglm[backward]+Enet[alpha=0.7]	0.767507730364873	0.645235920852359
Lasso+Stepglm[backward]	0.768200371057514	0.642800608828006
Stepglm[both]	0.768200371057514	0.642800608828006
Stepglm[backward]	0.768200371057514	0.642800608828006
glmBoost+Stepglm[both]	0.768200371057514	0.642800608828006
glmBoost+Stepglm[backward]	0.768200371057514	0.642800608828006
Stepglm[both]+Enet[alpha=0.4]	0.767631416202845	0.644748858447489
Stepglm[backward]+Enet[alpha=0.4]	0.767594310451453	0.644992389649924
Stepglm[both]+Enet[alpha=0.3]	0.767297464440322	0.645905631659056
Stepglm[backward]+Enet[alpha=0.3]	0.767656153370439	0.645235920852359
Stepglm[both]+glmBoost	0.76404452690167	0.649315068493151
Stepglm[backward]+glmBoost	0.76404452690167	0.649315068493151
Stepglm[both]+Enet[alpha=0.5]	0.767532467532468	0.64517503805175
Stepglm[backward]+Enet[alpha=0.5]	0.767495361781076	0.645662100456621
glmBoost+RF	0.997600494743352	0.657168949771689
RF	0.998923933209647	0.67427701674277
Lasso+GBM	0.869375386518244	0.669162861491629
RF+GBM	0.884935064935065	0.67013698630137
GBM	0.876747062461348	0.671598173515982
Lasso+RF	0.99847866419295	0.666179604261796
Stepglm[both]+GBM	0.836054421768707	0.631537290715373
Stepglm[backward]+GBM	0.838726035868893	0.63275494672755
Stepglm[both]+RF	0.994768089053803	0.622039573820396
LDA	0.770550401978973	0.674216133942161
glmBoost+LDA	0.768299319727891	0.675129375951294
RF+LDA	0.763290043290043	0.66283105022831
Stepglm[both]+LDA	0.756722325293754	0.665327245053272
Stepglm[backward]+LDA	0.756722325293754	0.665327245053272
Lasso+LDA	0.770439084724799	0.676834094368341
Stepglm[backward]+RF	0.994941249226963	0.621491628614916
XGBoost	0.892226345083488	0.660882800608828
Lasso+XGBoost	0.778342609771181	0.626910197869102
glmBoost+XGBoost	0.778342609771181	0.626910197869102
RF+XGBoost	0.838051948051948	0.64806697108067
Stepglm[both]+XGBoost	0.796530612244898	0.626118721461187
Stepglm[backward]+XGBoost	0.814137291280148	0.623044140030441
