Training	Testing
Lasso+Stepglm[both]	0.807747489239598	0.714765100671141
Ridge	0.809182209469154	0.738255033557047
glmBoost+Ridge	0.809182209469154	0.741610738255034
Enet[alpha=0.1]	0.809182209469154	0.74496644295302
glmBoost+Enet[alpha=0.1]	0.810616929698709	0.73489932885906
Enet[alpha=0.2]	0.807747489239598	0.741610738255034
Enet[alpha=0.3]	0.807747489239598	0.74496644295302
glmBoost+Enet[alpha=0.3]	0.807747489239598	0.724832214765101
glmBoost+Enet[alpha=0.2]	0.812051649928264	0.738255033557047
Enet[alpha=0.4]	0.809182209469154	0.728187919463087
glmBoost+Enet[alpha=0.4]	0.804878048780488	0.718120805369127
Lasso+glmBoost	0.812051649928264	0.74496644295302
Enet[alpha=0.5]	0.809182209469154	0.73489932885906
glmBoost	0.810616929698709	0.74496644295302
glmBoost+Enet[alpha=0.5]	0.810616929698709	0.73489932885906
Enet[alpha=0.6]	0.809182209469154	0.73489932885906
glmBoost+Enet[alpha=0.6]	0.807747489239598	0.721476510067114
glmBoost+Enet[alpha=0.7]	0.810616929698709	0.728187919463087
glmBoost+Enet[alpha=0.8]	0.809182209469154	0.718120805369127
Enet[alpha=0.8]	0.804878048780488	0.711409395973154
Enet[alpha=0.9]	0.810616929698709	0.74496644295302
Lasso	0.809182209469154	0.724832214765101
Enet[alpha=0.7]	0.809182209469154	0.731543624161074
glmBoost+Enet[alpha=0.9]	0.810616929698709	0.718120805369127
glmBoost+Lasso	0.804878048780488	0.714765100671141
Lasso+plsRglm	0.804878048780488	0.724832214765101
glmBoost+plsRglm	0.804878048780488	0.711409395973154
glmBoost+Stepglm[forward]	0.806312769010043	0.724832214765101
Lasso+Stepglm[forward]	0.804878048780488	0.724832214765101
Stepglm[forward]	0.806312769010043	0.724832214765101
plsRglm	0.809182209469154	0.718120805369127
RF+Ridge	0.804878048780488	0.741610738255034
RF+Enet[alpha=0.1]	0.810616929698709	0.738255033557047
RF+plsRglm	0.809182209469154	0.718120805369127
RF+Stepglm[forward]	0.814921090387374	0.728187919463087
RF+Enet[alpha=0.2]	0.804878048780488	0.751677852348993
RF+Enet[alpha=0.3]	0.807747489239598	0.751677852348993
RF+Enet[alpha=0.6]	0.807747489239598	0.74496644295302
RF+Lasso	0.810616929698709	0.748322147651007
RF+Enet[alpha=0.7]	0.812051649928264	0.711409395973154
RF+Enet[alpha=0.5]	0.807747489239598	0.751677852348993
RF+glmBoost	0.810616929698709	0.748322147651007
RF+Enet[alpha=0.9]	0.81635581061693	0.714765100671141
RF+Enet[alpha=0.4]	0.809182209469154	0.751677852348993
RF+Enet[alpha=0.8]	0.812051649928264	0.711409395973154
RF+Stepglm[both]	0.809182209469154	0.718120805369127
RF+Stepglm[backward]	0.809182209469154	0.718120805369127
Stepglm[both]+Ridge	0.804878048780488	0.721476510067114
Stepglm[backward]+Ridge	0.804878048780488	0.721476510067114
Stepglm[both]+Enet[alpha=0.9]	0.806312769010043	0.711409395973154
Stepglm[backward]+Enet[alpha=0.9]	0.802008608321377	0.708053691275168
Stepglm[both]+Enet[alpha=0.1]	0.807747489239598	0.721476510067114
Stepglm[backward]+Enet[alpha=0.1]	0.807747489239598	0.721476510067114
Stepglm[both]+Enet[alpha=0.8]	0.803443328550933	0.718120805369127
Stepglm[backward]+Enet[alpha=0.8]	0.804878048780488	0.714765100671141
Stepglm[both]+Enet[alpha=0.2]	0.803443328550933	0.711409395973154
Stepglm[backward]+Enet[alpha=0.2]	0.806312769010043	0.721476510067114
Stepglm[both]+Lasso	0.806312769010043	0.711409395973154
Stepglm[backward]+Lasso	0.803443328550933	0.711409395973154
Stepglm[both]+Enet[alpha=0.6]	0.802008608321377	0.708053691275168
Stepglm[backward]+Enet[alpha=0.6]	0.803443328550933	0.711409395973154
glmBoost+GBM	0.839311334289814	0.738255033557047
Stepglm[both]+Enet[alpha=0.7]	0.806312769010043	0.718120805369127
Stepglm[backward]+Enet[alpha=0.7]	0.806312769010043	0.718120805369127
Lasso+Stepglm[backward]	0.807747489239598	0.714765100671141
Stepglm[both]	0.807747489239598	0.714765100671141
Stepglm[backward]	0.807747489239598	0.714765100671141
glmBoost+Stepglm[both]	0.807747489239598	0.714765100671141
glmBoost+Stepglm[backward]	0.807747489239598	0.714765100671141
