Training	Testing
Lasso+Stepglm[both]	0.138903184614394	0.201123985908219
Ridge	0.138577317542053	0.179996832357865
glmBoost+Ridge	0.138552860405322	0.179178937791855
Enet[alpha=0.1]	0.138760543858397	0.178443014614501
glmBoost+Enet[alpha=0.1]	0.138438322819998	0.179708318112935
Enet[alpha=0.2]	0.138615590884094	0.178613542469102
Enet[alpha=0.3]	0.138704746506738	0.17835140157713
glmBoost+Enet[alpha=0.3]	0.138182002139128	0.182160419601815
glmBoost+Enet[alpha=0.2]	0.138448831937912	0.179705316086115
Enet[alpha=0.4]	0.138192011225733	0.180884188713875
glmBoost+Enet[alpha=0.4]	0.137959879491768	0.189429008915655
Lasso+glmBoost	0.139808997364019	0.175173526709451
Enet[alpha=0.5]	0.138408491956604	0.179791228273655
glmBoost	0.139853087410104	0.175114474295313
glmBoost+Enet[alpha=0.5]	0.138472755549617	0.180011739983617
Enet[alpha=0.6]	0.138450845901858	0.179752214943669
glmBoost+Enet[alpha=0.6]	0.138145544889553	0.183015177763297
glmBoost+Enet[alpha=0.7]	0.13826222770619	0.181940001871769
glmBoost+Enet[alpha=0.8]	0.137999913204257	0.185676660794278
Enet[alpha=0.8]	0.137643511409778	0.188351394160763
Enet[alpha=0.9]	0.139280954676489	0.177211553933858
Lasso	0.138250326988564	0.181707836414763
Enet[alpha=0.7]	0.138385661706044	0.1802817634497
glmBoost+Enet[alpha=0.9]	0.138088042433282	0.1842017180657
glmBoost+Lasso	0.137937505788688	0.189238143974828
Lasso+plsRglm	0.138478992429294	0.185880177484141
glmBoost+plsRglm	0.138716822025309	0.185036936033493
glmBoost+Stepglm[forward]	0.137974024323495	0.190831998181349
Lasso+Stepglm[forward]	0.137772949822974	0.191969354106746
Stepglm[forward]	0.137599681997226	0.195818824658574
plsRglm	0.139297182283025	0.193883416705767
RF+Ridge	0.139446288817817	0.179853194157203
RF+Enet[alpha=0.1]	0.138585292542228	0.18153517601072
RF+plsRglm	0.139297182283025	0.193883416705767
RF+Stepglm[forward]	0.137757892025505	0.196636315072029
RF+Enet[alpha=0.2]	0.139189413429513	0.179032209899139
RF+Enet[alpha=0.3]	0.13913055992183	0.179192743983583
RF+Enet[alpha=0.6]	0.138977943207072	0.180067415446901
RF+Lasso	0.139594523302717	0.17853326271548
RF+Enet[alpha=0.7]	0.137911494138722	0.188470179562156
RF+Enet[alpha=0.5]	0.139271873203565	0.178971029413006
RF+glmBoost	0.140038153782668	0.176402071907681
RF+Enet[alpha=0.9]	0.137752911446195	0.193559551202053
RF+Enet[alpha=0.4]	0.13907100358519	0.179452700092536
RF+Enet[alpha=0.8]	0.137859771799536	0.189586896817758
RF+Stepglm[both]	0.138683574171699	0.199509779420003
RF+Stepglm[backward]	0.138683574171699	0.199509779420003
Stepglm[both]+Ridge	0.139188302559063	0.191763186822792
Stepglm[backward]+Ridge	0.139188302559063	0.191763186822792
Stepglm[both]+Enet[alpha=0.9]	0.138863057724846	0.196660620433875
Stepglm[backward]+Enet[alpha=0.9]	0.138842584714434	0.198739282844665
Stepglm[both]+Enet[alpha=0.1]	0.139050836878354	0.193454576070116
Stepglm[backward]+Enet[alpha=0.1]	0.139050836878354	0.193454576070116
Stepglm[both]+Enet[alpha=0.8]	0.139010801391643	0.193664520089503
Stepglm[backward]+Enet[alpha=0.8]	0.138877724039885	0.196256494296559
Stepglm[both]+Enet[alpha=0.2]	0.138883973539392	0.199683187875739
Stepglm[backward]+Enet[alpha=0.2]	0.138927768113456	0.195890786627084
Stepglm[both]+Lasso	0.138852102293041	0.19699309934767
Stepglm[backward]+Lasso	0.138850947764393	0.19960010756714
Stepglm[both]+Enet[alpha=0.6]	0.138855956004661	0.198602922501902
Stepglm[backward]+Enet[alpha=0.6]	0.138870317471571	0.199900574441943
glmBoost+GBM	0.116857862479986	0.182007472585201
Stepglm[both]+Enet[alpha=0.7]	0.138883093743105	0.196196664898375
Stepglm[backward]+Enet[alpha=0.7]	0.138883093743105	0.196196664898375
Lasso+Stepglm[backward]	0.138903184614394	0.201123985908219
Stepglm[both]	0.138903184614394	0.201123985908219
Stepglm[backward]	0.138903184614394	0.201123985908219
glmBoost+Stepglm[both]	0.138903184614394	0.201123985908219
glmBoost+Stepglm[backward]	0.138903184614394	0.201123985908219
Stepglm[both]+Enet[alpha=0.4]	0.138877001583468	0.197289370427899
Stepglm[backward]+Enet[alpha=0.4]	0.13889037684449	0.196578378711305
Stepglm[both]+Enet[alpha=0.3]	0.139037333729937	0.193333189413085
Stepglm[backward]+Enet[alpha=0.3]	0.138906017325637	0.196289448604344
Stepglm[both]+glmBoost	0.140801758772348	0.183432212762232
Stepglm[backward]+glmBoost	0.140801758772348	0.183432212762232
Stepglm[both]+Enet[alpha=0.5]	0.138892948116423	0.196203756254297
Stepglm[backward]+Enet[alpha=0.5]	0.1389063831632	0.195771923417199
glmBoost+RF	0.0549910537384075	0.180827099537167
RF	0.0536135849282809	0.179025291900288
Lasso+GBM	0.113896755424193	0.183335456373573
RF+GBM	0.108573351058025	0.18369323514584
GBM	0.111611956233712	0.182241015695175
Lasso+RF	0.0547439943026714	0.180696021618004
Stepglm[both]+GBM	0.124408090450703	0.186649525119099
Stepglm[backward]+GBM	0.123524345039399	0.187169379241298
Stepglm[both]+RF	0.0612977301135687	0.190488608753388
LDA	0.139260330673804	0.182271602346967
glmBoost+LDA	0.139632418912931	0.180448960562698
RF+LDA	0.139330644324433	0.182889318369298
Stepglm[both]+LDA	0.141862848856813	0.1804034388869
Stepglm[backward]+LDA	0.141862848856813	0.1804034388869
Lasso+LDA	0.139354150104919	0.181452696325874
Stepglm[backward]+RF	0.0611255594870561	0.191297653472793
XGBoost	0.102442427113555	0.201411219415893
Lasso+XGBoost	0.133650799680234	0.196934959630484
glmBoost+XGBoost	0.133650799680234	0.196934959630484
RF+XGBoost	0.118128505481582	0.199091919030368
Stepglm[both]+XGBoost	0.133941156421352	0.193861039714548
Stepglm[backward]+XGBoost	0.128275274198978	0.198053526560995
