Training	Testing
Lasso+Stepglm[both]	0.336633663366337	0.234234234234234
Ridge	0.281081081081081	0.113636363636364
glmBoost+Ridge	0.303664921465969	0.114942528735632
Enet[alpha=0.1]	0.281081081081081	0.116279069767442
glmBoost+Enet[alpha=0.1]	0.3125	0.112359550561798
Enet[alpha=0.2]	0.287234042553192	0.114942528735632
Enet[alpha=0.3]	0.287234042553192	0.116279069767442
glmBoost+Enet[alpha=0.3]	0.316326530612245	0.145833333333333
glmBoost+Enet[alpha=0.2]	0.321243523316062	0.113636363636364
Enet[alpha=0.4]	0.310880829015544	0.147368421052632
glmBoost+Enet[alpha=0.4]	0.339805825242718	0.192307692307692
Lasso+glmBoost	0.299465240641711	0.0731707317073171
Enet[alpha=0.5]	0.303664921465969	0.112359550561798
glmBoost	0.290322580645161	0.0731707317073171
glmBoost+Enet[alpha=0.5]	0.305263157894737	0.112359550561798
Enet[alpha=0.6]	0.303664921465969	0.0919540229885057
glmBoost+Enet[alpha=0.6]	0.316326530612245	0.144329896907217
glmBoost+Enet[alpha=0.7]	0.319587628865979	0.129032258064516
glmBoost+Enet[alpha=0.8]	0.3248730964467	0.16
Enet[alpha=0.8]	0.32	0.14
Enet[alpha=0.9]	0.290322580645161	0.0731707317073171
Lasso	0.303664921465969	0.127659574468085
Enet[alpha=0.7]	0.303664921465969	0.130434782608696
glmBoost+Enet[alpha=0.9]	0.326530612244898	0.125
glmBoost+Lasso	0.333333333333333	0.174757281553398
Lasso+plsRglm	0.339805825242718	0.196078431372549
glmBoost+plsRglm	0.346153846153846	0.14
glmBoost+Stepglm[forward]	0.341463414634146	0.226415094339623
Lasso+Stepglm[forward]	0.339805825242718	0.226415094339623
Stepglm[forward]	0.341463414634146	0.226415094339623
plsRglm	0.351219512195122	0.176470588235294
RF+Ridge	0.244444444444444	0.072289156626506
RF+Enet[alpha=0.1]	0.297872340425532	0.113636363636364
RF+plsRglm	0.351219512195122	0.176470588235294
RF+Stepglm[forward]	0.370731707317073	0.242990654205607
RF+Enet[alpha=0.2]	0.252747252747253	0.119047619047619
RF+Enet[alpha=0.3]	0.279569892473118	0.119047619047619
RF+Enet[alpha=0.6]	0.279569892473118	0.0952380952380952
RF+Lasso	0.266666666666667	0.0740740740740741
RF+Enet[alpha=0.7]	0.33502538071066	0.14
RF+Enet[alpha=0.5]	0.271739130434783	0.0975609756097561
RF+glmBoost	0.290322580645161	0.0740740740740741
RF+Enet[alpha=0.9]	0.372549019607843	0.174757281553398
RF+Enet[alpha=0.4]	0.281081081081081	0.119047619047619
RF+Enet[alpha=0.8]	0.33502538071066	0.14
RF+Stepglm[both]	0.331658291457286	0.236363636363636
RF+Stepglm[backward]	0.331658291457286	0.236363636363636
Stepglm[both]+Ridge	0.276595744680851	0.194174757281553
Stepglm[backward]+Ridge	0.276595744680851	0.194174757281553
Stepglm[both]+Enet[alpha=0.9]	0.300518134715026	0.203703703703704
Stepglm[backward]+Enet[alpha=0.9]	0.295918367346939	0.201834862385321
Stepglm[both]+Enet[alpha=0.1]	0.294736842105263	0.20952380952381
Stepglm[backward]+Enet[alpha=0.1]	0.294736842105263	0.20952380952381
Stepglm[both]+Enet[alpha=0.8]	0.267379679144385	0.192307692307692
Stepglm[backward]+Enet[alpha=0.8]	0.284210526315789	0.205607476635514
Stepglm[both]+Enet[alpha=0.2]	0.304568527918782	0.218181818181818
Stepglm[backward]+Enet[alpha=0.2]	0.293193717277487	0.20952380952381
Stepglm[both]+Lasso	0.300518134715026	0.203703703703704
Stepglm[backward]+Lasso	0.304568527918782	0.218181818181818
Stepglm[both]+Enet[alpha=0.6]	0.295918367346939	0.201834862385321
Stepglm[backward]+Enet[alpha=0.6]	0.304568527918782	0.218181818181818
glmBoost+GBM	0.434343434343434	0.133333333333333
Stepglm[both]+Enet[alpha=0.7]	0.293193717277487	0.207547169811321
Stepglm[backward]+Enet[alpha=0.7]	0.293193717277487	0.207547169811321
Lasso+Stepglm[backward]	0.336633663366337	0.234234234234234
Stepglm[both]	0.336633663366337	0.234234234234234
Stepglm[backward]	0.336633663366337	0.234234234234234
glmBoost+Stepglm[both]	0.336633663366337	0.234234234234234
glmBoost+Stepglm[backward]	0.336633663366337	0.234234234234234
