Training	Testing
Lasso+Stepglm[both]	0.231292517006803	0.178082191780822
Ridge	0.17687074829932	0.0684931506849315
glmBoost+Ridge	0.197278911564626	0.0684931506849315
Enet[alpha=0.1]	0.17687074829932	0.0684931506849315
glmBoost+Enet[alpha=0.1]	0.204081632653061	0.0684931506849315
Enet[alpha=0.2]	0.183673469387755	0.0684931506849315
Enet[alpha=0.3]	0.183673469387755	0.0684931506849315
glmBoost+Enet[alpha=0.3]	0.210884353741497	0.0958904109589041
glmBoost+Enet[alpha=0.2]	0.210884353741497	0.0684931506849315
Enet[alpha=0.4]	0.204081632653061	0.0958904109589041
glmBoost+Enet[alpha=0.4]	0.238095238095238	0.136986301369863
Lasso+glmBoost	0.19047619047619	0.0410958904109589
Enet[alpha=0.5]	0.197278911564626	0.0684931506849315
glmBoost	0.183673469387755	0.0410958904109589
glmBoost+Enet[alpha=0.5]	0.197278911564626	0.0684931506849315
Enet[alpha=0.6]	0.197278911564626	0.0547945205479452
glmBoost+Enet[alpha=0.6]	0.210884353741497	0.0958904109589041
glmBoost+Enet[alpha=0.7]	0.210884353741497	0.0821917808219178
glmBoost+Enet[alpha=0.8]	0.217687074829932	0.10958904109589
Enet[alpha=0.8]	0.217687074829932	0.0958904109589041
Enet[alpha=0.9]	0.183673469387755	0.0410958904109589
Lasso	0.197278911564626	0.0821917808219178
Enet[alpha=0.7]	0.197278911564626	0.0821917808219178
glmBoost+Enet[alpha=0.9]	0.217687074829932	0.0821917808219178
glmBoost+Lasso	0.231292517006803	0.123287671232877
Lasso+plsRglm	0.238095238095238	0.136986301369863
glmBoost+plsRglm	0.244897959183673	0.0958904109589041
glmBoost+Stepglm[forward]	0.238095238095238	0.164383561643836
Lasso+Stepglm[forward]	0.238095238095238	0.164383561643836
Stepglm[forward]	0.238095238095238	0.164383561643836
plsRglm	0.244897959183673	0.123287671232877
RF+Ridge	0.149659863945578	0.0410958904109589
RF+Enet[alpha=0.1]	0.19047619047619	0.0684931506849315
RF+plsRglm	0.244897959183673	0.123287671232877
RF+Stepglm[forward]	0.258503401360544	0.178082191780822
RF+Enet[alpha=0.2]	0.156462585034014	0.0684931506849315
RF+Enet[alpha=0.3]	0.17687074829932	0.0684931506849315
RF+Enet[alpha=0.6]	0.17687074829932	0.0547945205479452
RF+Lasso	0.163265306122449	0.0410958904109589
RF+Enet[alpha=0.7]	0.224489795918367	0.0958904109589041
RF+Enet[alpha=0.5]	0.170068027210884	0.0547945205479452
RF+glmBoost	0.183673469387755	0.0410958904109589
RF+Enet[alpha=0.9]	0.258503401360544	0.123287671232877
RF+Enet[alpha=0.4]	0.17687074829932	0.0684931506849315
RF+Enet[alpha=0.8]	0.224489795918367	0.0958904109589041
RF+Stepglm[both]	0.224489795918367	0.178082191780822
RF+Stepglm[backward]	0.224489795918367	0.178082191780822
