Training	Testing
Lasso+Stepglm[both]	0.726258503401361	0.606026108075288
Ridge	0.73756338899196	0.619687310261081
glmBoost+Ridge	0.731020408163265	0.618776563448695
Enet[alpha=0.1]	0.74008658008658	0.6052671523983
glmBoost+Enet[alpha=0.1]	0.73121830550402	0.617030965391621
Enet[alpha=0.2]	0.739814471243043	0.603901032179721
Enet[alpha=0.3]	0.741929499072356	0.595248937462052
glmBoost+Enet[alpha=0.3]	0.730797773654916	0.615057680631451
glmBoost+Enet[alpha=0.2]	0.730871985157699	0.612553126897389
Enet[alpha=0.4]	0.739975262832406	0.601548269581056
glmBoost+Enet[alpha=0.4]	0.730649350649351	0.610428051001822
Lasso+glmBoost	0.730117501546073	0.618017607771706
Enet[alpha=0.5]	0.730735930735931	0.61976320582878
glmBoost	0.730117501546073	0.618017607771706
glmBoost+Enet[alpha=0.5]	0.730834879406308	0.612249544626594
Enet[alpha=0.6]	0.741323438466296	0.595324833029751
glmBoost+Enet[alpha=0.6]	0.730451453308596	0.609441408621736
glmBoost+Enet[alpha=0.7]	0.730760667903525	0.61118700667881
glmBoost+Enet[alpha=0.8]	0.730698824984539	0.609972677595628
Enet[alpha=0.8]	0.743178726035869	0.592668488160291
Enet[alpha=0.9]	0.73948051948052	0.600409836065574
Lasso	0.729969078540507	0.618093503339405
Enet[alpha=0.7]	0.738095238095238	0.602307225258045
glmBoost+Enet[alpha=0.9]	0.730773036487322	0.610200364298725
glmBoost+Lasso	0.730476190476191	0.60989678202793
Lasso+plsRglm	0.729499072356215	0.623785670916818
glmBoost+plsRglm	0.729499072356215	0.623785670916818
glmBoost+Stepglm[forward]	0.730241187384045	0.606709168184578
Lasso+Stepglm[forward]	0.730241187384045	0.606709168184578
Stepglm[forward]	0.744675324675325	0.543867638129933
plsRglm	0.732962275819419	0.607468123861566
RF+Ridge	0.736549165120594	0.613236187006679
RF+Enet[alpha=0.1]	0.738466295609153	0.602990285367335
RF+plsRglm	0.731589363017934	0.608378870673953
RF+Stepglm[forward]	0.744155844155844	0.456511839708561
RF+Enet[alpha=0.2]	0.735893630179345	0.608227079538555
RF+Enet[alpha=0.3]	0.738503401360544	0.600789313904068
RF+Enet[alpha=0.6]	0.737353123067409	0.601851851851852
RF+Lasso	0.728991960420532	0.616044323011536
RF+Enet[alpha=0.7]	0.739554730983302	0.596994535519126
RF+Enet[alpha=0.5]	0.740952380952381	0.592820279295689
RF+glmBoost	0.727804576376005	0.619459623557984
RF+Enet[alpha=0.9]	0.740902906617192	0.592820279295689
RF+Enet[alpha=0.4]	0.740507111935683	0.595173041894353
RF+Enet[alpha=0.8]	0.728188002473717	0.619156041287189
RF+Stepglm[both]	0.742461348175634	0.544550698239223
RF+Stepglm[backward]	0.742461348175634	0.544550698239223
Stepglm[both]+Ridge	0.73678416821274	0.605798421372192
