Training	Testing
Lasso+Stepglm[both]	0.787661406025825	0.781879194630873
Ridge	0.790530846484935	0.818791946308725
glmBoost+Ridge	0.783357245337159	0.808724832214765
Enet[alpha=0.1]	0.784791965566714	0.802013422818792
glmBoost+Enet[alpha=0.1]	0.783357245337159	0.805369127516778
Enet[alpha=0.2]	0.784791965566714	0.802013422818792
Enet[alpha=0.3]	0.787661406025825	0.802013422818792
glmBoost+Enet[alpha=0.3]	0.784791965566714	0.805369127516778
glmBoost+Enet[alpha=0.2]	0.787661406025825	0.808724832214765
Enet[alpha=0.4]	0.783357245337159	0.805369127516778
glmBoost+Enet[alpha=0.4]	0.787661406025825	0.805369127516778
Lasso+glmBoost	0.78909612625538	0.815436241610738
Enet[alpha=0.5]	0.78909612625538	0.812080536912752
glmBoost	0.78909612625538	0.815436241610738
glmBoost+Enet[alpha=0.5]	0.78909612625538	0.805369127516778
Enet[alpha=0.6]	0.787661406025825	0.805369127516778
glmBoost+Enet[alpha=0.6]	0.790530846484935	0.791946308724832
glmBoost+Enet[alpha=0.7]	0.78909612625538	0.805369127516778
glmBoost+Enet[alpha=0.8]	0.78909612625538	0.805369127516778
Enet[alpha=0.8]	0.793400286944046	0.775167785234899
Enet[alpha=0.9]	0.78622668579627	0.808724832214765
Lasso	0.78622668579627	0.808724832214765
Enet[alpha=0.7]	0.783357245337159	0.805369127516778
glmBoost+Enet[alpha=0.9]	0.78909612625538	0.805369127516778
glmBoost+Lasso	0.78909612625538	0.791946308724832
Lasso+plsRglm	0.781922525107604	0.802013422818792
glmBoost+plsRglm	0.781922525107604	0.802013422818792
glmBoost+Stepglm[forward]	0.78622668579627	0.778523489932886
Lasso+Stepglm[forward]	0.78622668579627	0.778523489932886
Stepglm[forward]	0.799139167862267	0.640939597315436
plsRglm	0.78622668579627	0.795302013422819
RF+Ridge	0.784791965566714	0.828859060402685
RF+Enet[alpha=0.1]	0.784791965566714	0.812080536912752
RF+plsRglm	0.787661406025825	0.798657718120805
RF+Stepglm[forward]	0.800573888091822	0.640939597315436
RF+Enet[alpha=0.2]	0.784791965566714	0.812080536912752
RF+Enet[alpha=0.3]	0.78622668579627	0.812080536912752
RF+Enet[alpha=0.6]	0.787661406025825	0.808724832214765
RF+Lasso	0.787661406025825	0.808724832214765
RF+Enet[alpha=0.7]	0.790530846484935	0.808724832214765
RF+Enet[alpha=0.5]	0.791965566714491	0.791946308724832
RF+glmBoost	0.78622668579627	0.825503355704698
RF+Enet[alpha=0.9]	0.791965566714491	0.791946308724832
RF+Enet[alpha=0.4]	0.78909612625538	0.805369127516778
RF+Enet[alpha=0.8]	0.78622668579627	0.818791946308725
RF+Stepglm[both]	0.799139167862267	0.647651006711409
RF+Stepglm[backward]	0.799139167862267	0.647651006711409
Stepglm[both]+Ridge	0.78622668579627	0.798657718120805
Stepglm[backward]+Ridge	0.78622668579627	0.798657718120805
Stepglm[both]+plsRglm	0.791965566714491	0.701342281879195
Stepglm[backward]+plsRglm	0.791965566714491	0.701342281879195
Stepglm[both]+Enet[alpha=0.9]	0.797704447632712	0.664429530201342
Stepglm[backward]+Enet[alpha=0.9]	0.797704447632712	0.664429530201342
Stepglm[both]+Enet[alpha=0.1]	0.797704447632712	0.697986577181208
Stepglm[backward]+Enet[alpha=0.1]	0.799139167862267	0.667785234899329
Stepglm[both]+Enet[alpha=0.8]	0.797704447632712	0.661073825503356
Stepglm[backward]+Enet[alpha=0.8]	0.797704447632712	0.664429530201342
Stepglm[both]+Enet[alpha=0.2]	0.797704447632712	0.681208053691275
Stepglm[backward]+Enet[alpha=0.2]	0.796269727403156	0.694630872483222
Stepglm[both]+Lasso	0.797704447632712	0.664429530201342
Stepglm[backward]+Lasso	0.797704447632712	0.664429530201342
Stepglm[both]+Enet[alpha=0.6]	0.797704447632712	0.711409395973154
Stepglm[backward]+Enet[alpha=0.6]	0.799139167862267	0.657718120805369
glmBoost+GBM	0.817790530846485	0.785234899328859
