Training	Testing
Lasso+Stepglm[both]	0.147743410905713	0.163827802323913
Ridge	0.147989957137375	0.148278731222702
glmBoost+Ridge	0.147928788139105	0.152408858790658
Enet[alpha=0.1]	0.146869192201862	0.153616766095835
glmBoost+Enet[alpha=0.1]	0.147804695908754	0.153514264669271
Enet[alpha=0.2]	0.146826202732128	0.154255626814533
Enet[alpha=0.3]	0.146173500349225	0.159053230884615
glmBoost+Enet[alpha=0.3]	0.147684886519805	0.154959004283923
glmBoost+Enet[alpha=0.2]	0.147585327885422	0.156984004943657
Enet[alpha=0.4]	0.146684919325802	0.155830441283463
glmBoost+Enet[alpha=0.4]	0.147540758108324	0.158127169339159
Lasso+glmBoost	0.149080320029615	0.149972301965294
Enet[alpha=0.5]	0.148710768191347	0.148790000432088
glmBoost	0.149080320029615	0.149972301965294
glmBoost+Enet[alpha=0.5]	0.147580292143196	0.156858290673543
Enet[alpha=0.6]	0.146316337575944	0.158538167800822
glmBoost+Enet[alpha=0.6]	0.147505549656261	0.160498183200892
glmBoost+Enet[alpha=0.7]	0.147571762191369	0.157031563125622
glmBoost+Enet[alpha=0.8]	0.147523499125559	0.158538259842421
Enet[alpha=0.8]	0.145489977152253	0.168324672288918
Enet[alpha=0.9]	0.146695237623201	0.15710461409896
Lasso	0.148480219784088	0.150305435439892
Enet[alpha=0.7]	0.146983858620615	0.155294346840434
glmBoost+Enet[alpha=0.9]	0.147533659466027	0.158103076586983
glmBoost+Lasso	0.147502478379278	0.159814026734243
Lasso+plsRglm	0.148976611773456	0.153494645746214
glmBoost+plsRglm	0.148976611773456	0.153494645746214
glmBoost+Stepglm[forward]	0.147521379793372	0.162479297113563
Lasso+Stepglm[forward]	0.147521379793372	0.162479297113563
Stepglm[forward]	0.14408617983835	0.286018259901681
plsRglm	0.148508416308448	0.158038746177753
RF+Ridge	0.147916719336329	0.14916191802556
RF+Enet[alpha=0.1]	0.147115905686027	0.153411730905863
RF+plsRglm	0.148940946839806	0.15770839003892
RF+Stepglm[forward]	0.144301410363717	0.286873540886916
RF+Enet[alpha=0.2]	0.147679160805567	0.151143603949514
RF+Enet[alpha=0.3]	0.146996772085457	0.154923677915464
RF+Enet[alpha=0.6]	0.147128095209602	0.155302617961359
RF+Lasso	0.148340268614131	0.151508033469671
RF+Enet[alpha=0.7]	0.146600549674787	0.15835682080107
RF+Enet[alpha=0.5]	0.146221832534555	0.160946212568701
RF+glmBoost	0.149190528890454	0.149855893962731
RF+Enet[alpha=0.9]	0.146262674669277	0.160865819297902
RF+Enet[alpha=0.4]	0.146444027403329	0.158857757468342
RF+Enet[alpha=0.8]	0.148793140756224	0.149594935512103
RF+Stepglm[both]	0.144441364068111	0.283002150595075
RF+Stepglm[backward]	0.144441364068111	0.283002150595075
Stepglm[both]+Ridge	0.146643231338271	0.158164507129185
Stepglm[backward]+Ridge	0.146643231338271	0.158164507129185
Stepglm[both]+plsRglm	0.14585808334114	0.233037256236215
Stepglm[backward]+plsRglm	0.14585808334114	0.233037256236215
Stepglm[both]+Enet[alpha=0.9]	0.14452380142075	0.263462112853299
Stepglm[backward]+Enet[alpha=0.9]	0.14452380142075	0.263462112853299
Stepglm[both]+Enet[alpha=0.1]	0.144753107272229	0.22742767295123
Stepglm[backward]+Enet[alpha=0.1]	0.144611085810369	0.247530555769249
Stepglm[both]+Enet[alpha=0.8]	0.144511027253896	0.265945179682172
Stepglm[backward]+Enet[alpha=0.8]	0.144603435280356	0.249159143699803
Stepglm[both]+Enet[alpha=0.2]	0.144678537948359	0.237371893005872
Stepglm[backward]+Enet[alpha=0.2]	0.144802641761272	0.221519136453677
Stepglm[both]+Lasso	0.144561169236396	0.25677323573596
Stepglm[backward]+Lasso	0.144547795587243	0.259156775256651
Stepglm[both]+Enet[alpha=0.6]	0.144867586977379	0.214774851872363
Stepglm[backward]+Enet[alpha=0.6]	0.144485828248078	0.271375046504347
glmBoost+GBM	0.124661946403032	0.153370139386897
Stepglm[both]+Enet[alpha=0.7]	0.144603956116713	0.248949638965301
Stepglm[backward]+Enet[alpha=0.7]	0.14462144699662	0.246164624382091
Lasso+Stepglm[backward]	0.147743410905713	0.163827802323913
Stepglm[both]	0.144441364068111	0.283002150595075
Stepglm[backward]	0.144441364068111	0.283002150595075
glmBoost+Stepglm[both]	0.147743410905713	0.163827802323913
glmBoost+Stepglm[backward]	0.147743410905713	0.163827802323913
Stepglm[both]+Enet[alpha=0.4]	0.144653221147463	0.241108415139453
Stepglm[backward]+Enet[alpha=0.4]	0.14474535676269	0.228535023983017
Stepglm[both]+Enet[alpha=0.3]	0.144829715048027	0.218518406673108
Stepglm[backward]+Enet[alpha=0.3]	0.144674233056947	0.238017228493523
Stepglm[both]+glmBoost	0.149237414233859	0.150665662818339
Stepglm[backward]+glmBoost	0.149262978270218	0.150573957502919
Stepglm[both]+Enet[alpha=0.5]	0.144553081637423	0.257603020813607
Stepglm[backward]+Enet[alpha=0.5]	0.144642588042165	0.242754115888
glmBoost+RF	0.0628401932122732	0.157610955175991
RF	0.057065188031154	0.158447943583528
Lasso+GBM	0.127800787173732	0.151412582419429
RF+GBM	0.120280677077605	0.155537432924183
GBM	0.121807597894528	0.153613285339468
Lasso+RF	0.0627912610560934	0.159130407396114
Stepglm[both]+GBM	0.124036432189278	0.164278748281375
Stepglm[backward]+GBM	0.12621847638359	0.161018551211641
Stepglm[both]+RF	0.0620635126556855	0.167364662131001
LDA	0.147333775150331	0.154804989311326
glmBoost+LDA	0.148726329396703	0.149925979573082
RF+LDA	0.147560913084176	0.15460710228411
Stepglm[both]+LDA	0.148712941068589	0.151031522468015
Stepglm[backward]+LDA	0.148712941068589	0.151031522468015
Lasso+LDA	0.148726329396703	0.149925979573082
Stepglm[backward]+RF	0.0618502691216419	0.165911485371988
XGBoost	0.152149434485519	0.161614674734117
Lasso+XGBoost	0.152149434485519	0.161614674734117
