Training	Testing
Lasso+Stepglm[both]	0.168539325842697	0.235294117647059
Ridge	0.0641025641025641	0.129032258064516
glmBoost+Ridge	0.0736196319018405	0.149253731343284
Enet[alpha=0.1]	0.0625	0.144927536231884
glmBoost+Enet[alpha=0.1]	0.0736196319018405	0.147058823529412
Enet[alpha=0.2]	0.0625	0.144927536231884
Enet[alpha=0.3]	0.108433734939759	0.213333333333333
glmBoost+Enet[alpha=0.3]	0.0853658536585366	0.147058823529412
glmBoost+Enet[alpha=0.2]	0.119047619047619	0.197183098591549
Enet[alpha=0.4]	0.062111801242236	0.171428571428571
glmBoost+Enet[alpha=0.4]	0.119047619047619	0.194444444444444
Lasso+glmBoost	0.0392156862745098	0.0983606557377049
Enet[alpha=0.5]	0.0392156862745098	0.0967741935483871
glmBoost	0.0392156862745098	0.0983606557377049
glmBoost+Enet[alpha=0.5]	0.119760479041916	0.171428571428571
Enet[alpha=0.6]	0.0975609756097561	0.216216216216216
glmBoost+Enet[alpha=0.6]	0.160919540229885	0.184210526315789
glmBoost+Enet[alpha=0.7]	0.119760479041916	0.171428571428571
glmBoost+Enet[alpha=0.8]	0.130177514792899	0.194444444444444
Enet[alpha=0.8]	0.162790697674419	0.192771084337349
Enet[alpha=0.9]	0.0858895705521472	0.197183098591549
Lasso	0.0387096774193548	0.123076923076923
Enet[alpha=0.7]	0.062111801242236	0.147058823529412
glmBoost+Enet[alpha=0.9]	0.119760479041916	0.194444444444444
glmBoost+Lasso	0.15028901734104	0.184210526315789
Lasso+plsRglm	0.116279069767442	0.169014084507042
glmBoost+plsRglm	0.116279069767442	0.169014084507042
glmBoost+Stepglm[forward]	0.15819209039548	0.195121951219512
Lasso+Stepglm[forward]	0.15819209039548	0.195121951219512
Stepglm[forward]	0.230769230769231	0.207407407407407
plsRglm	0.148571428571429	0.186666666666667
RF+Ridge	0.0625	0.163934426229508
RF+Enet[alpha=0.1]	0.0740740740740741	0.176470588235294
RF+plsRglm	0.129411764705882	0.189189189189189
RF+Stepglm[forward]	0.248648648648649	0.207407407407407
RF+Enet[alpha=0.2]	0.0506329113924051	0.151515151515151
RF+Enet[alpha=0.3]	0.0858895705521472	0.2
RF+Enet[alpha=0.6]	0.0864197530864198	0.197183098591549
RF+Lasso	0.0512820512820513	0.149253731343284
