Training	Testing
Lasso+Stepglm[both]	0.102040816326531	0.185185185185185
Ridge	0.0340136054421769	0.0740740740740741
glmBoost+Ridge	0.0408163265306122	0.0925925925925926
Enet[alpha=0.1]	0.0340136054421769	0.0925925925925926
glmBoost+Enet[alpha=0.1]	0.0408163265306122	0.0925925925925926
Enet[alpha=0.2]	0.0340136054421769	0.0925925925925926
Enet[alpha=0.3]	0.0612244897959184	0.148148148148148
glmBoost+Enet[alpha=0.3]	0.0476190476190476	0.0925925925925926
glmBoost+Enet[alpha=0.2]	0.0680272108843537	0.12962962962963
Enet[alpha=0.4]	0.0340136054421769	0.111111111111111
glmBoost+Enet[alpha=0.4]	0.0680272108843537	0.12962962962963
Lasso+glmBoost	0.0204081632653061	0.0555555555555556
Enet[alpha=0.5]	0.0204081632653061	0.0555555555555556
glmBoost	0.0204081632653061	0.0555555555555556
glmBoost+Enet[alpha=0.5]	0.0680272108843537	0.111111111111111
Enet[alpha=0.6]	0.054421768707483	0.148148148148148
glmBoost+Enet[alpha=0.6]	0.0952380952380952	0.12962962962963
glmBoost+Enet[alpha=0.7]	0.0680272108843537	0.111111111111111
glmBoost+Enet[alpha=0.8]	0.0748299319727891	0.12962962962963
Enet[alpha=0.8]	0.0952380952380952	0.148148148148148
Enet[alpha=0.9]	0.0476190476190476	0.12962962962963
Lasso	0.0204081632653061	0.0740740740740741
Enet[alpha=0.7]	0.0340136054421769	0.0925925925925926
glmBoost+Enet[alpha=0.9]	0.0680272108843537	0.12962962962963
glmBoost+Lasso	0.0884353741496599	0.12962962962963
Lasso+plsRglm	0.0680272108843537	0.111111111111111
glmBoost+plsRglm	0.0680272108843537	0.111111111111111
glmBoost+Stepglm[forward]	0.0952380952380952	0.148148148148148
Lasso+Stepglm[forward]	0.0952380952380952	0.148148148148148
Stepglm[forward]	0.142857142857143	0.259259259259259
plsRglm	0.0884353741496599	0.12962962962963
RF+Ridge	0.0340136054421769	0.0925925925925926
RF+Enet[alpha=0.1]	0.0408163265306122	0.111111111111111
RF+plsRglm	0.0748299319727891	0.12962962962963
RF+Stepglm[forward]	0.156462585034014	0.259259259259259
RF+Enet[alpha=0.2]	0.0272108843537415	0.0925925925925926
RF+Enet[alpha=0.3]	0.0476190476190476	0.12962962962963
RF+Enet[alpha=0.6]	0.0476190476190476	0.12962962962963
RF+Lasso	0.0272108843537415	0.0925925925925926
RF+Enet[alpha=0.7]	0.0680272108843537	0.148148148148148
RF+Enet[alpha=0.5]	0.0816326530612245	0.148148148148148
RF+glmBoost	0.0204081632653061	0.0740740740740741
RF+Enet[alpha=0.9]	0.0748299319727891	0.148148148148148
RF+Enet[alpha=0.4]	0.0680272108843537	0.148148148148148
RF+Enet[alpha=0.8]	0.0204081632653061	0.0740740740740741
RF+Stepglm[both]	0.149659863945578	0.277777777777778
RF+Stepglm[backward]	0.149659863945578	0.277777777777778
Stepglm[both]+Ridge	0.0476190476190476	0.12962962962963
Stepglm[backward]+Ridge	0.0476190476190476	0.12962962962963
Stepglm[both]+plsRglm	0.115646258503401	0.277777777777778
Stepglm[backward]+plsRglm	0.115646258503401	0.277777777777778
Stepglm[both]+Enet[alpha=0.9]	0.136054421768707	0.277777777777778
Stepglm[backward]+Enet[alpha=0.9]	0.136054421768707	0.277777777777778
Stepglm[both]+Enet[alpha=0.1]	0.136054421768707	0.240740740740741
Stepglm[backward]+Enet[alpha=0.1]	0.142857142857143	0.259259259259259
Stepglm[both]+Enet[alpha=0.8]	0.136054421768707	0.277777777777778
Stepglm[backward]+Enet[alpha=0.8]	0.136054421768707	0.259259259259259
Stepglm[both]+Enet[alpha=0.2]	0.136054421768707	0.259259259259259
Stepglm[backward]+Enet[alpha=0.2]	0.129251700680272	0.222222222222222
Stepglm[both]+Lasso	0.136054421768707	0.277777777777778
Stepglm[backward]+Lasso	0.136054421768707	0.277777777777778
Stepglm[both]+Enet[alpha=0.6]	0.129251700680272	0.222222222222222
Stepglm[backward]+Enet[alpha=0.6]	0.142857142857143	0.277777777777778
glmBoost+GBM	0.19047619047619	0.0740740740740741
Stepglm[both]+Enet[alpha=0.7]	0.142857142857143	0.259259259259259
Stepglm[backward]+Enet[alpha=0.7]	0.142857142857143	0.259259259259259
Lasso+Stepglm[backward]	0.102040816326531	0.185185185185185
Stepglm[both]	0.149659863945578	0.277777777777778
Stepglm[backward]	0.149659863945578	0.277777777777778
glmBoost+Stepglm[both]	0.102040816326531	0.185185185185185
glmBoost+Stepglm[backward]	0.102040816326531	0.185185185185185
Stepglm[both]+Enet[alpha=0.4]	0.136054421768707	0.259259259259259
Stepglm[backward]+Enet[alpha=0.4]	0.136054421768707	0.240740740740741
Stepglm[both]+Enet[alpha=0.3]	0.129251700680272	0.222222222222222
Stepglm[backward]+Enet[alpha=0.3]	0.136054421768707	0.259259259259259
Stepglm[both]+glmBoost	0.0204081632653061	0.0555555555555556
Stepglm[backward]+glmBoost	0.0204081632653061	0.0555555555555556
Stepglm[both]+Enet[alpha=0.5]	0.136054421768707	0.277777777777778
Stepglm[backward]+Enet[alpha=0.5]	0.136054421768707	0.259259259259259
glmBoost+RF	0.707482993197279	0.0740740740740741
RF	0.72108843537415	0.0925925925925926
Lasso+GBM	0.163265306122449	0.0740740740740741
RF+GBM	0.210884353741497	0.148148148148148
GBM	0.204081632653061	0.148148148148148
Lasso+RF	0.693877551020408	0.0740740740740741
Stepglm[both]+GBM	0.19047619047619	0.185185185185185
Stepglm[backward]+GBM	0.163265306122449	0.185185185185185
Stepglm[both]+RF	0.673469387755102	0.203703703703704
