Training	Testing
Lasso+Stepglm[both]	0.903808812546677	0.864393939393939
Ridge	0.90355275792169	0.886538461538461
glmBoost+Ridge	0.901568334578043	0.882226107226107
Enet[alpha=0.1]	0.906689427077777	0.881118881118881
glmBoost+Enet[alpha=0.1]	0.903883495145631	0.875582750582751
Enet[alpha=0.2]	0.90633735196842	0.880536130536131
Enet[alpha=0.3]	0.906401365624667	0.87983682983683
glmBoost+Enet[alpha=0.3]	0.904299583911234	0.874417249417249
glmBoost+Enet[alpha=0.2]	0.904011522458124	0.875524475524476
Enet[alpha=0.4]	0.906219993598634	0.880244755244755
glmBoost+Enet[alpha=0.4]	0.904459618051851	0.873135198135198
Lasso+glmBoost	0.887720046943348	0.877097902097902
Enet[alpha=0.5]	0.906006614744479	0.879895104895105
glmBoost	0.887720046943348	0.877097902097902
glmBoost+Enet[alpha=0.5]	0.904640990077883	0.870629370629371
Enet[alpha=0.6]	0.907148191614211	0.877972027972028
glmBoost+Enet[alpha=0.6]	0.904630321135175	0.871853146853147
glmBoost+Enet[alpha=0.7]	0.904651659020591	0.873076923076923
glmBoost+Enet[alpha=0.8]	0.904651659020591	0.871561771561772
Enet[alpha=0.8]	0.906454710338205	0.878088578088578
Enet[alpha=0.9]	0.90662541342153	0.877564102564103
Lasso	0.906252000426758	0.877622377622378
Enet[alpha=0.7]	0.906198655713219	0.878962703962704
glmBoost+Enet[alpha=0.9]	0.904651659020591	0.870804195804196
glmBoost+Lasso	0.904694334791422	0.870629370629371
Lasso+plsRglm	0.900394750880188	0.875874125874126
glmBoost+plsRglm	0.89894377467193	0.873601398601399
glmBoost+Stepglm[forward]	0.904790355275792	0.867132867132867
Lasso+Stepglm[forward]	0.908108396457911	0.872843822843823
Stepglm[forward]	0.908087058572495	0.872086247086247
plsRglm	0.894590846047157	0.875174825174825
RF+Ridge	0.895262989437747	0.867948717948718
RF+Enet[alpha=0.1]	0.898773071588606	0.859032634032634
RF+plsRglm	0.893822682172197	0.859090909090909
RF+Stepglm[forward]	0.899146484583378	0.855011655011655
RF+Enet[alpha=0.2]	0.898292969166756	0.862179487179487
RF+Enet[alpha=0.3]	0.89884775418756	0.858041958041958
RF+Enet[alpha=0.6]	0.899007788328177	0.858449883449883
RF+Lasso	0.898805078416729	0.856759906759907
RF+Enet[alpha=0.7]	0.898314307052171	0.859207459207459
RF+Enet[alpha=0.5]	0.898442334364664	0.860314685314685
RF+glmBoost	0.88521284540702	0.869114219114219
RF+Enet[alpha=0.9]	0.898068921369892	0.858974358974359
RF+Enet[alpha=0.4]	0.898869092072976	0.858624708624709
RF+Enet[alpha=0.8]	0.898474341192788	0.858857808857809
RF+Stepglm[both]	0.897578150005334	0.85034965034965
RF+Stepglm[backward]	0.897578150005334	0.85034965034965
Stepglm[both]+Ridge	0.900277392510402	0.881002331002331
Stepglm[backward]+Ridge	0.900277392510402	0.881002331002331
Stepglm[both]+plsRglm	0.898741064760482	0.866491841491841
Stepglm[backward]+plsRglm	0.898741064760482	0.866491841491841
Stepglm[both]+Enet[alpha=0.9]	0.903243358583164	0.873193473193473
Stepglm[backward]+Enet[alpha=0.9]	0.903083324442548	0.8745337995338
Stepglm[both]+Enet[alpha=0.1]	0.902624559906113	0.877855477855478
Stepglm[backward]+Enet[alpha=0.1]	0.90297663501547	0.876631701631702
Stepglm[both]+Enet[alpha=0.8]	0.903104662327963	0.874941724941725
Stepglm[backward]+Enet[alpha=0.8]	0.90316867598421	0.874475524475524
Stepglm[both]+Enet[alpha=0.2]	0.903126000213379	0.876282051282051
Stepglm[backward]+Enet[alpha=0.2]	0.902773925104022	0.877156177156177
Stepglm[both]+Lasso	0.903286034353996	0.872843822843823
Stepglm[backward]+Lasso	0.903392723781073	0.873193473193473
Stepglm[both]+Enet[alpha=0.6]	0.903040648671717	0.87488344988345
Stepglm[backward]+Enet[alpha=0.6]	0.903392723781073	0.874125874125874
glmBoost+GBM	0.960098154272912	0.882575757575758
Stepglm[both]+Enet[alpha=0.7]	0.903190013869625	0.8752331002331
Stepglm[backward]+Enet[alpha=0.7]	0.902965966072762	0.875874125874126
Lasso+Stepglm[backward]	0.903808812546677	0.864393939393939
Stepglm[both]	0.903808812546677	0.864393939393939
Stepglm[backward]	0.903808812546677	0.864393939393939
glmBoost+Stepglm[both]	0.904278246025819	0.866025641025641
glmBoost+Stepglm[backward]	0.904278246025819	0.866025641025641
Stepglm[both]+Enet[alpha=0.4]	0.903008641843593	0.876340326340326
Stepglm[backward]+Enet[alpha=0.4]	0.903179344926918	0.8747668997669
Stepglm[both]+Enet[alpha=0.3]	0.903126000213379	0.875641025641026
Stepglm[backward]+Enet[alpha=0.3]	0.903520751093567	0.873135198135198
Stepglm[both]+glmBoost	0.887335965005868	0.875932400932401
Stepglm[backward]+glmBoost	0.887335965005868	0.875932400932401
Stepglm[both]+Enet[alpha=0.5]	0.90307265549984	0.874825174825175
Stepglm[backward]+Enet[alpha=0.5]	0.902816600874853	0.876282051282051
glmBoost+RF	0.995444361463779	0.871270396270396
RF	0.997759522031367	0.885547785547786
Lasso+GBM	0.966510188840286	0.893065268065268
RF+GBM	0.965966072762189	0.884440559440559
GBM	0.968099861303745	0.890675990675991
Lasso+RF	0.996713965646004	0.881060606060606
Stepglm[both]+GBM	0.958359116611544	0.882459207459207
Stepglm[backward]+GBM	0.954528966179452	0.880361305361305
Stepglm[both]+RF	0.995444361463779	0.861363636363636
LDA	0.89625520110957	0.883974358974359
glmBoost+LDA	0.893876026885736	0.87983682983683
RF+LDA	0.88972580817241	0.869755244755245
