Training	Testing
Lasso+Stepglm[both]	0.859397417503587	0.822147651006711
Ridge	0.863701578192252	0.86241610738255
glmBoost+Ridge	0.862266857962697	0.859060402684564
Enet[alpha=0.1]	0.868005738880918	0.855704697986577
glmBoost+Enet[alpha=0.1]	0.865136298421808	0.852348993288591
Enet[alpha=0.2]	0.870875179340029	0.855704697986577
Enet[alpha=0.3]	0.873744619799139	0.859060402684564
glmBoost+Enet[alpha=0.3]	0.865136298421808	0.842281879194631
glmBoost+Enet[alpha=0.2]	0.865136298421808	0.848993288590604
Enet[alpha=0.4]	0.870875179340029	0.86241610738255
glmBoost+Enet[alpha=0.4]	0.865136298421808	0.845637583892617
Lasso+glmBoost	0.863701578192252	0.875838926174497
Enet[alpha=0.5]	0.870875179340029	0.859060402684564
glmBoost	0.863701578192252	0.875838926174497
glmBoost+Enet[alpha=0.5]	0.863701578192252	0.845637583892617
Enet[alpha=0.6]	0.875179340028694	0.852348993288591
glmBoost+Enet[alpha=0.6]	0.865136298421808	0.845637583892617
glmBoost+Enet[alpha=0.7]	0.865136298421808	0.842281879194631
glmBoost+Enet[alpha=0.8]	0.865136298421808	0.845637583892617
Enet[alpha=0.8]	0.872309899569584	0.855704697986577
Enet[alpha=0.9]	0.872309899569584	0.855704697986577
Lasso	0.872309899569584	0.852348993288591
Enet[alpha=0.7]	0.870875179340029	0.859060402684564
glmBoost+Enet[alpha=0.9]	0.865136298421808	0.845637583892617
glmBoost+Lasso	0.865136298421808	0.845637583892617
Lasso+plsRglm	0.857962697274032	0.86241610738255
glmBoost+plsRglm	0.855093256814921	0.852348993288591
glmBoost+Stepglm[forward]	0.865136298421808	0.842281879194631
Lasso+Stepglm[forward]	0.87661406025825	0.822147651006711
Stepglm[forward]	0.875179340028694	0.815436241610738
plsRglm	0.856527977044476	0.865771812080537
RF+Ridge	0.862266857962697	0.859060402684564
RF+Enet[alpha=0.1]	0.857962697274032	0.852348993288591
RF+plsRglm	0.852223816355811	0.838926174496644
RF+Stepglm[forward]	0.856527977044476	0.848993288590604
RF+Enet[alpha=0.2]	0.857962697274032	0.855704697986577
RF+Enet[alpha=0.3]	0.859397417503587	0.852348993288591
RF+Enet[alpha=0.6]	0.860832137733142	0.848993288590604
RF+Lasso	0.862266857962697	0.845637583892617
RF+Enet[alpha=0.7]	0.860832137733142	0.852348993288591
RF+Enet[alpha=0.5]	0.859397417503587	0.852348993288591
RF+glmBoost	0.860832137733142	0.879194630872483
RF+Enet[alpha=0.9]	0.860832137733142	0.852348993288591
RF+Enet[alpha=0.4]	0.859397417503587	0.852348993288591
RF+Enet[alpha=0.8]	0.860832137733142	0.852348993288591
RF+Stepglm[both]	0.859397417503587	0.832214765100671
RF+Stepglm[backward]	0.859397417503587	0.832214765100671
Stepglm[both]+Ridge	0.869440459110473	0.86241610738255
Stepglm[backward]+Ridge	0.869440459110473	0.86241610738255
Stepglm[both]+plsRglm	0.862266857962697	0.842281879194631
Stepglm[backward]+plsRglm	0.862266857962697	0.842281879194631
Stepglm[both]+Enet[alpha=0.9]	0.860832137733142	0.852348993288591
Stepglm[backward]+Enet[alpha=0.9]	0.860832137733142	0.852348993288591
Stepglm[both]+Enet[alpha=0.1]	0.865136298421808	0.855704697986577
Stepglm[backward]+Enet[alpha=0.1]	0.862266857962697	0.852348993288591
Stepglm[both]+Enet[alpha=0.8]	0.860832137733142	0.852348993288591
Stepglm[backward]+Enet[alpha=0.8]	0.860832137733142	0.852348993288591
Stepglm[both]+Enet[alpha=0.2]	0.862266857962697	0.852348993288591
Stepglm[backward]+Enet[alpha=0.2]	0.865136298421808	0.855704697986577
Stepglm[both]+Lasso	0.862266857962697	0.852348993288591
Stepglm[backward]+Lasso	0.862266857962697	0.852348993288591
Stepglm[both]+Enet[alpha=0.6]	0.862266857962697	0.848993288590604
Stepglm[backward]+Enet[alpha=0.6]	0.862266857962697	0.848993288590604
glmBoost+GBM	0.908177905308465	0.889261744966443
Stepglm[both]+Enet[alpha=0.7]	0.860832137733142	0.848993288590604
Stepglm[backward]+Enet[alpha=0.7]	0.862266857962697	0.848993288590604
Lasso+Stepglm[backward]	0.859397417503587	0.822147651006711
Stepglm[both]	0.859397417503587	0.822147651006711
Stepglm[backward]	0.859397417503587	0.822147651006711
glmBoost+Stepglm[both]	0.869440459110473	0.842281879194631
glmBoost+Stepglm[backward]	0.869440459110473	0.842281879194631
Stepglm[both]+Enet[alpha=0.4]	0.862266857962697	0.848993288590604
Stepglm[backward]+Enet[alpha=0.4]	0.862266857962697	0.848993288590604
Stepglm[both]+Enet[alpha=0.3]	0.862266857962697	0.848993288590604
Stepglm[backward]+Enet[alpha=0.3]	0.863701578192252	0.838926174496644
Stepglm[both]+glmBoost	0.862266857962697	0.869127516778524
Stepglm[backward]+glmBoost	0.862266857962697	0.869127516778524
Stepglm[both]+Enet[alpha=0.5]	0.862266857962697	0.848993288590604
Stepglm[backward]+Enet[alpha=0.5]	0.863701578192252	0.848993288590604
glmBoost+RF	0.946915351506456	0.899328859060403
RF	0.954088952654232	0.885906040268456
Lasso+GBM	0.911047345767575	0.88255033557047
RF+GBM	0.905308464849354	0.895973154362416
GBM	0.90961262553802	0.895973154362416
Lasso+RF	0.954088952654232	0.88255033557047
Stepglm[both]+GBM	0.902439024390244	0.902684563758389
Stepglm[backward]+GBM	0.901004304160689	0.895973154362416
Stepglm[both]+RF	0.944045911047346	0.899328859060403
LDA	0.856527977044476	0.87248322147651
glmBoost+LDA	0.860832137733142	0.865771812080537
RF+LDA	0.852223816355811	0.852348993288591
Stepglm[both]+LDA	0.863701578192252	0.865771812080537
Stepglm[backward]+LDA	0.863701578192252	0.865771812080537
Lasso+LDA	0.856527977044476	0.865771812080537
Stepglm[backward]+RF	0.945480631276901	0.895973154362416
XGBoost	0.880918220946915	0.86241610738255
Lasso+XGBoost	0.913916786226686	0.835570469798658
glmBoost+XGBoost	0.87661406025825	0.869127516778524
RF+XGBoost	0.880918220946915	0.86241610738255
Stepglm[both]+XGBoost	0.901004304160689	0.845637583892617
Stepglm[backward]+XGBoost	0.892395982783357	0.87248322147651
