Training	Testing
Lasso+Stepglm[both]	0.100323947953395	0.122136720321932
Ridge	0.102472597347845	0.10632211989937
glmBoost+Ridge	0.103575887971707	0.105663669060935
Enet[alpha=0.1]	0.0995510364675614	0.108595709349372
glmBoost+Enet[alpha=0.1]	0.101050514422942	0.108702024177393
Enet[alpha=0.2]	0.0996932927726407	0.108203252871025
Enet[alpha=0.3]	0.0995945711394347	0.108468324925591
glmBoost+Enet[alpha=0.3]	0.10088081692743	0.109733641083954
glmBoost+Enet[alpha=0.2]	0.101029413326402	0.10872471962647
Enet[alpha=0.4]	0.0996684215043741	0.108327690450238
glmBoost+Enet[alpha=0.4]	0.100820325063324	0.110318809600617
Lasso+glmBoost	0.110897396987306	0.10861597779636
Enet[alpha=0.5]	0.0997043642866921	0.108309522206954
glmBoost	0.110897396987306	0.10861597779636
glmBoost+Enet[alpha=0.5]	0.100745600729465	0.111971094731539
Enet[alpha=0.6]	0.098975504775653	0.110959653424501
glmBoost+Enet[alpha=0.6]	0.100758693546949	0.111190231347774
glmBoost+Enet[alpha=0.7]	0.100817388207028	0.110117963488878
glmBoost+Enet[alpha=0.8]	0.100741002247306	0.111406478754849
Enet[alpha=0.8]	0.0993973836681128	0.109504434384654
Enet[alpha=0.9]	0.0991280307357683	0.11060747295986
Lasso	0.0994837794585237	0.109464460896696
Enet[alpha=0.7]	0.0995020349166539	0.10905019136647
glmBoost+Enet[alpha=0.9]	0.100729417991716	0.111700152056691
glmBoost+Lasso	0.100725398347076	0.111702967412338
Lasso+plsRglm	0.102463884815869	0.111796393068634
glmBoost+plsRglm	0.103190973049401	0.112993582412872
glmBoost+Stepglm[forward]	0.100808172894538	0.114733197244041
Lasso+Stepglm[forward]	0.0981447271957127	0.119708709982092
Stepglm[forward]	0.0980820436647811	0.119956884586114
plsRglm	0.105851043811392	0.112102628126943
RF+Ridge	0.106362957739207	0.111428146331867
RF+Enet[alpha=0.1]	0.103170560604734	0.116201094253277
RF+plsRglm	0.106043541316241	0.117210483845585
RF+Stepglm[forward]	0.102893943096799	0.121180863978959
RF+Enet[alpha=0.2]	0.103599360002595	0.114195905257528
RF+Enet[alpha=0.3]	0.103160007078202	0.116317558336867
RF+Enet[alpha=0.6]	0.10319527435639	0.116269301409171
RF+Lasso	0.103062088597152	0.117543277068094
RF+Enet[alpha=0.7]	0.103399159341682	0.115328847189113
RF+Enet[alpha=0.5]	0.10346000329354	0.114896713504844
RF+glmBoost	0.112811182233433	0.112726744446018
RF+Enet[alpha=0.9]	0.10339686591126	0.115407649366473
RF+Enet[alpha=0.4]	0.103290390049686	0.115587915460318
RF+Enet[alpha=0.8]	0.103317111462667	0.115799632398209
RF+Stepglm[both]	0.103598119510387	0.121472170604872
RF+Stepglm[backward]	0.103598119510387	0.121472170604872
Stepglm[both]+Ridge	0.103837229524888	0.106573143180689
Stepglm[backward]+Ridge	0.103837229524888	0.106573143180689
Stepglm[both]+plsRglm	0.102710604585762	0.116526025746681
Stepglm[backward]+plsRglm	0.102710604585762	0.116526025746681
Stepglm[both]+Enet[alpha=0.9]	0.100886729493581	0.111278382774053
Stepglm[backward]+Enet[alpha=0.9]	0.100933458564525	0.110788157057963
Stepglm[both]+Enet[alpha=0.1]	0.101226791412624	0.10875461965293
Stepglm[backward]+Enet[alpha=0.1]	0.10098147785635	0.109923090134137
