Training	Testing
Lasso+Stepglm[both]	0.906844106463878	0.880898876404494
Ridge	0.911463187325256	0.910675381263617
glmBoost+Ridge	0.91044776119403	0.908296943231441
Enet[alpha=0.1]	0.912878787878788	0.905908096280088
glmBoost+Enet[alpha=0.1]	0.911153119092628	0.903083700440529
Enet[alpha=0.2]	0.914933837429112	0.905908096280088
Enet[alpha=0.3]	0.916824196597353	0.907894736842105
glmBoost+Enet[alpha=0.3]	0.911153119092628	0.896247240618102
glmBoost+Enet[alpha=0.2]	0.911153119092628	0.901098901098901
Enet[alpha=0.4]	0.914933837429112	0.910284463894967
glmBoost+Enet[alpha=0.4]	0.910984848484849	0.898678414096916
Lasso+glmBoost	0.909781576448243	0.919037199124726
Enet[alpha=0.5]	0.914933837429112	0.908296943231441
glmBoost	0.909781576448243	0.919037199124726
glmBoost+Enet[alpha=0.5]	0.910122989593188	0.898678414096916
Enet[alpha=0.6]	0.917535545023697	0.903508771929825
glmBoost+Enet[alpha=0.6]	0.910984848484849	0.898678414096916
glmBoost+Enet[alpha=0.7]	0.910984848484849	0.896247240618102
glmBoost+Enet[alpha=0.8]	0.910984848484849	0.898678414096916
Enet[alpha=0.8]	0.915799432355724	0.905908096280088
Enet[alpha=0.9]	0.91563981042654	0.905908096280088
Lasso	0.915799432355724	0.903930131004367
Enet[alpha=0.7]	0.914933837429112	0.908296943231441
glmBoost+Enet[alpha=0.9]	0.910984848484849	0.898678414096916
glmBoost+Lasso	0.910984848484849	0.898678414096916
Lasso+plsRglm	0.906691800188501	0.908685968819599
glmBoost+plsRglm	0.904265402843602	0.902222222222222
glmBoost+Stepglm[forward]	0.911153119092628	0.895787139689579
Lasso+Stepglm[forward]	0.918406072106262	0.88195991091314
Stepglm[forward]	0.917221693625119	0.87750556792873
plsRglm	0.906191369606004	0.911111111111111
RF+Ridge	0.910614525139665	0.908296943231441
RF+Enet[alpha=0.1]	0.906691800188501	0.903083700440529
RF+plsRglm	0.902738432483475	0.89237668161435
RF+Stepglm[forward]	0.90530303030303	0.900221729490022
RF+Enet[alpha=0.2]	0.9068673565381	0.905494505494505
RF+Enet[alpha=0.3]	0.907547169811321	0.903083700440529
RF+Enet[alpha=0.6]	0.908404154863078	0.900662251655629
RF+Lasso	0.909433962264151	0.898230088495575
RF+Enet[alpha=0.7]	0.908404154863078	0.903083700440529
RF+Enet[alpha=0.5]	0.907547169811321	0.903083700440529
RF+glmBoost	0.907706945765937	0.921052631578947
RF+Enet[alpha=0.9]	0.908404154863078	0.903083700440529
RF+Enet[alpha=0.4]	0.907547169811321	0.903083700440529
RF+Enet[alpha=0.8]	0.908404154863078	0.903083700440529
RF+Stepglm[both]	0.90719696969697	0.888888888888889
RF+Stepglm[backward]	0.90719696969697	0.888888888888889
Stepglm[both]+Ridge	0.914873713751169	0.910284463894967
Stepglm[backward]+Ridge	0.914873713751169	0.910284463894967
Stepglm[both]+plsRglm	0.909262759924386	0.895787139689579
Stepglm[backward]+plsRglm	0.909262759924386	0.895787139689579
Stepglm[both]+Enet[alpha=0.9]	0.908230842005676	0.903083700440529
Stepglm[backward]+Enet[alpha=0.9]	0.908230842005676	0.903508771929825
Stepglm[both]+Enet[alpha=0.1]	0.911320754716981	0.905494505494505
Stepglm[backward]+Enet[alpha=0.1]	0.909262759924386	0.903083700440529
Stepglm[both]+Enet[alpha=0.8]	0.908230842005676	0.903508771929825
Stepglm[backward]+Enet[alpha=0.8]	0.908230842005676	0.903508771929825
Stepglm[both]+Enet[alpha=0.2]	0.909262759924386	0.903083700440529
Stepglm[backward]+Enet[alpha=0.2]	0.911320754716981	0.905494505494505
Stepglm[both]+Lasso	0.909090909090909	0.903083700440529
Stepglm[backward]+Lasso	0.909090909090909	0.903083700440529
Stepglm[both]+Enet[alpha=0.6]	0.909262759924386	0.901098901098901
Stepglm[backward]+Enet[alpha=0.6]	0.909090909090909	0.901098901098901
glmBoost+GBM	0.940186915887851	0.927789934354486
Stepglm[both]+Enet[alpha=0.7]	0.908230842005676	0.901098901098901
Stepglm[backward]+Enet[alpha=0.7]	0.909262759924386	0.901531728665208
Lasso+Stepglm[backward]	0.906844106463878	0.880898876404494
Stepglm[both]	0.906844106463878	0.880898876404494
Stepglm[backward]	0.906844106463878	0.880898876404494
glmBoost+Stepglm[both]	0.913744075829384	0.896247240618102
glmBoost+Stepglm[backward]	0.913744075829384	0.896247240618102
Stepglm[both]+Enet[alpha=0.4]	0.909262759924386	0.901098901098901
Stepglm[backward]+Enet[alpha=0.4]	0.909262759924386	0.901098901098901
Stepglm[both]+Enet[alpha=0.3]	0.909262759924386	0.901098901098901
Stepglm[backward]+Enet[alpha=0.3]	0.909952606635071	0.893805309734513
Stepglm[both]+glmBoost	0.908745247148289	0.914285714285714
Stepglm[backward]+glmBoost	0.908745247148289	0.914285714285714
Stepglm[both]+Enet[alpha=0.5]	0.909262759924386	0.901098901098901
Stepglm[backward]+Enet[alpha=0.5]	0.910292728989613	0.901531728665208
glmBoost+RF	0.965127238454288	0.934782608695652
RF	0.969754253308128	0.927038626609442
Lasso+GBM	0.941838649155722	0.922048997772829
RF+GBM	0.938086303939963	0.932461873638344
GBM	0.94095595126523	0.932166301969365
Lasso+RF	0.96969696969697	0.924406047516199
Stepglm[both]+GBM	0.936329588014981	0.936542669584245
Stepglm[backward]+GBM	0.935453695042095	0.932166301969365
Stepglm[both]+RF	0.963311382878645	0.935344827586207
LDA	0.904397705544933	0.915178571428571
glmBoost+LDA	0.907177033492823	0.910714285714286
RF+LDA	0.900290416263311	0.901345291479821
Stepglm[both]+LDA	0.909090909090909	0.911111111111111
Stepglm[backward]+LDA	0.909090909090909	0.911111111111111
Lasso+LDA	0.904214559386973	0.910714285714286
Stepglm[backward]+RF	0.964218455743879	0.93304535637149
XGBoost	0.922211808809747	0.90989010989011
Lasso+XGBoost	0.943074003795066	0.88735632183908
glmBoost+XGBoost	0.919925512104283	0.914660831509847
RF+XGBoost	0.922211808809747	0.90989010989011
Stepglm[both]+XGBoost	0.934348239771646	0.896396396396396
Stepglm[backward]+XGBoost	0.929178470254957	0.916666666666667
