Training	Testing
Lasso+Stepglm[both]	0.92621359223301	0.890909090909091
Ridge	0.949514563106796	0.95
glmBoost+Ridge	0.947572815533981	0.945454545454545
Enet[alpha=0.1]	0.935922330097087	0.940909090909091
glmBoost+Enet[alpha=0.1]	0.935922330097087	0.931818181818182
Enet[alpha=0.2]	0.939805825242718	0.940909090909091
Enet[alpha=0.3]	0.941747572815534	0.940909090909091
glmBoost+Enet[alpha=0.3]	0.935922330097087	0.922727272727273
glmBoost+Enet[alpha=0.2]	0.935922330097087	0.931818181818182
Enet[alpha=0.4]	0.939805825242718	0.945454545454545
glmBoost+Enet[alpha=0.4]	0.933980582524272	0.927272727272727
Lasso+glmBoost	0.930097087378641	0.954545454545455
Enet[alpha=0.5]	0.939805825242718	0.945454545454545
glmBoost	0.930097087378641	0.954545454545455
glmBoost+Enet[alpha=0.5]	0.933980582524272	0.927272727272727
Enet[alpha=0.6]	0.939805825242718	0.936363636363636
glmBoost+Enet[alpha=0.6]	0.933980582524272	0.927272727272727
glmBoost+Enet[alpha=0.7]	0.933980582524272	0.922727272727273
glmBoost+Enet[alpha=0.8]	0.933980582524272	0.927272727272727
Enet[alpha=0.8]	0.939805825242718	0.940909090909091
Enet[alpha=0.9]	0.937864077669903	0.940909090909091
Lasso	0.939805825242718	0.940909090909091
Enet[alpha=0.7]	0.939805825242718	0.945454545454545
glmBoost+Enet[alpha=0.9]	0.933980582524272	0.927272727272727
glmBoost+Lasso	0.933980582524272	0.927272727272727
Lasso+plsRglm	0.933980582524272	0.927272727272727
glmBoost+plsRglm	0.92621359223301	0.922727272727273
glmBoost+Stepglm[forward]	0.935922330097087	0.918181818181818
Lasso+Stepglm[forward]	0.939805825242718	0.9
Stepglm[forward]	0.935922330097087	0.895454545454546
plsRglm	0.937864077669903	0.931818181818182
RF+Ridge	0.949514563106796	0.945454545454545
RF+Enet[alpha=0.1]	0.933980582524272	0.931818181818182
RF+plsRglm	0.928155339805825	0.904545454545455
RF+Stepglm[forward]	0.928155339805825	0.922727272727273
RF+Enet[alpha=0.2]	0.935922330097087	0.936363636363636
RF+Enet[alpha=0.3]	0.933980582524272	0.931818181818182
RF+Enet[alpha=0.6]	0.933980582524272	0.927272727272727
RF+Lasso	0.935922330097087	0.922727272727273
