Training	Testing
Lasso+Stepglm[both]	0.80865082110326	0.769209956709957
Ridge	0.808832007379223	0.814303751803752
glmBoost+Ridge	0.80810726227537	0.80726911976912
Enet[alpha=0.1]	0.808889657557938	0.812274531024531
glmBoost+Enet[alpha=0.1]	0.808535520745829	0.807178932178932
Enet[alpha=0.2]	0.810232083148029	0.807990620490621
Enet[alpha=0.3]	0.811179193226928	0.805330086580087
glmBoost+Enet[alpha=0.3]	0.811261550625093	0.798024891774892
glmBoost+Enet[alpha=0.2]	0.810553277000873	0.802038239538239
Enet[alpha=0.4]	0.811936881290046	0.800910894660895
glmBoost+Enet[alpha=0.4]	0.811450972640872	0.796266233766234
Lasso+glmBoost	0.800876282716476	0.80988455988456
Enet[alpha=0.5]	0.80619657063794	0.810651154401154
glmBoost	0.800876282716476	0.80988455988456
glmBoost+Enet[alpha=0.5]	0.809597931182158	0.80406746031746
Enet[alpha=0.6]	0.807975490438306	0.808216089466089
glmBoost+Enet[alpha=0.6]	0.81124507914546	0.797123015873016
glmBoost+Enet[alpha=0.7]	0.809779117458121	0.802849927849928
glmBoost+Enet[alpha=0.8]	0.807810775641976	0.806141774891775
Enet[alpha=0.8]	0.812398082719771	0.797393578643579
Enet[alpha=0.9]	0.810470919602708	0.804292929292929
Lasso	0.812159246265092	0.798069985569986
Enet[alpha=0.7]	0.811887466851147	0.799873737373737
glmBoost+Enet[alpha=0.9]	0.810330912025827	0.800865800865801
glmBoost+Lasso	0.811698044835368	0.793335137085137
Lasso+plsRglm	0.804351764919043	0.801046176046176
glmBoost+plsRglm	0.805504768493354	0.807539682539683
glmBoost+Stepglm[forward]	0.810857999374084	0.784541847041847
Lasso+Stepglm[forward]	0.811838052412248	0.789547258297258
Stepglm[forward]	0.813213420961605	0.793560606060606
plsRglm	0.803009339328952	0.802579365079365
RF+Ridge	0.804590601373721	0.815521284271284
RF+Enet[alpha=0.1]	0.807127209237206	0.809433621933622
RF+plsRglm	0.80242460180198	0.799422799422799
RF+Stepglm[forward]	0.812315725321606	0.790584415584416
RF+Enet[alpha=0.2]	0.806633064848215	0.809208152958153
RF+Enet[alpha=0.3]	0.811179193226928	0.797844516594517
RF+Enet[alpha=0.6]	0.810577984220322	0.800099206349206
RF+Lasso	0.810388562204543	0.799693362193362
RF+Enet[alpha=0.7]	0.811376850982524	0.796401515151515
RF+Enet[alpha=0.5]	0.81105565712968	0.798520923520924
RF+glmBoost	0.800810396797944	0.808892496392496
RF+Enet[alpha=0.9]	0.811261550625093	0.79788961038961
RF+Enet[alpha=0.4]	0.810429740903625	0.801497113997114
RF+Enet[alpha=0.8]	0.811450972640872	0.796536796536797
RF+Stepglm[both]	0.80865082110326	0.769209956709957
RF+Stepglm[backward]	0.80865082110326	0.769209956709957
Stepglm[both]+Ridge	0.808140205234636	0.784586940836941
Stepglm[backward]+Ridge	0.808140205234636	0.784586940836941
Stepglm[both]+plsRglm	0.806814251124178	0.759875541125541
Stepglm[backward]+plsRglm	0.806814251124178	0.759875541125541
Stepglm[both]+Enet[alpha=0.9]	0.80895554347647	0.771960678210678
Stepglm[backward]+Enet[alpha=0.9]	0.808972014956103	0.772231240981241
Stepglm[both]+Enet[alpha=0.1]	0.808584935184728	0.780032467532468
Stepglm[backward]+Enet[alpha=0.1]	0.808601406664361	0.777507215007215
Stepglm[both]+Enet[alpha=0.8]	0.808741414241241	0.774440836940837
Stepglm[backward]+Enet[alpha=0.8]	0.80898025069592	0.772141053391053
Stepglm[both]+Enet[alpha=0.2]	0.80895554347647	0.773629148629149
Stepglm[backward]+Enet[alpha=0.2]	0.808741414241241	0.777146464646465
Stepglm[both]+Lasso	0.808733178501425	0.774576118326118
Stepglm[backward]+Lasso	0.808733178501425	0.774576118326118
Stepglm[both]+Enet[alpha=0.6]	0.80879082868014	0.774395743145743
Stepglm[backward]+Enet[alpha=0.6]	0.808716707021792	0.77507215007215
glmBoost+GBM	0.888389254006687	0.813672438672439
Stepglm[both]+Enet[alpha=0.7]	0.808881421818122	0.772907647907648
Stepglm[backward]+Enet[alpha=0.7]	0.808716707021792	0.776424963924964
Lasso+Stepglm[backward]	0.80865082110326	0.769209956709957
Stepglm[both]	0.80865082110326	0.769209956709957
Stepglm[backward]	0.80865082110326	0.769209956709957
glmBoost+Stepglm[both]	0.80865082110326	0.769209956709957
glmBoost+Stepglm[backward]	0.80865082110326	0.769209956709957
Stepglm[both]+Enet[alpha=0.4]	0.808799064419957	0.776289682539683
Stepglm[backward]+Enet[alpha=0.4]	0.808799064419957	0.775928932178932
Stepglm[both]+Enet[alpha=0.3]	0.808914364777388	0.772141053391053
Stepglm[backward]+Enet[alpha=0.3]	0.808922600517204	0.776515151515151
Stepglm[both]+glmBoost	0.79980563654033	0.803255772005772
Stepglm[backward]+glmBoost	0.799764457841248	0.803571428571429
Stepglm[both]+Enet[alpha=0.5]	0.80879082868014	0.776109307359307
Stepglm[backward]+Enet[alpha=0.5]	0.808864950338489	0.773899711399711
glmBoost+RF	0.996755118512296	0.807043650793651
RF	0.998435209434864	0.813762626262626
Lasso+GBM	0.898568628419891	0.819534632034632
RF+GBM	0.895776712622095	0.820842352092352
GBM	0.89515079639604	0.822195165945166
Lasso+RF	0.997504570835598	0.808847402597403
Stepglm[both]+GBM	0.87548384971422	0.802263708513709
Stepglm[backward]+GBM	0.877880450000824	0.801226551226551
Stepglm[both]+RF	0.991953682199272	0.786525974025974
LDA	0.803223468564181	0.819083694083694
glmBoost+LDA	0.801773978356476	0.816378066378066
RF+LDA	0.802325772924182	0.815295815295815
Stepglm[both]+LDA	0.799731514881982	0.801316738816739
Stepglm[backward]+LDA	0.799731514881982	0.801316738816739
Lasso+LDA	0.802268122745466	0.82224025974026
Stepglm[backward]+RF	0.992332526230831	0.785082972582973
XGBoost	0.765170232742007	0.764294733044733
Lasso+XGBoost	0.810203258058671	0.783369408369408
glmBoost+XGBoost	0.765170232742007	0.764294733044733
RF+XGBoost	0.765170232742007	0.764294733044733
Stepglm[both]+XGBoost	0.765170232742007	0.764294733044733
Stepglm[backward]+XGBoost	0.765170232742007	0.764294733044733
