Training	Testing
Lasso+Stepglm[both]	0.72883787661406	0.721476510067114
Ridge	0.721664275466284	0.718120805369127
glmBoost+Ridge	0.721664275466284	0.721476510067114
Enet[alpha=0.1]	0.723098995695839	0.718120805369127
glmBoost+Enet[alpha=0.1]	0.723098995695839	0.718120805369127
Enet[alpha=0.2]	0.723098995695839	0.721476510067114
Enet[alpha=0.3]	0.718794835007174	0.724832214765101
glmBoost+Enet[alpha=0.3]	0.718794835007174	0.718120805369127
glmBoost+Enet[alpha=0.2]	0.718794835007174	0.718120805369127
Enet[alpha=0.4]	0.718794835007174	0.714765100671141
glmBoost+Enet[alpha=0.4]	0.723098995695839	0.718120805369127
Lasso+glmBoost	0.718794835007174	0.697986577181208
Enet[alpha=0.5]	0.721664275466284	0.718120805369127
glmBoost	0.718794835007174	0.697986577181208
glmBoost+Enet[alpha=0.5]	0.718794835007174	0.724832214765101
Enet[alpha=0.6]	0.723098995695839	0.718120805369127
glmBoost+Enet[alpha=0.6]	0.718794835007174	0.718120805369127
glmBoost+Enet[alpha=0.7]	0.718794835007174	0.721476510067114
glmBoost+Enet[alpha=0.8]	0.720229555236729	0.714765100671141
Enet[alpha=0.8]	0.720229555236729	0.711409395973154
Enet[alpha=0.9]	0.721664275466284	0.721476510067114
Lasso	0.723098995695839	0.711409395973154
Enet[alpha=0.7]	0.721664275466284	0.718120805369127
glmBoost+Enet[alpha=0.9]	0.724533715925395	0.718120805369127
glmBoost+Lasso	0.724533715925395	0.718120805369127
Lasso+plsRglm	0.731707317073171	0.714765100671141
glmBoost+plsRglm	0.721664275466284	0.718120805369127
glmBoost+Stepglm[forward]	0.727403156384505	0.711409395973154
Lasso+Stepglm[forward]	0.72883787661406	0.711409395973154
Stepglm[forward]	0.731707317073171	0.714765100671141
plsRglm	0.717360114777618	0.711409395973154
RF+Ridge	0.715925394548063	0.714765100671141
RF+Enet[alpha=0.1]	0.720229555236729	0.714765100671141
RF+plsRglm	0.717360114777618	0.704697986577181
RF+Stepglm[forward]	0.731707317073171	0.711409395973154
RF+Enet[alpha=0.2]	0.727403156384505	0.718120805369127
RF+Enet[alpha=0.3]	0.721664275466284	0.718120805369127
RF+Enet[alpha=0.6]	0.723098995695839	0.718120805369127
RF+Lasso	0.721664275466284	0.711409395973154
RF+Enet[alpha=0.7]	0.721664275466284	0.714765100671141
RF+Enet[alpha=0.5]	0.721664275466284	0.714765100671141
RF+glmBoost	0.717360114777618	0.701342281879195
RF+Enet[alpha=0.9]	0.720229555236729	0.714765100671141
RF+Enet[alpha=0.4]	0.723098995695839	0.718120805369127
RF+Enet[alpha=0.8]	0.723098995695839	0.711409395973154
RF+Stepglm[both]	0.72883787661406	0.721476510067114
RF+Stepglm[backward]	0.72883787661406	0.721476510067114
Stepglm[both]+Ridge	0.72883787661406	0.724832214765101
Stepglm[backward]+Ridge	0.72883787661406	0.724832214765101
Stepglm[both]+plsRglm	0.724533715925395	0.694630872483222
Stepglm[backward]+plsRglm	0.724533715925395	0.694630872483222
Stepglm[both]+Enet[alpha=0.9]	0.727403156384505	0.721476510067114
Stepglm[backward]+Enet[alpha=0.9]	0.72883787661406	0.721476510067114
Stepglm[both]+Enet[alpha=0.1]	0.736011477761836	0.728187919463087
Stepglm[backward]+Enet[alpha=0.1]	0.730272596843615	0.724832214765101
Stepglm[both]+Enet[alpha=0.8]	0.72883787661406	0.721476510067114
Stepglm[backward]+Enet[alpha=0.8]	0.72883787661406	0.721476510067114
Stepglm[both]+Enet[alpha=0.2]	0.727403156384505	0.721476510067114
Stepglm[backward]+Enet[alpha=0.2]	0.72883787661406	0.718120805369127
Stepglm[both]+Lasso	0.730272596843615	0.721476510067114
Stepglm[backward]+Lasso	0.730272596843615	0.721476510067114
Stepglm[both]+Enet[alpha=0.6]	0.72883787661406	0.721476510067114
Stepglm[backward]+Enet[alpha=0.6]	0.730272596843615	0.721476510067114
glmBoost+GBM	0.814921090387374	0.714765100671141
Stepglm[both]+Enet[alpha=0.7]	0.72883787661406	0.721476510067114
Stepglm[backward]+Enet[alpha=0.7]	0.731707317073171	0.721476510067114
Lasso+Stepglm[backward]	0.72883787661406	0.721476510067114
Stepglm[both]	0.72883787661406	0.721476510067114
Stepglm[backward]	0.72883787661406	0.721476510067114
glmBoost+Stepglm[both]	0.72883787661406	0.721476510067114
glmBoost+Stepglm[backward]	0.72883787661406	0.721476510067114
Stepglm[both]+Enet[alpha=0.4]	0.72883787661406	0.721476510067114
Stepglm[backward]+Enet[alpha=0.4]	0.72883787661406	0.721476510067114
Stepglm[both]+Enet[alpha=0.3]	0.72596843615495	0.721476510067114
Stepglm[backward]+Enet[alpha=0.3]	0.72883787661406	0.718120805369127
Stepglm[both]+glmBoost	0.714490674318508	0.704697986577181
Stepglm[backward]+glmBoost	0.714490674318508	0.708053691275168
Stepglm[both]+Enet[alpha=0.5]	0.72883787661406	0.721476510067114
Stepglm[backward]+Enet[alpha=0.5]	0.72883787661406	0.721476510067114
glmBoost+RF	0.961262553802009	0.73489932885906
RF	0.979913916786227	0.74496644295302
Lasso+GBM	0.823529411764706	0.704697986577181
RF+GBM	0.812051649928264	0.708053691275168
GBM	0.81635581061693	0.704697986577181
Lasso+RF	0.965566714490674	0.741610738255034
Stepglm[both]+GBM	0.804878048780488	0.701342281879195
Stepglm[backward]+GBM	0.803443328550933	0.697986577181208
Stepglm[both]+RF	0.945480631276901	0.724832214765101
LDA	0.714490674318508	0.701342281879195
glmBoost+LDA	0.718794835007174	0.721476510067114
RF+LDA	0.717360114777618	0.714765100671141
Stepglm[both]+LDA	0.714490674318508	0.701342281879195
Stepglm[backward]+LDA	0.714490674318508	0.701342281879195
Lasso+LDA	0.717360114777618	0.711409395973154
Stepglm[backward]+RF	0.944045911047346	0.721476510067114
XGBoost	0.705882352941177	0.691275167785235
Lasso+XGBoost	0.746054519368723	0.704697986577181
glmBoost+XGBoost	0.705882352941177	0.691275167785235
RF+XGBoost	0.705882352941177	0.691275167785235
Stepglm[both]+XGBoost	0.705882352941177	0.691275167785235
Stepglm[backward]+XGBoost	0.705882352941177	0.691275167785235
