Training	Testing
Lasso+Stepglm[both]	0.178794068017761	0.201297393529018
Ridge	0.180027018246545	0.177235501708639
glmBoost+Ridge	0.18046358323686	0.179306397775307
Enet[alpha=0.1]	0.179912008891964	0.178146130759882
glmBoost+Enet[alpha=0.1]	0.180172187002833	0.179698295364611
Enet[alpha=0.2]	0.178987061860968	0.179588965511454
Enet[alpha=0.3]	0.178470809501373	0.180790876646622
glmBoost+Enet[alpha=0.3]	0.178111865768964	0.18438660133572
glmBoost+Enet[alpha=0.2]	0.178806997650269	0.181948449181351
Enet[alpha=0.4]	0.177906545679491	0.182587361698262
glmBoost+Enet[alpha=0.4]	0.177967052664962	0.185174370374303
Lasso+glmBoost	0.184392694600217	0.180610674985302
Enet[alpha=0.5]	0.18177105583092	0.179328504722547
glmBoost	0.184392694600217	0.180610674985302
glmBoost+Enet[alpha=0.5]	0.1794138756493	0.181096574023771
Enet[alpha=0.6]	0.180636936912541	0.179492410031881
glmBoost+Enet[alpha=0.6]	0.178223932807201	0.184125750604747
glmBoost+Enet[alpha=0.7]	0.179157721582086	0.181723998163336
glmBoost+Enet[alpha=0.8]	0.180668739459342	0.180137875639271
Enet[alpha=0.8]	0.177398327414735	0.185510680958534
Enet[alpha=0.9]	0.178944763667237	0.181196409396909
Lasso	0.177611660430387	0.184737839913598
Enet[alpha=0.7]	0.177840982570771	0.183371319524677
glmBoost+Enet[alpha=0.9]	0.178807862591011	0.18262827228965
glmBoost+Lasso	0.177854996429287	0.186178226834335
Lasso+plsRglm	0.180829774116927	0.185000343352037
glmBoost+plsRglm	0.180223651159025	0.181132580198152
glmBoost+Stepglm[forward]	0.177463836158643	0.19344616642727
Lasso+Stepglm[forward]	0.177213497393981	0.191203725678302
Stepglm[forward]	0.176631290749332	0.189658260483872
plsRglm	0.181302951963792	0.183373755933352
RF+Ridge	0.183535190548893	0.17856629376236
RF+Enet[alpha=0.1]	0.180974554520913	0.179191024445993
RF+plsRglm	0.181660087709105	0.184811752562191
RF+Stepglm[forward]	0.177097787497812	0.191117325947334
RF+Enet[alpha=0.2]	0.181582744528742	0.17954105889965
RF+Enet[alpha=0.3]	0.178149338176346	0.184142656844392
RF+Enet[alpha=0.6]	0.178678113702003	0.182908976640842
RF+Lasso	0.178811887579461	0.183135235304393
RF+Enet[alpha=0.7]	0.17805568707916	0.185104646446217
RF+Enet[alpha=0.5]	0.178332233643655	0.183749519222098
RF+glmBoost	0.18440381928597	0.181023835169976
RF+Enet[alpha=0.9]	0.178277426601399	0.184455153563894
RF+Enet[alpha=0.4]	0.178788518416784	0.182330081053343
RF+Enet[alpha=0.8]	0.177974266638517	0.185610408611827
RF+Stepglm[both]	0.178794068017761	0.201297393529018
RF+Stepglm[backward]	0.178794068017761	0.201297393529018
Stepglm[both]+Ridge	0.180502951774018	0.189437615313591
Stepglm[backward]+Ridge	0.180502951774018	0.189437615313591
Stepglm[both]+plsRglm	0.179708924694652	0.206786767905212
Stepglm[backward]+plsRglm	0.179708924694652	0.206786767905212
Stepglm[both]+Enet[alpha=0.9]	0.178807574521652	0.198814096076359
Stepglm[backward]+Enet[alpha=0.9]	0.178813268849685	0.198581021285683
Stepglm[both]+Enet[alpha=0.1]	0.179405872003022	0.192594740503067
Stepglm[backward]+Enet[alpha=0.1]	0.17917072167826	0.194058966466396
Stepglm[both]+Enet[alpha=0.8]	0.178867099517062	0.197156508229939
Stepglm[backward]+Enet[alpha=0.8]	0.178812580596936	0.198629864671948
Stepglm[both]+Enet[alpha=0.2]	0.178851810420292	0.197728867567187
Stepglm[backward]+Enet[alpha=0.2]	0.179075472154143	0.194722296747551
Stepglm[both]+Lasso	0.178876147129765	0.196935528214606
Stepglm[backward]+Lasso	0.178876147129765	0.196935528214606
Stepglm[both]+Enet[alpha=0.6]	0.178869789314663	0.19715858844705
Stepglm[backward]+Enet[alpha=0.6]	0.178912498771377	0.196402593056107
glmBoost+GBM	0.142033670191288	0.176289205339388
Stepglm[both]+Enet[alpha=0.7]	0.178828063077043	0.198131905818137
Stepglm[backward]+Enet[alpha=0.7]	0.178970469949925	0.195547123241538
Lasso+Stepglm[backward]	0.178794068017761	0.201297393529018
Stepglm[both]	0.178794068017761	0.201297393529018
Stepglm[backward]	0.178794068017761	0.201297393529018
glmBoost+Stepglm[both]	0.178794068017761	0.201297393529018
glmBoost+Stepglm[backward]	0.178794068017761	0.201297393529018
Stepglm[both]+Enet[alpha=0.4]	0.178982386583665	0.195538368118397
Stepglm[backward]+Enet[alpha=0.4]	0.178948265223664	0.195972337119028
Stepglm[both]+Enet[alpha=0.3]	0.178816098618685	0.198674189021928
Stepglm[backward]+Enet[alpha=0.3]	0.179000343113594	0.195396823680605
Stepglm[both]+glmBoost	0.184756368940923	0.183382812113146
Stepglm[backward]+glmBoost	0.184814937441688	0.183263234116237
Stepglm[both]+Enet[alpha=0.5]	0.178953875953673	0.195845238557508
Stepglm[backward]+Enet[alpha=0.5]	0.178861079082822	0.197374471558722
glmBoost+RF	0.0678786182132204	0.186192479752344
RF	0.065038523335328	0.1836603587361
Lasso+GBM	0.13591775449552	0.173798393228229
RF+GBM	0.138411894435087	0.173278030989762
GBM	0.138797294736146	0.172904880022134
Lasso+RF	0.0651843711707151	0.184976049321809
Stepglm[both]+GBM	0.148624386261546	0.182226941393636
Stepglm[backward]+GBM	0.146812344040203	0.182562526983834
Stepglm[both]+RF	0.072900613362435	0.192163942160922
LDA	0.181126483405948	0.175667472811709
glmBoost+LDA	0.182080249489293	0.175650499377329
RF+LDA	0.181479395097979	0.177436184612666
Stepglm[both]+LDA	0.183340562381938	0.18421992042792
Stepglm[backward]+LDA	0.183340562381938	0.18421992042792
Lasso+LDA	0.181601637022353	0.173223693689126
Stepglm[backward]+RF	0.0726103967849827	0.193004699051026
XGBoost	0.190455539917048	0.189415492532392
Lasso+XGBoost	0.17618082434217	0.188004683784158
glmBoost+XGBoost	0.190455539917048	0.189415492532392
RF+XGBoost	0.190455539917048	0.189415492532392
Stepglm[both]+XGBoost	0.190455539917048	0.189415492532392
Stepglm[backward]+XGBoost	0.190455539917048	0.189415492532392
