Training	Testing
Lasso+Stepglm[both]	0.731152204836415	0.706713780918728
Ridge	0.721264367816092	0.710344827586207
glmBoost+Ridge	0.721264367816092	0.714776632302406
Enet[alpha=0.1]	0.723891273247496	0.710344827586207
glmBoost+Enet[alpha=0.1]	0.723891273247496	0.710344827586207
Enet[alpha=0.2]	0.724679029957204	0.710801393728223
Enet[alpha=0.3]	0.718390804597701	0.713286713286713
glmBoost+Enet[alpha=0.3]	0.71919770773639	0.706293706293706
glmBoost+Enet[alpha=0.2]	0.718390804597701	0.710344827586207
Enet[alpha=0.4]	0.718390804597701	0.701754385964912
glmBoost+Enet[alpha=0.4]	0.722302158273381	0.706293706293706
Lasso+glmBoost	0.725490196078431	0.695945945945946
Enet[alpha=0.5]	0.724431818181818	0.710344827586207
glmBoost	0.725490196078431	0.695945945945946
glmBoost+Enet[alpha=0.5]	0.72	0.713286713286713
Enet[alpha=0.6]	0.726241134751773	0.710344827586207
glmBoost+Enet[alpha=0.6]	0.71919770773639	0.706293706293706
glmBoost+Enet[alpha=0.7]	0.72	0.710801393728223
glmBoost+Enet[alpha=0.8]	0.723404255319149	0.707903780068728
Enet[alpha=0.8]	0.718614718614719	0.699300699300699
Enet[alpha=0.9]	0.722857142857143	0.710801393728223
Lasso	0.722302158273381	0.701388888888889
Enet[alpha=0.7]	0.722063037249284	0.706293706293706
glmBoost+Enet[alpha=0.9]	0.724137931034483	0.706293706293706
glmBoost+Lasso	0.723342939481268	0.706293706293706
Lasso+plsRglm	0.732474964234621	0.701754385964912
glmBoost+plsRglm	0.721264367816092	0.706293706293706
glmBoost+Stepglm[forward]	0.727011494252874	0.697183098591549
Lasso+Stepglm[forward]	0.72883787661406	0.697183098591549
Stepglm[forward]	0.728592162554427	0.701754385964912
plsRglm	0.713245997088792	0.701388888888889
RF+Ridge	0.714697406340058	0.709897610921502
RF+Enet[alpha=0.1]	0.722617354196302	0.709897610921502
RF+plsRglm	0.714905933429812	0.692307692307692
RF+Stepglm[forward]	0.730935251798561	0.697183098591549
RF+Enet[alpha=0.2]	0.730878186968838	0.712328767123288
RF+Enet[alpha=0.3]	0.721264367816092	0.706293706293706
RF+Enet[alpha=0.6]	0.724679029957204	0.708333333333333
RF+Lasso	0.722063037249284	0.701388888888889
