Training	Testing
Lasso+Stepglm[both]	0.749271137026239	0.694444444444444
Ridge	0.731778425655977	0.715277777777778
glmBoost+Ridge	0.731778425655977	0.722222222222222
Enet[alpha=0.1]	0.737609329446064	0.715277777777778
glmBoost+Enet[alpha=0.1]	0.737609329446064	0.715277777777778
Enet[alpha=0.2]	0.740524781341108	0.708333333333333
Enet[alpha=0.3]	0.728862973760933	0.708333333333333
glmBoost+Enet[alpha=0.3]	0.731778425655977	0.701388888888889
glmBoost+Enet[alpha=0.2]	0.728862973760933	0.715277777777778
Enet[alpha=0.4]	0.728862973760933	0.694444444444444
glmBoost+Enet[alpha=0.4]	0.731778425655977	0.701388888888889
Lasso+glmBoost	0.755102040816326	0.715277777777778
Enet[alpha=0.5]	0.743440233236152	0.715277777777778
glmBoost	0.755102040816326	0.715277777777778
glmBoost+Enet[alpha=0.5]	0.73469387755102	0.708333333333333
Enet[alpha=0.6]	0.746355685131195	0.715277777777778
glmBoost+Enet[alpha=0.6]	0.731778425655977	0.701388888888889
glmBoost+Enet[alpha=0.7]	0.73469387755102	0.708333333333333
glmBoost+Enet[alpha=0.8]	0.743440233236152	0.715277777777778
Enet[alpha=0.8]	0.725947521865889	0.694444444444444
Enet[alpha=0.9]	0.737609329446064	0.708333333333333
Lasso	0.731778425655977	0.701388888888889
Enet[alpha=0.7]	0.73469387755102	0.701388888888889
glmBoost+Enet[alpha=0.9]	0.73469387755102	0.701388888888889
glmBoost+Lasso	0.731778425655977	0.701388888888889
Lasso+plsRglm	0.746355685131195	0.694444444444444
glmBoost+plsRglm	0.731778425655977	0.701388888888889
glmBoost+Stepglm[forward]	0.737609329446064	0.6875
Lasso+Stepglm[forward]	0.740524781341108	0.6875
Stepglm[forward]	0.731778425655977	0.694444444444444
plsRglm	0.714285714285714	0.701388888888889
RF+Ridge	0.723032069970845	0.722222222222222
RF+Enet[alpha=0.1]	0.740524781341108	0.722222222222222
RF+plsRglm	0.720116618075802	0.6875
RF+Stepglm[forward]	0.740524781341108	0.6875
RF+Enet[alpha=0.2]	0.752186588921283	0.722222222222222
RF+Enet[alpha=0.3]	0.731778425655977	0.701388888888889
RF+Enet[alpha=0.6]	0.740524781341108	0.708333333333333
RF+Lasso	0.73469387755102	0.701388888888889
RF+Enet[alpha=0.7]	0.73469387755102	0.701388888888889
RF+Enet[alpha=0.5]	0.737609329446064	0.701388888888889
RF+glmBoost	0.752186588921283	0.715277777777778
RF+Enet[alpha=0.9]	0.737609329446064	0.701388888888889
RF+Enet[alpha=0.4]	0.743440233236152	0.708333333333333
RF+Enet[alpha=0.8]	0.73469387755102	0.701388888888889
RF+Stepglm[both]	0.749271137026239	0.694444444444444
RF+Stepglm[backward]	0.749271137026239	0.694444444444444
Stepglm[both]+Ridge	0.740524781341108	0.708333333333333
Stepglm[backward]+Ridge	0.740524781341108	0.708333333333333
Stepglm[both]+plsRglm	0.73469387755102	0.666666666666667
Stepglm[backward]+plsRglm	0.73469387755102	0.666666666666667
Stepglm[both]+Enet[alpha=0.9]	0.743440233236152	0.701388888888889
Stepglm[backward]+Enet[alpha=0.9]	0.743440233236152	0.701388888888889
Stepglm[both]+Enet[alpha=0.1]	0.749271137026239	0.708333333333333
Stepglm[backward]+Enet[alpha=0.1]	0.743440233236152	0.708333333333333
Stepglm[both]+Enet[alpha=0.8]	0.746355685131195	0.701388888888889
Stepglm[backward]+Enet[alpha=0.8]	0.743440233236152	0.701388888888889
Stepglm[both]+Enet[alpha=0.2]	0.743440233236152	0.701388888888889
Stepglm[backward]+Enet[alpha=0.2]	0.743440233236152	0.701388888888889
Stepglm[both]+Lasso	0.746355685131195	0.701388888888889
Stepglm[backward]+Lasso	0.746355685131195	0.701388888888889
Stepglm[both]+Enet[alpha=0.6]	0.746355685131195	0.701388888888889
Stepglm[backward]+Enet[alpha=0.6]	0.746355685131195	0.701388888888889
glmBoost+GBM	0.816326530612245	0.701388888888889
Stepglm[both]+Enet[alpha=0.7]	0.743440233236152	0.701388888888889
Stepglm[backward]+Enet[alpha=0.7]	0.746355685131195	0.701388888888889
Lasso+Stepglm[backward]	0.749271137026239	0.694444444444444
Stepglm[both]	0.749271137026239	0.694444444444444
Stepglm[backward]	0.749271137026239	0.694444444444444
glmBoost+Stepglm[both]	0.749271137026239	0.694444444444444
glmBoost+Stepglm[backward]	0.749271137026239	0.694444444444444
Stepglm[both]+Enet[alpha=0.4]	0.743440233236152	0.701388888888889
Stepglm[backward]+Enet[alpha=0.4]	0.743440233236152	0.701388888888889
Stepglm[both]+Enet[alpha=0.3]	0.740524781341108	0.701388888888889
Stepglm[backward]+Enet[alpha=0.3]	0.743440233236152	0.701388888888889
Stepglm[both]+glmBoost	0.749271137026239	0.722222222222222
Stepglm[backward]+glmBoost	0.749271137026239	0.722222222222222
Stepglm[both]+Enet[alpha=0.5]	0.743440233236152	0.701388888888889
Stepglm[backward]+Enet[alpha=0.5]	0.746355685131195	0.701388888888889
glmBoost+RF	0.956268221574344	0.743055555555556
RF	0.97667638483965	0.75
Lasso+GBM	0.816326530612245	0.694444444444444
RF+GBM	0.80466472303207	0.708333333333333
GBM	0.810495626822157	0.701388888888889
Lasso+RF	0.959183673469388	0.770833333333333
Stepglm[both]+GBM	0.795918367346939	0.715277777777778
Stepglm[backward]+GBM	0.795918367346939	0.708333333333333
Stepglm[both]+RF	0.938775510204082	0.743055555555556
LDA	0.743440233236152	0.715277777777778
glmBoost+LDA	0.743440233236152	0.729166666666667
RF+LDA	0.749271137026239	0.729166666666667
Stepglm[both]+LDA	0.749271137026239	0.722222222222222
Stepglm[backward]+LDA	0.749271137026239	0.722222222222222
Lasso+LDA	0.749271137026239	0.729166666666667
Stepglm[backward]+RF	0.941690962099125	0.743055555555556
XGBoost	0.854227405247813	0.868055555555556
Lasso+XGBoost	0.75801749271137	0.770833333333333
glmBoost+XGBoost	0.854227405247813	0.868055555555556
RF+XGBoost	0.854227405247813	0.868055555555556
Stepglm[both]+XGBoost	0.854227405247813	0.868055555555556
Stepglm[backward]+XGBoost	0.854227405247813	0.868055555555556
