Training	Testing
Ridge	0.717441687397674	0.755733944954128
glmBoost+Ridge	0.717282218111458	0.73973623853211
Enet[alpha=0.1]	0.71815398354277	0.752866972477064
glmBoost+Enet[alpha=0.1]	0.717207799111224	0.738990825688073
Enet[alpha=0.2]	0.716835704110055	0.748107798165138
Enet[alpha=0.3]	0.716399821394399	0.746788990825688
glmBoost+Enet[alpha=0.3]	0.716506134251876	0.738990825688073
glmBoost+Enet[alpha=0.2]	0.716729391252578	0.739105504587156
Enet[alpha=0.4]	0.715060279390189	0.741628440366973
glmBoost+Enet[alpha=0.4]	0.716463609108886	0.73881880733945
Lasso+glmBoost	0.71575131296379	0.739048165137615
Enet[alpha=0.5]	0.714677553103272	0.741112385321101
glmBoost	0.714177882673131	0.741112385321101
glmBoost+Enet[alpha=0.5]	0.716569921966363	0.739105504587156
Enet[alpha=0.6]	0.715251642533648	0.74243119266055
glmBoost+Enet[alpha=0.6]	0.715155960961919	0.739850917431193
glmBoost+Enet[alpha=0.7]	0.716548659394867	0.739449541284404
glmBoost+Enet[alpha=0.8]	0.715985201250239	0.739678899082569
Enet[alpha=0.8]	0.714613765388786	0.742201834862385
Enet[alpha=0.9]	0.714018413386915	0.741284403669725
Lasso	0.713231698241585	0.741227064220183
Enet[alpha=0.7]	0.714337351959346	0.741284403669725
glmBoost+Enet[alpha=0.9]	0.715932044821501	0.739908256880734
glmBoost+Lasso	0.716729391252578	0.739793577981651
Lasso+plsRglm	0.714709446960515	0.737729357798165
glmBoost+plsRglm	0.714709446960515	0.737729357798165
glmBoost+Stepglm[forward]	0.717728732112862	0.738933486238532
Lasso+Stepglm[forward]	0.717728732112862	0.738933486238532
Stepglm[forward]	0.720854330122685	0.757626146788991
plsRglm	0.71482639110374	0.744151376146789
RF+Ridge	0.716516765537624	0.753956422018349
RF+Enet[alpha=0.1]	0.716803810252812	0.74868119266055
RF+plsRglm	0.71482639110374	0.744151376146789
RF+Stepglm[forward]	0.719738045119177	0.757052752293578
RF+Enet[alpha=0.2]	0.717314111968701	0.749254587155963
RF+Enet[alpha=0.3]	0.716134039250707	0.745412844036697
RF+Enet[alpha=0.6]	0.714433033531075	0.741284403669725
RF+Lasso	0.713231698241585	0.741227064220183
RF+Enet[alpha=0.7]	0.715081541961685	0.74243119266055
RF+Enet[alpha=0.5]	0.715039016818694	0.742144495412844
RF+glmBoost	0.714029044672663	0.741112385321101
RF+Enet[alpha=0.9]	0.71334864238481	0.741399082568807
RF+Enet[alpha=0.4]	0.715060279390189	0.741628440366973
RF+Enet[alpha=0.8]	0.714071569815653	0.741227064220183
glmBoost+GBM	0.795836788501201	0.735321100917431
glmBoost+RF	0.994014586124046	0.67947247706422
RF	0.998819927282006	0.724942660550459
Lasso+GBM	0.785949692755842	0.736811926605505
RF+GBM	0.806861431821564	0.756135321100917
GBM	0.803257425953095	0.754988532110092
Lasso+RF	0.99385511683783	0.681135321100917
LDA	0.721534732410538	0.752350917431193
glmBoost+LDA	0.717930726542068	0.738474770642202
RF+LDA	0.720418447407029	0.752350917431193
Lasso+LDA	0.717930726542068	0.738474770642202
XGBoost	0.704157895855925	0.711324541284404
Lasso+XGBoost	0.704157895855925	0.711324541284404
glmBoost+XGBoost	0.704157895855925	0.711324541284404
RF+XGBoost	0.704157895855925	0.711324541284404
