Training	Testing
Ridge	0.731707317073171	0.73489932885906
glmBoost+Ridge	0.736011477761836	0.738255033557047
Enet[alpha=0.1]	0.733142037302726	0.741610738255034
glmBoost+Enet[alpha=0.1]	0.737446197991392	0.741610738255034
Enet[alpha=0.2]	0.734576757532281	0.73489932885906
Enet[alpha=0.3]	0.734576757532281	0.73489932885906
glmBoost+Enet[alpha=0.3]	0.734576757532281	0.73489932885906
glmBoost+Enet[alpha=0.2]	0.737446197991392	0.741610738255034
Enet[alpha=0.4]	0.733142037302726	0.73489932885906
glmBoost+Enet[alpha=0.4]	0.736011477761836	0.741610738255034
Lasso+glmBoost	0.733142037302726	0.73489932885906
Enet[alpha=0.5]	0.731707317073171	0.731543624161074
glmBoost	0.731707317073171	0.728187919463087
glmBoost+Enet[alpha=0.5]	0.736011477761836	0.738255033557047
Enet[alpha=0.6]	0.736011477761836	0.73489932885906
glmBoost+Enet[alpha=0.6]	0.733142037302726	0.731543624161074
glmBoost+Enet[alpha=0.7]	0.733142037302726	0.738255033557047
glmBoost+Enet[alpha=0.8]	0.733142037302726	0.738255033557047
Enet[alpha=0.8]	0.737446197991392	0.731543624161074
Enet[alpha=0.9]	0.736011477761836	0.731543624161074
Lasso	0.736011477761836	0.728187919463087
Enet[alpha=0.7]	0.736011477761836	0.731543624161074
glmBoost+Enet[alpha=0.9]	0.734576757532281	0.738255033557047
glmBoost+Lasso	0.734576757532281	0.738255033557047
Lasso+plsRglm	0.733142037302726	0.741610738255034
glmBoost+plsRglm	0.733142037302726	0.741610738255034
glmBoost+Stepglm[forward]	0.730272596843615	0.741610738255034
Lasso+Stepglm[forward]	0.730272596843615	0.741610738255034
Stepglm[forward]	0.731707317073171	0.738255033557047
plsRglm	0.733142037302726	0.738255033557047
RF+Ridge	0.734576757532281	0.731543624161074
RF+Enet[alpha=0.1]	0.731707317073171	0.731543624161074
RF+plsRglm	0.733142037302726	0.738255033557047
RF+Stepglm[forward]	0.72883787661406	0.738255033557047
RF+Enet[alpha=0.2]	0.733142037302726	0.73489932885906
RF+Enet[alpha=0.3]	0.737446197991392	0.73489932885906
RF+Enet[alpha=0.6]	0.734576757532281	0.731543624161074
RF+Lasso	0.736011477761836	0.728187919463087
RF+Enet[alpha=0.7]	0.736011477761836	0.731543624161074
RF+Enet[alpha=0.5]	0.737446197991392	0.731543624161074
RF+glmBoost	0.736011477761836	0.728187919463087
RF+Enet[alpha=0.9]	0.734576757532281	0.728187919463087
RF+Enet[alpha=0.4]	0.733142037302726	0.73489932885906
RF+Enet[alpha=0.8]	0.736011477761836	0.731543624161074
glmBoost+GBM	0.769010043041607	0.73489932885906
glmBoost+RF	0.931133428981349	0.724832214765101
RF	0.944045911047346	0.74496644295302
Lasso+GBM	0.75896700143472	0.73489932885906
RF+GBM	0.766140602582496	0.74496644295302
GBM	0.757532281205165	0.751677852348993
Lasso+RF	0.929698708751793	0.731543624161074
LDA	0.731707317073171	0.73489932885906
glmBoost+LDA	0.72596843615495	0.741610738255034
RF+LDA	0.731707317073171	0.73489932885906
Lasso+LDA	0.72596843615495	0.741610738255034
XGBoost	0.737446197991392	0.731543624161074
Lasso+XGBoost	0.737446197991392	0.731543624161074
glmBoost+XGBoost	0.737446197991392	0.731543624161074
RF+XGBoost	0.737446197991392	0.731543624161074
