Training	Testing
Ridge	0.174006556308508	0.170086022161969
glmBoost+Ridge	0.173631214783569	0.171437962477542
Enet[alpha=0.1]	0.17352364343022	0.169713493578545
glmBoost+Enet[alpha=0.1]	0.173512066602316	0.17112979903357
Enet[alpha=0.2]	0.173841318907461	0.170757782652936
Enet[alpha=0.3]	0.173713085264646	0.17054531083147
glmBoost+Enet[alpha=0.3]	0.173564129866132	0.171047664534627
glmBoost+Enet[alpha=0.2]	0.173533111018044	0.171079136186051
Enet[alpha=0.4]	0.174094414214949	0.171432411352495
glmBoost+Enet[alpha=0.4]	0.173522295859024	0.17094729666459
Lasso+glmBoost	0.173587843384408	0.170812635070655
Enet[alpha=0.5]	0.174133275351861	0.171526992799505
glmBoost	0.174004300010715	0.171129697281069
glmBoost+Enet[alpha=0.5]	0.173521916519386	0.170906272788192
Enet[alpha=0.6]	0.173805614935691	0.170813285039068
glmBoost+Enet[alpha=0.6]	0.173726129704881	0.171065816765759
glmBoost+Enet[alpha=0.7]	0.173482667410999	0.170839729433388
glmBoost+Enet[alpha=0.8]	0.173533839684728	0.170832284006403
Enet[alpha=0.8]	0.173852173847358	0.170912862836941
Enet[alpha=0.9]	0.173955077168514	0.171133391416944
Lasso	0.174061244624056	0.171271332014212
Enet[alpha=0.7]	0.174010646972452	0.171267496881675
glmBoost+Enet[alpha=0.9]	0.173527638529348	0.170812324083462
glmBoost+Lasso	0.173461175219868	0.170815084793649
Lasso+plsRglm	0.174394747340193	0.172133882938773
glmBoost+plsRglm	0.174394747340193	0.172133882938773
glmBoost+Stepglm[forward]	0.17343885443487	0.171104066297934
Lasso+Stepglm[forward]	0.17343885443487	0.171104066297934
Stepglm[forward]	0.172879587004412	0.167799920983267
plsRglm	0.173873418718235	0.170663707742723
RF+Ridge	0.174844179909779	0.171615274723295
RF+Enet[alpha=0.1]	0.174282558702904	0.171401963266805
RF+plsRglm	0.173873418718235	0.170663707742723
RF+Stepglm[forward]	0.173042571973496	0.167626027066877
RF+Enet[alpha=0.2]	0.173629735148034	0.170247201328042
RF+Enet[alpha=0.3]	0.173825589670503	0.17080943028197
RF+Enet[alpha=0.6]	0.174058558707076	0.171373160145381
RF+Lasso	0.174061244596922	0.171271332004611
RF+Enet[alpha=0.7]	0.17377019036247	0.170727739993764
RF+Enet[alpha=0.5]	0.173985704817108	0.171215385660774
RF+glmBoost	0.174100642201318	0.171307241448298
RF+Enet[alpha=0.9]	0.174083024456572	0.171333499306326
RF+Enet[alpha=0.4]	0.174094387153974	0.171432389763519
RF+Enet[alpha=0.8]	0.173978125149029	0.171191008385369
glmBoost+GBM	0.15624364346266	0.172566037233461
glmBoost+RF	0.0754906791220867	0.182621655439705
RF	0.0689092003652567	0.178196482034047
Lasso+GBM	0.160179945274158	0.172402175706209
RF+GBM	0.155694806379484	0.167855254798299
GBM	0.156890471203771	0.16803122477528
Lasso+RF	0.0755128523372294	0.182732838976735
LDA	0.173029764835504	0.169324621544076
glmBoost+LDA	0.17353442223901	0.171255684398737
RF+LDA	0.17318473467357	0.168923099439551
Lasso+LDA	0.17353442223901	0.171255684398737
XGBoost	0.17371345018124	0.176842837601456
Lasso+XGBoost	0.17371345018124	0.176842837601456
glmBoost+XGBoost	0.17371345018124	0.176842837601456
RF+XGBoost	0.17371345018124	0.176842837601456
