Training	Testing
Ridge	0.050761421319797	0.131868131868132
glmBoost+Ridge	0.0980392156862745	0.170212765957447
Enet[alpha=0.1]	0.07	0.172043010752688
glmBoost+Enet[alpha=0.1]	0.124401913875598	0.206185567010309
Enet[alpha=0.2]	0.0512820512820513	0.131868131868132
Enet[alpha=0.3]	0.0703517587939699	0.131868131868132
glmBoost+Enet[alpha=0.3]	0.106280193236715	0.168421052631579
glmBoost+Enet[alpha=0.2]	0.124401913875598	0.206185567010309
Enet[alpha=0.4]	0.0412371134020619	0.112359550561798
glmBoost+Enet[alpha=0.4]	0.123809523809524	0.206185567010309
Lasso+glmBoost	0.122641509433962	0.185567010309278
Enet[alpha=0.5]	0.0310880829015544	0.111111111111111
glmBoost	0.0788177339901478	0.129032258064516
glmBoost+Enet[alpha=0.5]	0.123809523809524	0.204081632653061
Enet[alpha=0.6]	0.0707070707070707	0.131868131868132
glmBoost+Enet[alpha=0.6]	0.07	0.130434782608696
glmBoost+Enet[alpha=0.7]	0.130841121495327	0.204081632653061
glmBoost+Enet[alpha=0.8]	0.114285714285714	0.204081632653061
Enet[alpha=0.8]	0.0710659898477157	0.130434782608696
Enet[alpha=0.9]	0.0612244897959184	0.130434782608696
Lasso	0.0612244897959184	0.10989010989011
Enet[alpha=0.7]	0.0612244897959184	0.111111111111111
glmBoost+Enet[alpha=0.9]	0.123222748815166	0.204081632653061
glmBoost+Lasso	0.13953488372093	0.22
Lasso+plsRglm	0.162162162162162	0.222222222222222
glmBoost+plsRglm	0.162162162162162	0.222222222222222
glmBoost+Stepglm[forward]	0.145454545454545	0.237623762376238
Lasso+Stepglm[forward]	0.145454545454545	0.237623762376238
Stepglm[forward]	0.168888888888889	0.235294117647059
plsRglm	0.138888888888889	0.235294117647059
RF+Ridge	0.031413612565445	0.0909090909090909
RF+Enet[alpha=0.1]	0.0310880829015544	0.0909090909090909
RF+plsRglm	0.138888888888889	0.235294117647059
RF+Stepglm[forward]	0.152466367713004	0.235294117647059
RF+Enet[alpha=0.2]	0.07	0.131868131868132
RF+Enet[alpha=0.3]	0.0710659898477157	0.131868131868132
RF+Enet[alpha=0.6]	0.0512820512820513	0.111111111111111
RF+Lasso	0.0612244897959184	0.10989010989011
RF+Enet[alpha=0.7]	0.0707070707070707	0.130434782608696
RF+Enet[alpha=0.5]	0.0710659898477157	0.111111111111111
RF+glmBoost	0.08	0.129032258064516
RF+Enet[alpha=0.9]	0.0512820512820513	0.10989010989011
RF+Enet[alpha=0.4]	0.0412371134020619	0.112359550561798
RF+Enet[alpha=0.8]	0.0612244897959184	0.130434782608696
glmBoost+GBM	0.264840182648402	0.185567010309278
glmBoost+RF	0.850931677018634	0.254545454545455
RF	0.880733944954128	0.296296296296296
Lasso+GBM	0.176470588235294	0.131868131868132
RF+GBM	0.21256038647343	0.208333333333333
GBM	0.159203980099502	0.212765957446809
Lasso+RF	0.847352024922118	0.285714285714286
LDA	0.153846153846154	0.202020202020202
glmBoost+LDA	0.127853881278539	0.222222222222222
RF+LDA	0.146118721461187	0.202020202020202
Lasso+LDA	0.127853881278539	0.222222222222222
XGBoost	NA	NA
Lasso+XGBoost	NA	NA
glmBoost+XGBoost	NA	NA
RF+XGBoost	NA	NA
