Training	Testing
Ridge	0.0273224043715847	0.075
glmBoost+Ridge	0.0546448087431694	0.1
Enet[alpha=0.1]	0.0382513661202186	0.1
glmBoost+Enet[alpha=0.1]	0.0710382513661202	0.125
Enet[alpha=0.2]	0.0273224043715847	0.075
Enet[alpha=0.3]	0.0382513661202186	0.075
glmBoost+Enet[alpha=0.3]	0.0601092896174863	0.1
glmBoost+Enet[alpha=0.2]	0.0710382513661202	0.125
Enet[alpha=0.4]	0.0218579234972678	0.0625
glmBoost+Enet[alpha=0.4]	0.0710382513661202	0.125
Lasso+glmBoost	0.0710382513661202	0.1125
Enet[alpha=0.5]	0.0163934426229508	0.0625
glmBoost	0.0437158469945355	0.075
glmBoost+Enet[alpha=0.5]	0.0710382513661202	0.125
Enet[alpha=0.6]	0.0382513661202186	0.075
glmBoost+Enet[alpha=0.6]	0.0382513661202186	0.075
glmBoost+Enet[alpha=0.7]	0.0765027322404372	0.125
glmBoost+Enet[alpha=0.8]	0.0655737704918033	0.125
Enet[alpha=0.8]	0.0382513661202186	0.075
Enet[alpha=0.9]	0.0327868852459016	0.075
Lasso	0.0327868852459016	0.0625
Enet[alpha=0.7]	0.0327868852459016	0.0625
glmBoost+Enet[alpha=0.9]	0.0710382513661202	0.125
glmBoost+Lasso	0.0819672131147541	0.1375
Lasso+plsRglm	0.0983606557377049	0.1375
glmBoost+plsRglm	0.0983606557377049	0.1375
glmBoost+Stepglm[forward]	0.087431693989071	0.15
Lasso+Stepglm[forward]	0.087431693989071	0.15
Stepglm[forward]	0.103825136612022	0.15
plsRglm	0.0819672131147541	0.15
RF+Ridge	0.0163934426229508	0.05
RF+Enet[alpha=0.1]	0.0163934426229508	0.05
RF+plsRglm	0.0819672131147541	0.15
RF+Stepglm[forward]	0.092896174863388	0.15
RF+Enet[alpha=0.2]	0.0382513661202186	0.075
RF+Enet[alpha=0.3]	0.0382513661202186	0.075
RF+Enet[alpha=0.6]	0.0273224043715847	0.0625
RF+Lasso	0.0327868852459016	0.0625
RF+Enet[alpha=0.7]	0.0382513661202186	0.075
RF+Enet[alpha=0.5]	0.0382513661202186	0.0625
RF+glmBoost	0.0437158469945355	0.075
RF+Enet[alpha=0.9]	0.0273224043715847	0.0625
RF+Enet[alpha=0.4]	0.0218579234972678	0.0625
RF+Enet[alpha=0.8]	0.0327868852459016	0.075
glmBoost+GBM	0.158469945355191	0.1125
glmBoost+RF	0.748633879781421	0.175
RF	0.786885245901639	0.2
Lasso+GBM	0.0983606557377049	0.075
RF+GBM	0.120218579234973	0.125
GBM	0.087431693989071	0.125
Lasso+RF	0.743169398907104	0.2
LDA	0.092896174863388	0.125
glmBoost+LDA	0.0765027322404372	0.1375
RF+LDA	0.087431693989071	0.125
Lasso+LDA	0.0765027322404372	0.1375
XGBoost	0	0
Lasso+XGBoost	0	0
glmBoost+XGBoost	0	0
RF+XGBoost	0	0
