Training	Testing
Lasso+Stepglm[both]	0.778596403596404	0.809242826899689
Ridge	0.776473526473527	0.810954461510743
glmBoost+Ridge	0.776398601398601	0.807846493401198
Enet[alpha=0.1]	0.777297702297702	0.81190036484843
glmBoost+Enet[alpha=0.1]	0.781526806526807	0.81181027881627
Enet[alpha=0.2]	0.778146853146853	0.812350795009234
Enet[alpha=0.3]	0.778663003663004	0.812395838025314
glmBoost+Enet[alpha=0.3]	0.780760905760906	0.811314805639386
glmBoost+Enet[alpha=0.2]	0.775749250749251	0.808251880545921
Enet[alpha=0.4]	0.777264402264402	0.81181027881627
glmBoost+Enet[alpha=0.4]	0.776923076923077	0.809422998964011
Lasso+glmBoost	0.772810522810523	0.808747353722805
Enet[alpha=0.5]	0.777089577089577	0.811720192784109
glmBoost	0.772777222777223	0.808612224674564
glmBoost+Enet[alpha=0.5]	0.781376956376956	0.811990450880591
Enet[alpha=0.6]	0.777014652014652	0.811675149768028
glmBoost+Enet[alpha=0.6]	0.780377955377955	0.810729246430341
glmBoost+Enet[alpha=0.7]	0.781551781551782	0.812621053105716
glmBoost+Enet[alpha=0.8]	0.781518481518481	0.812801225170037
Enet[alpha=0.8]	0.781859806859807	0.814783117877573
Enet[alpha=0.9]	0.77957042957043	0.812936354218278
Lasso	0.777231102231102	0.812215665960993
Enet[alpha=0.7]	0.77478354978355	0.810008558173055
glmBoost+Enet[alpha=0.9]	0.780228105228105	0.811404891671546
glmBoost+Lasso	0.781526806526807	0.812801225170037
Lasso+plsRglm	0.769555444555445	0.801180127021305
glmBoost+plsRglm	0.770962370962371	0.79163100761227
glmBoost+Stepglm[forward]	0.781676656676657	0.812485924057475
Lasso+Stepglm[forward]	0.781859806859807	0.814467816765011
Stepglm[forward]	0.782026307026307	0.815233548038377
plsRglm	0.767848817848818	0.804783568307734
RF+Ridge	0.773643023643024	0.810999504526823
RF+Enet[alpha=0.1]	0.774442224442224	0.811089590558984
RF+plsRglm	0.765875790875791	0.799063105265529
RF+Stepglm[forward]	0.778929403929404	0.813206612314761
RF+Enet[alpha=0.2]	0.778646353646354	0.812440881041395
RF+Enet[alpha=0.3]	0.771645021645022	0.807486149272555
RF+Enet[alpha=0.6]	0.778629703629704	0.812936354218278
RF+Lasso	0.777414252414252	0.813431827395162
RF+Enet[alpha=0.7]	0.778737928737929	0.813026440250439
RF+Enet[alpha=0.5]	0.778513153513154	0.812530967073555
RF+glmBoost	0.770038295038295	0.807981622449439
