Training	Testing
Lasso+Stepglm[both]	0.730272596843615	0.714765100671141
Ridge	0.72596843615495	0.738255033557047
glmBoost+Ridge	0.724533715925395	0.728187919463087
Enet[alpha=0.1]	0.727403156384505	0.738255033557047
glmBoost+Enet[alpha=0.1]	0.733142037302726	0.731543624161074
Enet[alpha=0.2]	0.727403156384505	0.748322147651007
Enet[alpha=0.3]	0.727403156384505	0.748322147651007
glmBoost+Enet[alpha=0.3]	0.736011477761836	0.731543624161074
glmBoost+Enet[alpha=0.2]	0.72883787661406	0.728187919463087
Enet[alpha=0.4]	0.724533715925395	0.741610738255034
glmBoost+Enet[alpha=0.4]	0.727403156384505	0.73489932885906
Lasso+glmBoost	0.718794835007174	0.73489932885906
Enet[alpha=0.5]	0.723098995695839	0.74496644295302
glmBoost	0.717360114777618	0.731543624161074
glmBoost+Enet[alpha=0.5]	0.733142037302726	0.731543624161074
Enet[alpha=0.6]	0.723098995695839	0.74496644295302
glmBoost+Enet[alpha=0.6]	0.737446197991392	0.728187919463087
glmBoost+Enet[alpha=0.7]	0.733142037302726	0.728187919463087
glmBoost+Enet[alpha=0.8]	0.733142037302726	0.728187919463087
Enet[alpha=0.8]	0.733142037302726	0.728187919463087
Enet[alpha=0.9]	0.72883787661406	0.738255033557047
Lasso	0.724533715925395	0.741610738255034
Enet[alpha=0.7]	0.731707317073171	0.738255033557047
glmBoost+Enet[alpha=0.9]	0.737446197991392	0.724832214765101
glmBoost+Lasso	0.733142037302726	0.728187919463087
Lasso+plsRglm	0.720229555236729	0.724832214765101
glmBoost+plsRglm	0.717360114777618	0.718120805369127
glmBoost+Stepglm[forward]	0.731707317073171	0.728187919463087
Lasso+Stepglm[forward]	0.730272596843615	0.731543624161074
Stepglm[forward]	0.730272596843615	0.728187919463087
plsRglm	0.715925394548063	0.731543624161074
RF+Ridge	0.727403156384505	0.731543624161074
RF+Enet[alpha=0.1]	0.723098995695839	0.731543624161074
RF+plsRglm	0.717360114777618	0.714765100671141
RF+Stepglm[forward]	0.72883787661406	0.724832214765101
RF+Enet[alpha=0.2]	0.730272596843615	0.73489932885906
RF+Enet[alpha=0.3]	0.72883787661406	0.721476510067114
RF+Enet[alpha=0.6]	0.730272596843615	0.73489932885906
RF+Lasso	0.731707317073171	0.731543624161074
RF+Enet[alpha=0.7]	0.730272596843615	0.731543624161074
RF+Enet[alpha=0.5]	0.730272596843615	0.73489932885906
RF+glmBoost	0.721664275466284	0.724832214765101
RF+Enet[alpha=0.9]	0.721664275466284	0.721476510067114
RF+Enet[alpha=0.4]	0.72596843615495	0.731543624161074
RF+Enet[alpha=0.8]	0.731707317073171	0.731543624161074
RF+Stepglm[both]	0.72596843615495	0.721476510067114
RF+Stepglm[backward]	0.72596843615495	0.721476510067114
Stepglm[both]+Ridge	0.724533715925395	0.73489932885906
Stepglm[backward]+Ridge	0.724533715925395	0.73489932885906
Stepglm[both]+Enet[alpha=0.9]	0.731707317073171	0.718120805369127
Stepglm[backward]+Enet[alpha=0.9]	0.733142037302726	0.721476510067114
Stepglm[both]+Enet[alpha=0.1]	0.731707317073171	0.724832214765101
Stepglm[backward]+Enet[alpha=0.1]	0.731707317073171	0.724832214765101
Stepglm[both]+Enet[alpha=0.8]	0.731707317073171	0.724832214765101
Stepglm[backward]+Enet[alpha=0.8]	0.731707317073171	0.724832214765101
Stepglm[both]+Enet[alpha=0.2]	0.733142037302726	0.724832214765101
Stepglm[backward]+Enet[alpha=0.2]	0.731707317073171	0.724832214765101
Stepglm[both]+Lasso	0.733142037302726	0.718120805369127
Stepglm[backward]+Lasso	0.731707317073171	0.718120805369127
Stepglm[both]+Enet[alpha=0.6]	0.733142037302726	0.724832214765101
Stepglm[backward]+Enet[alpha=0.6]	0.733142037302726	0.724832214765101
glmBoost+GBM	0.784791965566714	0.697986577181208
Stepglm[both]+Enet[alpha=0.7]	0.731707317073171	0.724832214765101
Stepglm[backward]+Enet[alpha=0.7]	0.733142037302726	0.721476510067114
Lasso+Stepglm[backward]	0.730272596843615	0.714765100671141
Stepglm[both]	0.730272596843615	0.714765100671141
Stepglm[backward]	0.730272596843615	0.714765100671141
glmBoost+Stepglm[both]	0.730272596843615	0.714765100671141
glmBoost+Stepglm[backward]	0.730272596843615	0.714765100671141
Stepglm[both]+Enet[alpha=0.4]	0.733142037302726	0.724832214765101
Stepglm[backward]+Enet[alpha=0.4]	0.731707317073171	0.721476510067114
