Training	Testing
Lasso+Stepglm[both]	0.187008154804768	0.182215454706387
Ridge	0.188481897013903	0.179376833908254
glmBoost+Ridge	0.188420517708744	0.180729184286133
Enet[alpha=0.1]	0.188072320675054	0.179108860504793
glmBoost+Enet[alpha=0.1]	0.185905671022065	0.180574797461458
Enet[alpha=0.2]	0.187369247921324	0.17873210548194
Enet[alpha=0.3]	0.187097476304086	0.178665924912753
glmBoost+Enet[alpha=0.3]	0.186068289888787	0.180059261136452
glmBoost+Enet[alpha=0.2]	0.1887734053955	0.180733731890806
Enet[alpha=0.4]	0.187830396871649	0.178915116349578
glmBoost+Enet[alpha=0.4]	0.18804104049848	0.179775670258705
Lasso+glmBoost	0.190091333719089	0.180696592515177
Enet[alpha=0.5]	0.187929813272563	0.179000420923659
glmBoost	0.190202564553846	0.180679360686741
glmBoost+Enet[alpha=0.5]	0.185942805147709	0.180377773595439
Enet[alpha=0.6]	0.187928647408478	0.179008278341365
glmBoost+Enet[alpha=0.6]	0.186243285050794	0.179762848238691
glmBoost+Enet[alpha=0.7]	0.185892666072414	0.18067191469448
glmBoost+Enet[alpha=0.8]	0.185893226355904	0.180670398086228
Enet[alpha=0.8]	0.185790481401311	0.179622785451205
Enet[alpha=0.9]	0.186603610835801	0.17873979372648
Lasso	0.187687411336925	0.178803482893989
Enet[alpha=0.7]	0.189003279659791	0.180444295898094
glmBoost+Enet[alpha=0.9]	0.186272527633868	0.179662569488577
glmBoost+Lasso	0.185902453475202	0.180603216398263
Lasso+plsRglm	0.190830219214591	0.182909596997759
glmBoost+plsRglm	0.190524498101312	0.18666208796336
glmBoost+Stepglm[forward]	0.185861259115715	0.18127632659809
Lasso+Stepglm[forward]	0.185814720907454	0.180554175888028
Stepglm[forward]	0.185732225629512	0.180562073896429
plsRglm	0.191186441607304	0.180483103779948
RF+Ridge	0.189474049933407	0.179618911758574
RF+Enet[alpha=0.1]	0.189000741258617	0.179223428593262
RF+plsRglm	0.192127536211404	0.183000725975432
RF+Stepglm[forward]	0.186838761953287	0.180861125504002
RF+Enet[alpha=0.2]	0.186878733314732	0.180166723675085
RF+Enet[alpha=0.3]	0.19072110718134	0.181701593818985
RF+Enet[alpha=0.6]	0.186888787350871	0.180091415436598
RF+Lasso	0.187281310837123	0.178888762801274
RF+Enet[alpha=0.7]	0.186861186844352	0.180367151724412
RF+Enet[alpha=0.5]	0.186898637926835	0.180019652477366
RF+glmBoost	0.191020807297009	0.180906737813321
RF+Enet[alpha=0.9]	0.190601192191445	0.181692623036322
RF+Enet[alpha=0.4]	0.189400582710229	0.179908842261225
RF+Enet[alpha=0.8]	0.187785248799151	0.17864870469668
RF+Stepglm[both]	0.188055529647598	0.182313414580215
RF+Stepglm[backward]	0.188055529647598	0.182313414580215
Stepglm[both]+Ridge	0.189495829607673	0.181761329367204
Stepglm[backward]+Ridge	0.189495829607673	0.181761329367204
Stepglm[both]+Enet[alpha=0.9]	0.187022334352841	0.181756107340456
Stepglm[backward]+Enet[alpha=0.9]	0.187031507957956	0.181640178997072
Stepglm[both]+Enet[alpha=0.1]	0.187074574739602	0.181330608378837
Stepglm[backward]+Enet[alpha=0.1]	0.187065389529457	0.181373396332608
Stepglm[both]+Enet[alpha=0.8]	0.187077378785651	0.181308383186543
Stepglm[backward]+Enet[alpha=0.8]	0.187089136728645	0.181253059724904
Stepglm[both]+Enet[alpha=0.2]	0.187059045682724	0.181405783904779
Stepglm[backward]+Enet[alpha=0.2]	0.187067442486941	0.181362230075163
Stepglm[both]+Lasso	0.187029532755951	0.181673780869236
Stepglm[backward]+Lasso	0.187026317338038	0.18171379470953
Stepglm[both]+Enet[alpha=0.6]	0.187029710120329	0.181636504441309
Stepglm[backward]+Enet[alpha=0.6]	0.187029710120329	0.181636504441309
glmBoost+GBM	0.151476160741466	0.195171490407931
Stepglm[both]+Enet[alpha=0.7]	0.187057132662111	0.181420342242616
Stepglm[backward]+Enet[alpha=0.7]	0.18702958570488	0.181644428168407
Lasso+Stepglm[backward]	0.187008154804768	0.182215454706387
Stepglm[both]	0.187008154804768	0.182215454706387
Stepglm[backward]	0.187008154804768	0.182215454706387
glmBoost+Stepglm[both]	0.187008154804768	0.182215454706387
glmBoost+Stepglm[backward]	0.187008154804768	0.182215454706387
Stepglm[both]+Enet[alpha=0.4]	0.187034143045297	0.181583260320742
Stepglm[backward]+Enet[alpha=0.4]	0.187026513632881	0.181660895313658
Stepglm[both]+Enet[alpha=0.3]	0.187041243550756	0.181521313431821
Stepglm[backward]+Enet[alpha=0.3]	0.187031785248901	0.181601736333893
Stepglm[both]+glmBoost	0.190583496863675	0.18111148092486
Stepglm[backward]+glmBoost	0.190562505875691	0.181035244642277
Stepglm[both]+Enet[alpha=0.5]	0.187090267159937	0.181255182889827
Stepglm[backward]+Enet[alpha=0.5]	0.187175098513056	0.181003437146048
glmBoost+RF	0.0774678416579212	0.199222953194586
RF	0.0722943991686071	0.196311388013475
Lasso+GBM	0.146619525593594	0.194338114820812
RF+GBM	0.142957299419074	0.191468174452862
GBM	0.141923662370108	0.191868872932759
Lasso+RF	0.0771234524970758	0.198956315427921
Stepglm[both]+GBM	0.151354871796757	0.190207256473079
Stepglm[backward]+GBM	0.147284927979782	0.191042207427659
Stepglm[both]+RF	0.0798728108014285	0.196526454448748
LDA	0.190346426355507	0.179390402800354
glmBoost+LDA	0.190396362208295	0.180767405293217
RF+LDA	0.191244134566637	0.179705476516924
Stepglm[both]+LDA	0.191414489745998	0.18163969603251
Stepglm[backward]+LDA	0.191414489745998	0.18163969603251
Lasso+LDA	0.190385525119879	0.180030082895163
Stepglm[backward]+RF	0.0792108681894015	0.196629826451412
XGBoost	0.191806974609872	0.189039195677382
Lasso+XGBoost	0.193031475214098	0.186928424714966
glmBoost+XGBoost	0.193031475214098	0.186928424714966
RF+XGBoost	0.191806974609872	0.189039195677382
Stepglm[both]+XGBoost	0.193031475214098	0.186928424714966
Stepglm[backward]+XGBoost	0.193031475214098	0.186928424714966
