Training	Testing
Lasso+Stepglm[both]	0.766749379652606	0.753623188405797
Ridge	0.762732919254658	0.770588235294118
glmBoost+Ridge	0.762376237623762	0.758208955223881
Enet[alpha=0.1]	0.763092269326683	0.769230769230769
glmBoost+Enet[alpha=0.1]	0.76980198019802	0.766081871345029
Enet[alpha=0.2]	0.763681592039801	0.776119402985075
Enet[alpha=0.3]	0.763681592039801	0.776119402985075
glmBoost+Enet[alpha=0.3]	0.771712158808933	0.764705882352941
glmBoost+Enet[alpha=0.2]	0.766378244746601	0.759643916913947
Enet[alpha=0.4]	0.761786600496278	0.771513353115727
glmBoost+Enet[alpha=0.4]	0.764851485148515	0.764179104477612
Lasso+glmBoost	0.75682382133995	0.764179104477612
Enet[alpha=0.5]	0.760842627013631	0.773809523809524
glmBoost	0.7546699875467	0.761904761904762
glmBoost+Enet[alpha=0.5]	0.76980198019802	0.766081871345029
Enet[alpha=0.6]	0.760842627013631	0.773809523809524
glmBoost+Enet[alpha=0.6]	0.773234200743494	0.761061946902655
glmBoost+Enet[alpha=0.7]	0.76980198019802	0.762463343108504
glmBoost+Enet[alpha=0.8]	0.76980198019802	0.762463343108504
Enet[alpha=0.8]	0.76980198019802	0.763848396501458
Enet[alpha=0.9]	0.765217391304348	0.770588235294118
Lasso	0.761786600496278	0.771513353115727
Enet[alpha=0.7]	0.76885043263288	0.769230769230769
glmBoost+Enet[alpha=0.9]	0.773234200743494	0.757396449704142
glmBoost+Lasso	0.76980198019802	0.762463343108504
Lasso+plsRglm	0.755332496863237	0.753012048192771
glmBoost+plsRglm	0.753441802252816	0.748502994011976
glmBoost+Stepglm[forward]	0.768277571251549	0.763848396501458
Lasso+Stepglm[forward]	0.767326732673267	0.766081871345029
Stepglm[forward]	0.767901234567901	0.765217391304348
plsRglm	0.753117206982544	0.759036144578313
RF+Ridge	0.763681592039801	0.763313609467456
RF+Enet[alpha=0.1]	0.759651307596513	0.763313609467456
RF+plsRglm	0.752201257861635	0.743202416918429
RF+Stepglm[forward]	0.765217391304348	0.761627906976744
RF+Enet[alpha=0.2]	0.766749379652606	0.769679300291545
RF+Enet[alpha=0.3]	0.76695437731196	0.755162241887906
RF+Enet[alpha=0.6]	0.766749379652606	0.769679300291545
RF+Lasso	0.767701863354037	0.764705882352941
RF+Enet[alpha=0.7]	0.766749379652606	0.767441860465116
RF+Enet[alpha=0.5]	0.766749379652606	0.769679300291545
RF+glmBoost	0.758706467661691	0.758823529411765
RF+Enet[alpha=0.9]	0.761083743842365	0.756598240469208
RF+Enet[alpha=0.4]	0.763320941759604	0.761904761904762
RF+Enet[alpha=0.8]	0.767701863354037	0.764705882352941
RF+Stepglm[both]	0.763906056860321	0.762177650429799
RF+Stepglm[backward]	0.763906056860321	0.762177650429799
Stepglm[both]+Ridge	0.762376237623762	0.765578635014837
Stepglm[backward]+Ridge	0.762376237623762	0.765578635014837
Stepglm[both]+Enet[alpha=0.9]	0.767701863354037	0.755813953488372
Stepglm[backward]+Enet[alpha=0.9]	0.769230769230769	0.75801749271137
Stepglm[both]+Enet[alpha=0.1]	0.767701863354037	0.760233918128655
Stepglm[backward]+Enet[alpha=0.1]	0.767701863354037	0.760233918128655
Stepglm[both]+Enet[alpha=0.8]	0.767701863354037	0.760233918128655
Stepglm[backward]+Enet[alpha=0.8]	0.767701863354037	0.760233918128655
Stepglm[both]+Enet[alpha=0.2]	0.769230769230769	0.760233918128655
Stepglm[backward]+Enet[alpha=0.2]	0.767701863354037	0.760233918128655
Stepglm[both]+Lasso	0.769230769230769	0.755813953488372
Stepglm[backward]+Lasso	0.767701863354037	0.755813953488372
Stepglm[both]+Enet[alpha=0.6]	0.769230769230769	0.761627906976744
Stepglm[backward]+Enet[alpha=0.6]	0.769230769230769	0.761627906976744
glmBoost+GBM	0.817073170731707	0.752747252747253
Stepglm[both]+Enet[alpha=0.7]	0.767701863354037	0.760233918128655
Stepglm[backward]+Enet[alpha=0.7]	0.769230769230769	0.75801749271137
Lasso+Stepglm[backward]	0.766749379652606	0.753623188405797
Stepglm[both]	0.766749379652606	0.753623188405797
Stepglm[backward]	0.766749379652606	0.753623188405797
glmBoost+Stepglm[both]	0.766749379652606	0.753623188405797
glmBoost+Stepglm[backward]	0.766749379652606	0.753623188405797
Stepglm[both]+Enet[alpha=0.4]	0.769230769230769	0.761627906976744
Stepglm[backward]+Enet[alpha=0.4]	0.767701863354037	0.75801749271137
Stepglm[both]+Enet[alpha=0.3]	0.769230769230769	0.75801749271137
Stepglm[backward]+Enet[alpha=0.3]	0.769230769230769	0.761627906976744
Stepglm[both]+glmBoost	0.75527950310559	0.767857142857143
Stepglm[backward]+glmBoost	0.756218905472637	0.765578635014837
Stepglm[both]+Enet[alpha=0.5]	0.767701863354037	0.756598240469208
Stepglm[backward]+Enet[alpha=0.5]	0.767701863354037	0.756598240469208
glmBoost+RF	0.951406649616368	0.754189944134078
RF	0.970245795601552	0.763736263736264
Lasso+GBM	0.818181818181818	0.761904761904762
RF+GBM	0.829865361077111	0.770949720670391
GBM	0.835380835380835	0.772222222222222
Lasso+RF	0.961240310077519	0.75
Stepglm[both]+GBM	0.821648216482165	0.740112994350282
