Training	Testing
Lasso+Stepglm[both]	0.802597402597403	0.87248322147651
Ridge	0.797402597402597	0.879194630872483
glmBoost+Ridge	0.8	0.852348993288591
Enet[alpha=0.1]	0.794805194805195	0.87248322147651
glmBoost+Enet[alpha=0.1]	0.807792207792208	0.879194630872483
Enet[alpha=0.2]	0.797402597402597	0.87248322147651
Enet[alpha=0.3]	0.797402597402597	0.87248322147651
glmBoost+Enet[alpha=0.3]	0.807792207792208	0.87248322147651
glmBoost+Enet[alpha=0.2]	0.805194805194805	0.859060402684564
Enet[alpha=0.4]	0.797402597402597	0.87248322147651
glmBoost+Enet[alpha=0.4]	0.802597402597403	0.859060402684564
Lasso+glmBoost	0.792207792207792	0.859060402684564
Enet[alpha=0.5]	0.797402597402597	0.87248322147651
glmBoost	0.787012987012987	0.859060402684564
glmBoost+Enet[alpha=0.5]	0.807792207792208	0.879194630872483
Enet[alpha=0.6]	0.797402597402597	0.87248322147651
glmBoost+Enet[alpha=0.6]	0.81038961038961	0.865771812080537
glmBoost+Enet[alpha=0.7]	0.807792207792208	0.87248322147651
glmBoost+Enet[alpha=0.8]	0.807792207792208	0.87248322147651
Enet[alpha=0.8]	0.807792207792208	0.879194630872483
Enet[alpha=0.9]	0.8	0.879194630872483
Lasso	0.797402597402597	0.87248322147651
Enet[alpha=0.7]	0.807792207792208	0.87248322147651
glmBoost+Enet[alpha=0.9]	0.81038961038961	0.859060402684564
glmBoost+Lasso	0.807792207792208	0.87248322147651
Lasso+plsRglm	0.781818181818182	0.838926174496644
glmBoost+plsRglm	0.781818181818182	0.838926174496644
glmBoost+Stepglm[forward]	0.805194805194805	0.879194630872483
Lasso+Stepglm[forward]	0.805194805194805	0.879194630872483
Stepglm[forward]	0.807792207792208	0.885906040268456
plsRglm	0.784415584415584	0.845637583892617
RF+Ridge	0.797402597402597	0.865771812080537
RF+Enet[alpha=0.1]	0.792207792207792	0.865771812080537
RF+plsRglm	0.776623376623377	0.825503355704698
RF+Stepglm[forward]	0.8	0.879194630872483
RF+Enet[alpha=0.2]	0.802597402597403	0.885906040268456
RF+Enet[alpha=0.3]	0.807792207792208	0.859060402684564
RF+Enet[alpha=0.6]	0.802597402597403	0.885906040268456
RF+Lasso	0.802597402597403	0.87248322147651
RF+Enet[alpha=0.7]	0.802597402597403	0.885906040268456
RF+Enet[alpha=0.5]	0.802597402597403	0.885906040268456
